InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 520
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
0.597 10 3 519
