InputVoltage BandgapControl RampGain ADCvalue
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 466
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
0.896074 10 3 467
