InputVoltage BandgapControl RampGain ADCvalue
0 0 0 14
0.0102026 0 0 19
0.0201138 0 0 24
0.0300249 0 0 29
0.0402275 0 0 35
0.0501387 0 0 40
0.0600498 0 0 45
0.0702524 0 0 51
0.0801636 0 0 56
0.0900747 0 0 61
0.100277 0 0 67
0.110188 0 0 72
0.1201 0 0 78
0.130011 0 0 83
0.140213 0 0 89
0.150125 0 0 94
0.160036 0 0 100
0.170238 0 0 105
0.180149 0 0 111
0.190061 0 0 116
0.200263 0 0 122
0.210174 0 0 127
0.220085 0 0 133
0.230288 0 0 138
0.240199 0 0 144
0.25011 0 0 149
0.260021 0 0 155
0.270224 0 0 161
0.280135 0 0 166
0.290046 0 0 171
0.300249 0 0 177
0.31016 0 0 182
0.320071 0 0 188
0.330274 0 0 193
0.340185 0 0 198
0.350096 0 0 204
0.360007 0 0 209
0.37021 0 0 214
0.380121 0 0 220
0.390032 0 0 225
0.400235 0 0 231
0.410146 0 0 236
0.420057 0 0 241
0.43026 0 0 247
0.440171 0 0 252
0.450082 0 0 257
0.460285 0 0 263
0.470196 0 0 268
0.480107 0 0 274
0.490018 0 0 279
0.500221 0 0 285
0.510132 0 0 290
0.520043 0 0 295
0.530246 0 0 301
0.540157 0 0 306
0.550068 0 0 312
0.560271 0 0 317
0.570182 0 0 323
0.580093 0 0 328
0.590004 0 0 333
0.600207 0 0 339
0.610118 0 0 345
0.620029 0 0 350
0.630231 0 0 356
0.640143 0 0 361
0.650054 0 0 367
0.660256 0 0 373
0.670167 0 0 378
0.680079 0 0 383
0.690281 0 0 389
0.700192 0 0 395
0.710104 0 0 400
0.720015 0 0 405
0.730217 0 0 411
0.740128 0 0 417
0.75004 0 0 422
0.760242 0 0 427
0.770153 0 0 433
0.780064 0 0 439
0.790267 0 0 444
0.800178 0 0 449
0.810089 0 0 455
0.82 0 0 460
0.830203 0 0 466
0.840114 0 0 471
0.850025 0 0 477
0.860228 0 0 482
0.870139 0 0 488
0.88005 0 0 493
0.890253 0 0 499
0.900164 0 0 504
0.910075 0 0 510
0.920278 0 0 515
0.930189 0 0 521
0.9401 0 0 526
0.950011 0 0 532
0.960214 0 0 537
0.970125 0 0 543
0.980036 0 0 548
0.990239 0 0 554
1.00015 0 0 559
1.01006 0 0 565
1.02026 0 0 570
1.03017 0 0 575
1.04009 0 0 581
1.05029 0 0 586
1.0602 0 0 592
1.07011 0 0 597
1.08002 0 0 603
1.09022 0 0 608
1.10014 0 0 614
1.11005 0 0 620
1.12025 0 0 625
1.13016 0 0 631
1.14007 0 0 636
1.15027 0 0 642
1.16019 0 0 647
1.1701 0 0 653
1.18001 0 0 658
1.19021 0 0 664
0 0 1 27
0.0102026 0 1 37
0.0201138 0 1 48
0.0300249 0 1 59
0.0402275 0 1 70
0.0501387 0 1 81
0.0600498 0 1 92
0.0702524 0 1 104
0.0801636 0 1 116
0.0900747 0 1 127
0.100277 0 1 138
0.110188 0 1 150
0.1201 0 1 161
0.130011 0 1 173
0.140213 0 1 184
0.150125 0 1 196
0.160036 0 1 207
0.170238 0 1 219
0.180149 0 1 230
0.190061 0 1 242
0.200263 0 1 254
0.210174 0 1 266
0.220085 0 1 277
0.230288 0 1 289
0.240199 0 1 301
0.25011 0 1 312
0.260021 0 1 324
0.270224 0 1 336
0.280135 0 1 347
0.290046 0 1 358
0.300249 0 1 370
0.31016 0 1 382
0.320071 0 1 393
0.330274 0 1 405
0.340185 0 1 416
0.350096 0 1 427
0.360007 0 1 439
0.37021 0 1 451
0.380121 0 1 462
0.390032 0 1 473
0.400235 0 1 484
0.410146 0 1 496
0.420057 0 1 507
0.43026 0 1 518
0.440171 0 1 529
0.450082 0 1 541
0.460285 0 1 552
0.470196 0 1 564
0.480107 0 1 575
0.490018 0 1 587
0.500221 0 1 599
0.510132 0 1 610
0.520043 0 1 621
0.530246 0 1 633
0.540157 0 1 644
0.550068 0 1 656
0.560271 0 1 668
0.570182 0 1 680
0.580093 0 1 690
0.590004 0 1 702
0.600207 0 1 714
0.610118 0 1 725
0.620029 0 1 737
0.630231 0 1 749
0.640143 0 1 761
0.650054 0 1 772
0.660256 0 1 785
0.670167 0 1 796
0.680079 0 1 807
0.690281 0 1 819
0.700192 0 1 831
0.710104 0 1 843
0.720015 0 1 854
0.730217 0 1 866
0.740128 0 1 877
0.75004 0 1 889
0.760242 0 1 901
0.770153 0 1 912
0.780064 0 1 924
0.790267 0 1 936
0.800178 0 1 947
0.810089 0 1 959
0.82 0 1 970
0.830203 0 1 983
0.840114 0 1 994
0.850025 0 1 1005
0.860228 0 1 1017
0.870139 0 1 1017
0.88005 0 1 1017
0.890253 0 1 1017
0.900164 0 1 1017
0.910075 0 1 1017
0.920278 0 1 1017
0.930189 0 1 1017
0.9401 0 1 1017
0.950011 0 1 1017
0.960214 0 1 1017
0.970125 0 1 1017
0.980036 0 1 1017
0.990239 0 1 1017
1.00015 0 1 1017
1.01006 0 1 1017
1.02026 0 1 1017
1.03017 0 1 1017
1.04009 0 1 1017
1.05029 0 1 1017
1.0602 0 1 1017
1.07011 0 1 1017
1.08002 0 1 1017
1.09022 0 1 1017
1.10014 0 1 1017
1.11005 0 1 1017
1.12025 0 1 1017
1.13016 0 1 1017
1.14007 0 1 1017
1.15027 0 1 1017
1.16019 0 1 1017
1.1701 0 1 1017
1.18001 0 1 1017
1.19021 0 1 1017
0 0 2 17
0.0102026 0 2 24
0.0201138 0 2 30
0.0300249 0 2 37
0.0402275 0 2 44
0.0501387 0 2 50
0.0600498 0 2 57
0.0702524 0 2 64
0.0801636 0 2 71
0.0900747 0 2 78
0.100277 0 2 85
0.110188 0 2 92
0.1201 0 2 98
0.130011 0 2 105
0.140213 0 2 112
0.150125 0 2 119
0.160036 0 2 126
0.170238 0 2 133
0.180149 0 2 140
0.190061 0 2 147
0.200263 0 2 154
0.210174 0 2 161
0.220085 0 2 168
0.230288 0 2 175
0.240199 0 2 182
0.25011 0 2 189
0.260021 0 2 196
0.270224 0 2 203
0.280135 0 2 210
0.290046 0 2 217
0.300249 0 2 224
0.31016 0 2 231
0.320071 0 2 238
0.330274 0 2 244
0.340185 0 2 252
0.350096 0 2 258
0.360007 0 2 265
0.37021 0 2 272
0.380121 0 2 279
0.390032 0 2 285
0.400235 0 2 292
0.410146 0 2 299
0.420057 0 2 306
0.43026 0 2 313
0.440171 0 2 319
0.450082 0 2 326
0.460285 0 2 333
0.470196 0 2 340
0.480107 0 2 347
0.490018 0 2 354
0.500221 0 2 361
0.510132 0 2 368
0.520043 0 2 375
0.530246 0 2 382
0.540157 0 2 389
0.550068 0 2 396
0.560271 0 2 402
0.570182 0 2 409
0.580093 0 2 416
0.590004 0 2 423
0.600207 0 2 430
0.610118 0 2 437
0.620029 0 2 444
0.630231 0 2 451
0.640143 0 2 458
0.650054 0 2 465
0.660256 0 2 472
0.670167 0 2 479
0.680079 0 2 487
0.690281 0 2 494
0.700192 0 2 501
0.710104 0 2 508
0.720015 0 2 515
0.730217 0 2 522
0.740128 0 2 529
0.75004 0 2 535
0.760242 0 2 542
0.770153 0 2 549
0.780064 0 2 557
0.790267 0 2 564
0.800178 0 2 571
0.810089 0 2 578
0.82 0 2 584
0.830203 0 2 591
0.840114 0 2 598
0.850025 0 2 605
0.860228 0 2 612
0.870139 0 2 619
0.88005 0 2 626
0.890253 0 2 633
0.900164 0 2 640
0.910075 0 2 647
0.920278 0 2 654
0.930189 0 2 661
0.9401 0 2 668
0.950011 0 2 675
0.960214 0 2 682
0.970125 0 2 689
0.980036 0 2 696
0.990239 0 2 703
1.00015 0 2 710
1.01006 0 2 717
1.02026 0 2 724
1.03017 0 2 731
1.04009 0 2 738
1.05029 0 2 745
1.0602 0 2 752
1.07011 0 2 758
1.08002 0 2 766
1.09022 0 2 773
1.10014 0 2 780
1.11005 0 2 787
1.12025 0 2 794
1.13016 0 2 801
1.14007 0 2 808
1.15027 0 2 815
1.16019 0 2 822
1.1701 0 2 829
1.18001 0 2 836
1.19021 0 2 843
0 0 3 16
0.0102026 0 3 23
0.0201138 0 3 29
0.0300249 0 3 35
0.0402275 0 3 42
0.0501387 0 3 48
0.0600498 0 3 54
0.0702524 0 3 61
0.0801636 0 3 68
0.0900747 0 3 74
0.100277 0 3 81
0.110188 0 3 87
0.1201 0 3 94
0.130011 0 3 100
0.140213 0 3 107
0.150125 0 3 114
0.160036 0 3 120
0.170238 0 3 127
0.180149 0 3 134
0.190061 0 3 140
0.200263 0 3 147
0.210174 0 3 154
0.220085 0 3 160
0.230288 0 3 167
0.240199 0 3 174
0.25011 0 3 181
0.260021 0 3 187
0.270224 0 3 194
0.280135 0 3 201
0.290046 0 3 207
0.300249 0 3 214
0.31016 0 3 220
0.320071 0 3 227
0.330274 0 3 233
0.340185 0 3 240
0.350096 0 3 246
0.360007 0 3 253
0.37021 0 3 259
0.380121 0 3 266
0.390032 0 3 272
0.400235 0 3 279
0.410146 0 3 285
0.420057 0 3 292
0.43026 0 3 298
0.440171 0 3 305
0.450082 0 3 312
0.460285 0 3 318
0.470196 0 3 325
0.480107 0 3 331
0.490018 0 3 338
0.500221 0 3 344
0.510132 0 3 351
