InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 472
0.597 10 3 473
0.597 10 3 473
0.597 10 3 472
