InputCurrent BandgapControl RampGain OpAmpGain ResistorIdx ADCvalue
0 0 0 0 3 82
3.22549e-08 0 0 0 3 94
6.54314e-08 0 0 0 3 81
9.86078e-08 0 0 0 3 85
1.31784e-07 0 0 0 3 87
1.64961e-07 0 0 0 3 83
1.97529e-07 0 0 0 3 83
2.30882e-07 0 0 0 3 86
2.63441e-07 0 0 0 3 91
2.96794e-07 0 0 0 3 86
3.29353e-07 0 0 0 3 89
3.62706e-07 0 0 0 3 94
3.95265e-07 0 0 0 3 94
4.28618e-07 0 0 0 3 95
4.61971e-07 0 0 0 3 92
4.94529e-07 0 0 0 3 87
5.27882e-07 0 0 0 3 91
5.60441e-07 0 0 0 3 93
5.93794e-07 0 0 0 3 88
6.26353e-07 0 0 0 3 94
6.59706e-07 0 0 0 3 108
6.92377e-07 0 0 0 3 90
7.25936e-07 0 0 0 3 102
7.58696e-07 0 0 0 3 99
7.91456e-07 0 0 0 3 86
8.24216e-07 0 0 0 3 105
8.57775e-07 0 0 0 3 101
8.90534e-07 0 0 0 3 102
9.23294e-07 0 0 0 3 98
9.56853e-07 0 0 0 3 103
9.89613e-07 0 0 0 3 96
1.02237e-06 0 0 0 3 109
1.05593e-06 0 0 0 3 104
1.08869e-06 0 0 0 3 108
1.12145e-06 0 0 0 3 125
1.15421e-06 0 0 0 3 107
1.18762e-06 0 0 0 3 111
1.22097e-06 0 0 0 3 112
1.25353e-06 0 0 0 3 100
1.28688e-06 0 0 0 3 119
1.31944e-06 0 0 0 3 114
1.35297e-06 0 0 0 3 108
1.38573e-06 0 0 0 3 112
1.41849e-06 0 0 0 3 115
1.45125e-06 0 0 0 3 127
1.4848e-06 0 0 0 3 96
1.51756e-06 0 0 0 3 116
1.55032e-06 0 0 0 3 113
1.58388e-06 0 0 0 3 122
1.61664e-06 0 0 0 3 118
1.6494e-06 0 0 0 3 112
1.68235e-06 0 0 0 3 124
1.71531e-06 0 0 0 3 122
1.74827e-06 0 0 0 3 114
1.78124e-06 0 0 0 3 117
1.8142e-06 0 0 0 3 126
1.84756e-06 0 0 0 3 124
1.88091e-06 0 0 0 3 127
1.91347e-06 0 0 0 3 127
1.94682e-06 0 0 0 3 130
1.9794e-06 0 0 0 3 142
2.01296e-06 0 0 0 3 113
2.04572e-06 0 0 0 3 125
2.07848e-06 0 0 0 3 141
2.11124e-06 0 0 0 3 132
2.14479e-06 0 0 0 3 117
2.17755e-06 0 0 0 3 131
2.21031e-06 0 0 0 3 128
2.24387e-06 0 0 0 3 128
2.27663e-06 0 0 0 3 131
2.30943e-06 0 0 0 3 143
2.34239e-06 0 0 0 3 133
2.37535e-06 0 0 0 3 138
2.40831e-06 0 0 0 3 131
2.44127e-06 0 0 0 3 136
2.47499e-06 0 0 0 3 137
2.50775e-06 0 0 0 3 151
2.54051e-06 0 0 0 3 140
2.57327e-06 0 0 0 3 139
2.60683e-06 0 0 0 3 136
2.63959e-06 0 0 0 3 154
2.67235e-06 0 0 0 3 131
2.70591e-06 0 0 0 3 147
2.73867e-06 0 0 0 3 130
2.77143e-06 0 0 0 3 144
2.80499e-06 0 0 0 3 145
2.83775e-06 0 0 0 3 156
2.8705e-06 0 0 0 3 135
2.90326e-06 0 0 0 3 148
2.93682e-06 0 0 0 3 149
2.96958e-06 0 0 0 3 153
3.00234e-06 0 0 0 3 150
3.0359e-06 0 0 0 3 152
3.06866e-06 0 0 0 3 152
3.10142e-06 0 0 0 3 157
3.13498e-06 0 0 0 3 153
3.16774e-06 0 0 0 3 152
3.2005e-06 0 0 0 3 156
3.23326e-06 0 0 0 3 154
3.26682e-06 0 0 0 3 153
-nan 0 0 0 3 74
0 0 0 1 3 81
3.22549e-08 0 0 1 3 84
6.54314e-08 0 0 1 3 64
9.86078e-08 0 0 1 3 83
1.31784e-07 0 0 1 3 86
1.64961e-07 0 0 1 3 81
1.97529e-07 0 0 1 3 85
2.30882e-07 0 0 1 3 82
2.63441e-07 0 0 1 3 85
2.96794e-07 0 0 1 3 83
3.29353e-07 0 0 1 3 87
3.62706e-07 0 0 1 3 86
3.95265e-07 0 0 1 3 83
4.28618e-07 0 0 1 3 84
