InputVoltage BandgapControl RampGain ADCvalue
0 0 0 12
0.0104102 0 0 16
0.0200195 0 0 19
0.0304297 0 0 23
0.0400391 0 0 26
0.0504492 0 0 30
0.0600586 0 0 33
0.0704687 0 0 36
0.0800781 0 0 40
0.0904883 0 0 43
0.100098 0 0 47
0.110508 0 0 50
0.120117 0 0 54
0.130527 0 0 57
0.140137 0 0 61
0.150547 0 0 64
0.160156 0 0 68
0.170566 0 0 71
0.180176 0 0 74
0.190586 0 0 78
0.200195 0 0 82
0.210605 0 0 85
0.220215 0 0 89
0.230625 0 0 92
0.240234 0 0 96
0.250645 0 0 99
0.260254 0 0 103
0.270664 0 0 106
0.280273 0 0 110
0.290684 0 0 113
0.300293 0 0 117
0.310703 0 0 120
0.320312 0 0 124
0.330723 0 0 131
0.340332 0 0 131
0.350742 0 0 135
0.360352 0 0 138
0.370762 0 0 142
0.380371 0 0 145
0.390781 0 0 149
0.400391 0 0 152
0.410801 0 0 156
0.42041 0 0 159
0.43002 0 0 163
0.44043 0 0 166
0.450039 0 0 170
0.460449 0 0 173
0.470059 0 0 177
0.480469 0 0 180
0.490078 0 0 187
0.500488 0 0 187
0.510098 0 0 190
0.520508 0 0 194
0.530117 0 0 197
0.540527 0 0 201
0.550137 0 0 204
0.560547 0 0 208
0.570156 0 0 211
0.580566 0 0 215
0.590176 0 0 218
0.600586 0 0 221
0.610195 0 0 224
0.620605 0 0 228
0.630215 0 0 228
0.640625 0 0 235
0.650234 0 0 238
0.660645 0 0 242
0.670254 0 0 245
0.680664 0 0 249
0.690273 0 0 252
0.700684 0 0 256
0.710293 0 0 259
0.720703 0 0 263
0.730312 0 0 266
0.740723 0 0 270
0.750332 0 0 273
0.760742 0 0 277
0.770352 0 0 280
0.780762 0 0 284
0.790371 0 0 287
0.800781 0 0 291
0.810391 0 0 294
0.820801 0 0 298
0.83041 0 0 301
0.84002 0 0 305
0.85043 0 0 308
0.860039 0 0 312
0.870449 0 0 312
0.880059 0 0 319
0.890469 0 0 323
0.900078 0 0 326
0.910488 0 0 330
0.920098 0 0 333
0.930508 0 0 337
0.940117 0 0 340
0.950527 0 0 344
0.960137 0 0 347
0.970547 0 0 351
0.980156 0 0 354
0.990566 0 0 358
1.00018 0 0 361
1.01059 0 0 365
1.0202 0 0 368
1.03061 0 0 372
1.04021 0 0 375
1.05062 0 0 379
1.06023 0 0 383
1.07064 0 0 386
1.08025 0 0 389
1.09066 0 0 393
1.10027 0 0 396
1.11068 0 0 400
1.12029 0 0 403
1.1307 0 0 411
1.14031 0 0 411
1.15072 0 0 414
1.16033 0 0 418
1.17074 0 0 421
1.18035 0 0 425
1.19076 0 0 429
1.20037 0 0 432
1.21078 0 0 432
1.22039 0 0 439
1.2308 0 0 443
1.24041 0 0 446
1.25002 0 0 450
1.26043 0 0 453
1.27004 0 0 456
1.28045 0 0 460
1.29006 0 0 467
1.30047 0 0 467
1.31008 0 0 470
1.32049 0 0 474
1.3301 0 0 478
1.34051 0 0 481
1.35012 0 0 485
1.36053 0 0 488
1.37014 0 0 492
1.38055 0 0 499
1.39016 0 0 499
1.40057 0 0 502
1.41018 0 0 506
1.42059 0 0 509
1.4302 0 0 512
1.44061 0 0 516
1.45021 0 0 520
1.46062 0 0 523
1.47023 0 0 527
1.48064 0 0 530
1.49025 0 0 534
1.50066 0 0 537
1.51027 0 0 541
1.52068 0 0 544
1.53029 0 0 547
1.5407 0 0 551
1.55031 0 0 554
1.56072 0 0 558
1.57033 0 0 562
1.58074 0 0 565
1.59035 0 0 568
1.60076 0 0 572
1.61037 0 0 575
1.62078 0 0 579
1.63039 0 0 582
1.6408 0 0 586
1.65041 0 0 590
1.66002 0 0 593
1.67043 0 0 597
