Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0465303 5.90738e-05
VCC_H_1.500000_VDD_Reset 1.39656 4.44089e-16
VCC_H_1.500000_current_1V5_Run 0.0306032 0.00371697
VCC_H_1.500000_VDD_Run 1.16699 0.00150615
VCC_H_1.500000_VDD_2_R 486 0
VCC_H_1.500000_VDD_2_L 479.8 0.4
VCC_H_1.500000_DVDD_2 609.4 0.489898
VCC_H_1.500000_BG 507 0
VCC_H_1.500000_Temp 527.9 0.3
VCC_H_1.500000_VDD_H_4 312 0
VCC_H_1.500000_OTA_R 692 0
VCC_H_1.500000_OTA_L 677.7 0.458258
VCC_H_2.000000_current_1V5_Reset 0.0465552 0.0014698
VCC_H_2.000000_VDD_Reset 1.39659 0.000318707
VCC_H_2.000000_current_1V5_Run 0.0300335 0.00453122
VCC_H_2.000000_VDD_Run 1.16789 0.00156232
VCC_H_2.000000_VDD_2_R 486.1 0.3
VCC_H_2.000000_VDD_2_L 479 0
VCC_H_2.000000_DVDD_2 609 0
VCC_H_2.000000_BG 506 0
VCC_H_2.000000_Temp 527.1 0.3
VCC_H_2.000000_VDD_H_4 405 0
VCC_H_2.000000_OTA_R 692.7 0.458258
VCC_H_2.000000_OTA_L 677.1 0.3
VCC_H_2.500000_current_1V5_Reset 0.0466124 0.00150974
VCC_H_2.500000_VDD_Reset 1.39656 4.44089e-16
VCC_H_2.500000_current_1V5_Run 0.0300833 0.00353723
VCC_H_2.500000_VDD_Run 1.16738 0.00492855
VCC_H_2.500000_VDD_2_R 486.2 0.4
VCC_H_2.500000_VDD_2_L 479.1 0.3
VCC_H_2.500000_DVDD_2 609 0
VCC_H_2.500000_BG 506.1 0.3
VCC_H_2.500000_Temp 527 0
VCC_H_2.500000_VDD_H_4 501 0
VCC_H_2.500000_OTA_R 693 0
VCC_H_2.500000_OTA_L 677 0
VCC_H_3.000000_current_1V5_Reset 0.0466348 0.00128699
VCC_H_3.000000_VDD_Reset 1.39659 0.000318707
VCC_H_3.000000_current_1V5_Run 0.0305385 0.00402674
VCC_H_3.000000_VDD_Run 1.16895 0.0007607
VCC_H_3.000000_VDD_2_R 486.2 0.4
VCC_H_3.000000_VDD_2_L 479 0
VCC_H_3.000000_DVDD_2 609 0
VCC_H_3.000000_BG 506.4 0.489898
VCC_H_3.000000_Temp 527.3 0.458258
VCC_H_3.000000_VDD_H_4 595 0
VCC_H_3.000000_OTA_R 693.9 0.3
VCC_H_3.000000_OTA_L 677.4 0.489898
