InputVoltage BandgapControl RampGain ADCvalue
0 0 0 16
0.0102026 0 0 21
0.0201138 0 0 26
0.0300249 0 0 31
0.0402275 0 0 37
0.0501387 0 0 42
0.0600498 0 0 48
0.0702524 0 0 53
0.0801636 0 0 58
0.0900747 0 0 64
0.100277 0 0 69
0.110188 0 0 75
0.1201 0 0 80
0.130011 0 0 86
0.140213 0 0 91
0.150125 0 0 97
0.160036 0 0 102
0.170238 0 0 108
0.180149 0 0 113
0.190061 0 0 119
0.200263 0 0 124
0.210174 0 0 130
0.220085 0 0 135
0.230288 0 0 141
0.240199 0 0 147
0.25011 0 0 152
0.260021 0 0 158
0.270224 0 0 163
0.280135 0 0 169
0.290046 0 0 174
0.300249 0 0 180
0.31016 0 0 185
0.320071 0 0 190
0.330274 0 0 196
0.340185 0 0 201
0.350096 0 0 206
0.360007 0 0 212
0.37021 0 0 217
0.380121 0 0 222
0.390032 0 0 228
0.400235 0 0 233
0.410146 0 0 238
0.420057 0 0 244
0.43026 0 0 249
0.440171 0 0 254
0.450082 0 0 260
0.460285 0 0 265
0.470196 0 0 271
0.480107 0 0 276
0.490018 0 0 281
0.500221 0 0 287
0.510132 0 0 292
0.520043 0 0 298
0.530246 0 0 303
0.540157 0 0 309
0.550068 0 0 314
0.560271 0 0 320
0.570182 0 0 325
0.580093 0 0 331
0.590004 0 0 336
0.600207 0 0 342
0.610118 0 0 347
0.620029 0 0 353
0.630231 0 0 359
0.640143 0 0 364
0.650054 0 0 369
0.660256 0 0 375
0.670167 0 0 381
0.680079 0 0 386
0.690281 0 0 392
0.700192 0 0 397
0.710104 0 0 403
0.720015 0 0 408
0.730217 0 0 414
0.740128 0 0 420
0.75004 0 0 425
0.760242 0 0 431
0.770153 0 0 436
0.780064 0 0 442
0.790267 0 0 447
0.800178 0 0 453
0.810089 0 0 458
0.82 0 0 464
0.830203 0 0 469
0.840114 0 0 475
0.850025 0 0 480
0.860228 0 0 486
0.870139 0 0 491
0.88005 0 0 497
0.890253 0 0 502
0.900164 0 0 507
0.910075 0 0 513
0.920278 0 0 519
0.930189 0 0 524
0.9401 0 0 530
0.950011 0 0 535
0.960214 0 0 541
0.970125 0 0 546
0.980036 0 0 551
0.990239 0 0 557
1.00015 0 0 562
1.01006 0 0 568
1.02026 0 0 573
1.03017 0 0 579
1.04009 0 0 584
1.05029 0 0 590
1.0602 0 0 595
1.07011 0 0 601
1.08002 0 0 606
1.09022 0 0 612
1.10014 0 0 617
1.11005 0 0 623
1.12025 0 0 628
1.13016 0 0 634
1.14007 0 0 640
1.15027 0 0 645
1.16019 0 0 651
1.1701 0 0 656
1.18001 0 0 662
1.19021 0 0 667
0 0 1 30
0.0102026 0 1 41
0.0201138 0 1 52
0.0300249 0 1 63
0.0402275 0 1 75
0.0501387 0 1 86
0.0600498 0 1 97
0.0702524 0 1 109
0.0801636 0 1 120
0.0900747 0 1 131
0.100277 0 1 143
0.110188 0 1 154
0.1201 0 1 166
0.130011 0 1 178
0.140213 0 1 190
0.150125 0 1 201
0.160036 0 1 213
0.170238 0 1 225
0.180149 0 1 236
0.190061 0 1 248
0.200263 0 1 260
0.210174 0 1 272
0.220085 0 1 283
0.230288 0 1 295
0.240199 0 1 307
0.25011 0 1 318
0.260021 0 1 330
0.270224 0 1 342
0.280135 0 1 354
0.290046 0 1 365
0.300249 0 1 377
0.31016 0 1 389
0.320071 0 1 400
0.330274 0 1 411
0.340185 0 1 423
0.350096 0 1 434
0.360007 0 1 445
0.37021 0 1 457
0.380121 0 1 468
0.390032 0 1 479
0.400235 0 1 491
0.410146 0 1 502
0.420057 0 1 513
0.43026 0 1 525
0.440171 0 1 536
0.450082 0 1 548
0.460285 0 1 560
