InputVoltage BandgapControl RampGain ADCvalue
0 0 0 13
0.0104102 0 0 19
0.0200195 0 0 24
0.0304297 0 0 30
0.0400391 0 0 35
0.0504492 0 0 41
0.0600586 0 0 46
0.0704687 0 0 52
0.0800781 0 0 57
0.0904883 0 0 63
0.100098 0 0 68
0.110508 0 0 74
0.120117 0 0 79
0.130527 0 0 85
0.140137 0 0 91
0.150547 0 0 96
0.160156 0 0 102
0.170566 0 0 104
0.180176 0 0 113
0.190586 0 0 119
0.200195 0 0 124
0.210605 0 0 130
0.220215 0 0 135
0.230625 0 0 141
0.240234 0 0 147
0.250645 0 0 152
0.260254 0 0 158
0.270664 0 0 164
0.280273 0 0 169
0.290684 0 0 175
0.300293 0 0 180
0.310703 0 0 186
0.320312 0 0 191
0.330723 0 0 197
0.340332 0 0 202
0.350742 0 0 208
0.360352 0 0 213
0.370762 0 0 219
0.380371 0 0 224
0.390781 0 0 230
0.400391 0 0 235
0.410801 0 0 241
0.42041 0 0 246
0.43002 0 0 251
0.44043 0 0 257
0.450039 0 0 262
0.460449 0 0 268
0.470059 0 0 273
0.480469 0 0 279
0.490078 0 0 284
0.500488 0 0 290
0.510098 0 0 295
0.520508 0 0 301
0.530117 0 0 307
0.540527 0 0 312
0.550137 0 0 318
0.560547 0 0 320
0.570156 0 0 329
0.580566 0 0 334
0.590176 0 0 340
0.600586 0 0 346
0.610195 0 0 351
0.620605 0 0 357
0.630215 0 0 362
0.640625 0 0 368
0.650234 0 0 374
0.660645 0 0 379
0.670254 0 0 385
0.680664 0 0 391
0.690273 0 0 396
0.700684 0 0 402
0.710293 0 0 407
0.720703 0 0 413
0.730312 0 0 419
0.740723 0 0 424
0.750332 0 0 430
0.760742 0 0 432
0.770352 0 0 441
0.780762 0 0 447
0.790371 0 0 452
0.800781 0 0 458
0.810391 0 0 467
0.820801 0 0 469
0.83041 0 0 475
0.84002 0 0 480
0.85043 0 0 486
0.860039 0 0 488
0.870449 0 0 497
0.880059 0 0 503
0.890469 0 0 508
0.900078 0 0 514
0.910488 0 0 519
0.920098 0 0 525
0.930508 0 0 531
0.940117 0 0 539
0.950527 0 0 541
0.960137 0 0 547
0.970547 0 0 552
0.980156 0 0 557
