InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 480
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
0.597 10 3 481
