InputVoltage BandgapControl RampGain ADCvalue
0 0 0 13
0.0102026 0 0 18
0.0201138 0 0 23
0.0300249 0 0 29
0.0402275 0 0 34
0.0501387 0 0 39
0.0600498 0 0 45
0.0702524 0 0 50
0.0801636 0 0 56
0.0900747 0 0 61
0.100277 0 0 67
0.110188 0 0 72
0.1201 0 0 78
0.130011 0 0 83
0.140213 0 0 89
0.150125 0 0 94
0.160036 0 0 100
0.170238 0 0 105
0.180149 0 0 111
0.190061 0 0 116
0.200263 0 0 122
0.210174 0 0 127
0.220085 0 0 133
0.230288 0 0 138
0.240199 0 0 144
0.25011 0 0 149
0.260021 0 0 155
0.270224 0 0 160
0.280135 0 0 166
0.290046 0 0 171
0.300249 0 0 177
0.31016 0 0 182
0.320071 0 0 187
0.330274 0 0 193
0.340185 0 0 198
0.350096 0 0 204
0.360007 0 0 209
0.37021 0 0 214
0.380121 0 0 220
0.390032 0 0 225
0.400235 0 0 230
0.410146 0 0 236
0.420057 0 0 241
0.43026 0 0 246
0.440171 0 0 252
0.450082 0 0 257
0.460285 0 0 263
0.470196 0 0 268
0.480107 0 0 273
0.490018 0 0 279
0.500221 0 0 284
0.510132 0 0 290
0.520043 0 0 295
0.530246 0 0 301
0.540157 0 0 306
0.550068 0 0 311
0.560271 0 0 317
0.570182 0 0 322
0.580093 0 0 328
0.590004 0 0 333
0.600207 0 0 339
0.610118 0 0 345
0.620029 0 0 350
0.630231 0 0 356
0.640143 0 0 361
0.650054 0 0 367
0.660256 0 0 372
0.670167 0 0 378
0.680079 0 0 383
0.690281 0 0 389
0.700192 0 0 394
0.710104 0 0 400
0.720015 0 0 405
0.730217 0 0 411
0.740128 0 0 416
0.75004 0 0 422
0.760242 0 0 427
0.770153 0 0 433
0.780064 0 0 438
0.790267 0 0 444
0.800178 0 0 449
0.810089 0 0 455
0.82 0 0 460
0.830203 0 0 466
0.840114 0 0 471
0.850025 0 0 477
0.860228 0 0 482
0.870139 0 0 488
0.88005 0 0 493
0.890253 0 0 499
0.900164 0 0 504
0.910075 0 0 510
0.920278 0 0 515
0.930189 0 0 521
0.9401 0 0 526
0.950011 0 0 531
0.960214 0 0 537
0.970125 0 0 542
0.980036 0 0 548
0.990239 0 0 553
1.00015 0 0 558
1.01006 0 0 564
1.02026 0 0 569
1.03017 0 0 575
1.04009 0 0 580
1.05029 0 0 586
1.0602 0 0 591
1.07011 0 0 596
1.08002 0 0 602
1.09022 0 0 607
1.10014 0 0 613
1.11005 0 0 618
1.12025 0 0 624
1.13016 0 0 629
1.14007 0 0 635
1.15027 0 0 640
1.16019 0 0 646
1.1701 0 0 651
1.18001 0 0 657
1.19021 0 0 662
0 0 1 26
0.0102026 0 1 35
0.0201138 0 1 46
0.0300249 0 1 58
0.0402275 0 1 69
0.0501387 0 1 81
0.0600498 0 1 92
0.0702524 0 1 103
0.0801636 0 1 115
0.0900747 0 1 126
0.100277 0 1 138
0.110188 0 1 150
0.1201 0 1 161
0.130011 0 1 173
0.140213 0 1 185
0.150125 0 1 196
0.160036 0 1 208
0.170238 0 1 220
0.180149 0 1 232
0.190061 0 1 243
0.200263 0 1 255
0.210174 0 1 266
0.220085 0 1 278
0.230288 0 1 290
0.240199 0 1 302
0.25011 0 1 313
0.260021 0 1 325
0.270224 0 1 337
0.280135 0 1 348
0.290046 0 1 360
0.300249 0 1 371
0.31016 0 1 383
0.320071 0 1 394
0.330274 0 1 406
0.340185 0 1 418
0.350096 0 1 429
0.360007 0 1 440
0.37021 0 1 452
0.380121 0 1 463
0.390032 0 1 474
0.400235 0 1 485
0.410146 0 1 497
0.420057 0 1 508
0.43026 0 1 519
0.440171 0 1 531
0.450082 0 1 542
0.460285 0 1 553
0.470196 0 1 565
0.480107 0 1 577
0.490018 0 1 588
0.500221 0 1 600
0.510132 0 1 611
0.520043 0 1 622
0.530246 0 1 635
0.540157 0 1 647
0.550068 0 1 658
0.560271 0 1 670
0.570182 0 1 681
0.580093 0 1 693
0.590004 0 1 704
0.600207 0 1 717
0.610118 0 1 729
0.620029 0 1 740
0.630231 0 1 751
0.640143 0 1 763
0.650054 0 1 775
0.660256 0 1 787
0.670167 0 1 799
0.680079 0 1 810
0.690281 0 1 823
0.700192 0 1 834
0.710104 0 1 846
0.720015 0 1 857
0.730217 0 1 869
0.740128 0 1 880
0.75004 0 1 892
0.760242 0 1 904
0.770153 0 1 916
0.780064 0 1 927
0.790267 0 1 938
0.800178 0 1 951
0.810089 0 1 962
0.82 0 1 974
0.830203 0 1 986
0.840114 0 1 997
0.850025 0 1 1009
0.860228 0 1 1021
0.870139 0 1 1020
0.88005 0 1 1020
0.890253 0 1 1020
0.900164 0 1 1020
0.910075 0 1 1020
0.920278 0 1 1020
0.930189 0 1 1020
0.9401 0 1 1020
0.950011 0 1 1020
0.960214 0 1 1020
0.970125 0 1 1020
0.980036 0 1 1020
0.990239 0 1 1020
1.00015 0 1 1020
1.01006 0 1 1020
1.02026 0 1 1020
1.03017 0 1 1020
1.04009 0 1 1020
1.05029 0 1 1020
1.0602 0 1 1020
1.07011 0 1 1020
1.08002 0 1 1020
1.09022 0 1 1020
1.10014 0 1 1020
1.11005 0 1 1020
1.12025 0 1 1020
1.13016 0 1 1020
1.14007 0 1 1020
1.15027 0 1 1020
1.16019 0 1 1020
1.1701 0 1 1020
1.18001 0 1 1020
1.19021 0 1 1020
0 0 2 16
0.0102026 0 2 22
0.0201138 0 2 29
0.0300249 0 2 36
0.0402275 0 2 43
0.0501387 0 2 49
0.0600498 0 2 56
0.0702524 0 2 63
0.0801636 0 2 70
0.0900747 0 2 77
0.100277 0 2 84
0.110188 0 2 91
0.1201 0 2 98
0.130011 0 2 105
0.140213 0 2 111
0.150125 0 2 118
0.160036 0 2 125
0.170238 0 2 132
0.180149 0 2 140
0.190061 0 2 147
0.200263 0 2 154
0.210174 0 2 161
0.220085 0 2 168
0.230288 0 2 175
0.240199 0 2 181
0.25011 0 2 188
0.260021 0 2 195
0.270224 0 2 203
0.280135 0 2 209
0.290046 0 2 216
0.300249 0 2 223
0.31016 0 2 230
0.320071 0 2 237
0.330274 0 2 244
0.340185 0 2 251
0.350096 0 2 257
0.360007 0 2 264
0.37021 0 2 271
0.380121 0 2 278
0.390032 0 2 284
0.400235 0 2 291
0.410146 0 2 298
0.420057 0 2 305
0.43026 0 2 311
0.440171 0 2 318
0.450082 0 2 325
0.460285 0 2 332
0.470196 0 2 339
0.480107 0 2 346
0.490018 0 2 352
0.500221 0 2 359
0.510132 0 2 366
0.520043 0 2 373
0.530246 0 2 380
0.540157 0 2 387
0.550068 0 2 394
0.560271 0 2 401
0.570182 0 2 408
0.580093 0 2 415
0.590004 0 2 422
0.600207 0 2 429
0.610118 0 2 436
0.620029 0 2 443
0.630231 0 2 450
0.640143 0 2 457
0.650054 0 2 464
0.660256 0 2 471
0.670167 0 2 478
0.680079 0 2 485
0.690281 0 2 492
0.700192 0 2 499
0.710104 0 2 506
0.720015 0 2 513
0.730217 0 2 520
0.740128 0 2 527
0.75004 0 2 534
0.760242 0 2 541
0.770153 0 2 548
0.780064 0 2 555
0.790267 0 2 562
0.800178 0 2 569
0.810089 0 2 576
0.82 0 2 583
0.830203 0 2 590
0.840114 0 2 597
0.850025 0 2 603
0.860228 0 2 611
0.870139 0 2 618
0.88005 0 2 624
0.890253 0 2 631
0.900164 0 2 638
0.910075 0 2 645
0.920278 0 2 652
0.930189 0 2 659
0.9401 0 2 666
0.950011 0 2 673
0.960214 0 2 680
0.970125 0 2 687
0.980036 0 2 694
0.990239 0 2 700
1.00015 0 2 707
1.01006 0 2 714
1.02026 0 2 721
1.03017 0 2 727
1.04009 0 2 735
1.05029 0 2 741
1.0602 0 2 748
1.07011 0 2 755
1.08002 0 2 762
1.09022 0 2 769
1.10014 0 2 776
1.11005 0 2 783
1.12025 0 2 790
1.13016 0 2 797
1.14007 0 2 804
1.15027 0 2 811
1.16019 0 2 818
1.1701 0 2 825
1.18001 0 2 832
1.19021 0 2 839
0 0 3 16
0.0102026 0 3 22
0.0201138 0 3 28
0.0300249 0 3 34
0.0402275 0 3 41
0.0501387 0 3 47
0.0600498 0 3 54
0.0702524 0 3 61
0.0801636 0 3 67
0.0900747 0 3 74
0.100277 0 3 80
0.110188 0 3 87
0.1201 0 3 94
0.130011 0 3 100
0.140213 0 3 107
0.150125 0 3 114
0.160036 0 3 120
0.170238 0 3 127
0.180149 0 3 134
0.190061 0 3 141
