InputVoltage BandgapControl RampGain ADCvalue
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 544
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 546
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 544
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
0.597383 10 3 545
