InputVoltage BandgapControl RampGain ADCvalue
0 0 0 19
0.0104102 0 0 25
0.0200195 0 0 30
0.0304297 0 0 35
0.0400391 0 0 41
0.0504492 0 0 46
0.0600586 0 0 52
0.0704687 0 0 57
0.0800781 0 0 63
0.0904883 0 0 68
0.100098 0 0 74
0.110508 0 0 76
0.120117 0 0 85
0.130527 0 0 91
0.140137 0 0 96
0.150547 0 0 102
0.160156 0 0 107
0.170566 0 0 113
0.180176 0 0 118
0.190586 0 0 124
0.200195 0 0 129
0.210605 0 0 135
0.220215 0 0 141
0.230625 0 0 146
0.240234 0 0 148
0.250645 0 0 157
0.260254 0 0 163
0.270664 0 0 168
0.280273 0 0 174
0.290684 0 0 179
0.300293 0 0 184
0.310703 0 0 190
0.320312 0 0 192
0.330723 0 0 201
0.340332 0 0 206
0.350742 0 0 212
0.360352 0 0 217
0.370762 0 0 223
0.380371 0 0 228
0.390781 0 0 233
0.400391 0 0 238
0.410801 0 0 244
0.42041 0 0 249
0.43002 0 0 254
0.44043 0 0 260
0.450039 0 0 265
0.460449 0 0 271
0.470059 0 0 276
0.480469 0 0 282
0.490078 0 0 287
0.500488 0 0 293
0.510098 0 0 298
0.520508 0 0 304
0.530117 0 0 309
0.540527 0 0 315
0.550137 0 0 321
0.560547 0 0 326
0.570156 0 0 332
0.580566 0 0 337
0.590176 0 0 343
0.600586 0 0 348
0.610195 0 0 354
0.620605 0 0 360
0.630215 0 0 365
0.640625 0 0 371
0.650234 0 0 376
0.660645 0 0 382
0.670254 0 0 387
0.680664 0 0 393
0.690273 0 0 399
0.700684 0 0 404
0.710293 0 0 410
0.720703 0 0 412
0.730312 0 0 421
0.740723 0 0 427
0.750332 0 0 432
0.760742 0 0 438
0.770352 0 0 443
0.780762 0 0 449
0.790371 0 0 454
0.800781 0 0 460
0.810391 0 0 466
0.820801 0 0 468
0.83041 0 0 477
0.84002 0 0 483
0.85043 0 0 488
0.860039 0 0 493
0.870449 0 0 499
0.880059 0 0 505
0.890469 0 0 510
0.900078 0 0 515
0.910488 0 0 521
0.920098 0 0 526
0.930508 0 0 532
0.940117 0 0 537
0.950527 0 0 543
0.960137 0 0 548
0.970547 0 0 554
0.980156 0 0 559
0.990566 0 0 565
1.00018 0 0 570
1.01059 0 0 572
1.0202 0 0 581
1.03061 0 0 587
1.04021 0 0 592
1.05062 0 0 598
1.06023 0 0 603
1.07064 0 0 609
1.08025 0 0 614
1.09066 0 0 620
1.10027 0 0 625
1.11068 0 0 631
1.12029 0 0 637
1.1307 0 0 642
1.14031 0 0 648
1.15072 0 0 654
1.16033 0 0 659
1.17074 0 0 665
1.18035 0 0 671
1.19076 0 0 676
0 0 1 38
0.0104102 0 1 50
0.0200195 0 1 62
0.0304297 0 1 74
0.0400391 0 1 85
0.0504492 0 1 98
0.0600586 0 1 109
0.0704687 0 1 122
0.0800781 0 1 133
0.0904883 0 1 146
0.100098 0 1 157
0.110508 0 1 170
0.120117 0 1 182
0.130527 0 1 194
0.140137 0 1 206
0.150547 0 1 219
0.160156 0 1 230
0.170566 0 1 243
0.180176 0 1 254
0.190586 0 1 267
0.200195 0 1 279
0.210605 0 1 288
0.220215 0 1 307
0.230625 0 1 316
0.240234 0 1 328
0.250645 0 1 340
0.260254 0 1 352
0.270664 0 1 364
0.280273 0 1 376
0.290684 0 1 388
0.300293 0 1 400
0.310703 0 1 413
0.320312 0 1 424
0.330723 0 1 436
0.340332 0 1 444
0.350742 0 1 460
0.360352 0 1 475
0.370762 0 1 487
0.380371 0 1 495
0.390781 0 1 507
0.400391 0 1 518
0.410801 0 1 531
0.42041 0 1 542
0.43002 0 1 554
0.44043 0 1 566
0.450039 0 1 577
0.460449 0 1 589
0.470059 0 1 602
0.480469 0 1 614
0.490078 0 1 625
0.500488 0 1 638
0.510098 0 1 650
0.520508 0 1 663
0.530117 0 1 674
0.540527 0 1 687
0.550137 0 1 699
0.560547 0 1 711
0.570156 0 1 723
0.580566 0 1 739
0.590176 0 1 747
0.600586 0 1 763
0.610195 0 1 771
0.620605 0 1 784
0.630215 0 1 796
0.640625 0 1 809
0.650234 0 1 816
0.660645 0 1 833
0.670254 0 1 844
0.680664 0 1 858
0.690273 0 1 869
0.700684 0 1 882
0.710293 0 1 894
0.720703 0 1 907
0.730312 0 1 918
0.740723 0 1 931
0.750332 0 1 943
0.760742 0 1 959
0.770352 0 1 967
0.780762 0 1 980
0.790371 0 1 992
0.800781 0 1 1005
0.810391 0 1 1016
0.820801 0 1 1016
0.83041 0 1 1016
0.84002 0 1 1016
0.85043 0 1 1016
0.860039 0 1 1016
