InputVoltage BandgapControl RampGain ADCvalue
0 0 0 15
0.0102026 0 0 20
0.0201138 0 0 25
0.0300249 0 0 30
0.0402275 0 0 36
0.0501387 0 0 41
0.0600498 0 0 46
0.0702524 0 0 51
0.0801636 0 0 56
0.0900747 0 0 61
0.100277 0 0 67
0.110188 0 0 72
0.1201 0 0 77
0.130011 0 0 82
0.140213 0 0 88
0.150125 0 0 93
0.160036 0 0 98
0.170238 0 0 104
0.180149 0 0 109
0.190061 0 0 114
0.200263 0 0 120
0.210174 0 0 125
0.220085 0 0 130
0.230288 0 0 136
0.240199 0 0 141
0.25011 0 0 146
0.260021 0 0 151
0.270224 0 0 157
0.280135 0 0 162
0.290046 0 0 167
0.300249 0 0 173
0.31016 0 0 178
0.320071 0 0 183
0.330274 0 0 188
0.340185 0 0 193
0.350096 0 0 199
0.360007 0 0 204
0.37021 0 0 209
0.380121 0 0 214
0.390032 0 0 219
0.400235 0 0 224
0.410146 0 0 229
0.420057 0 0 234
0.43026 0 0 239
0.440171 0 0 244
0.450082 0 0 250
0.460285 0 0 255
0.470196 0 0 260
0.480107 0 0 265
0.490018 0 0 271
0.500221 0 0 276
0.510132 0 0 281
0.520043 0 0 286
0.530246 0 0 291
0.540157 0 0 297
0.550068 0 0 302
0.560271 0 0 307
0.570182 0 0 313
0.580093 0 0 318
0.590004 0 0 323
0.600207 0 0 328
0.610118 0 0 334
0.620029 0 0 339
0.630231 0 0 344
0.640143 0 0 350
0.650054 0 0 355
0.660256 0 0 360
0.670167 0 0 366
0.680079 0 0 371
0.690281 0 0 376
0.700192 0 0 382
0.710104 0 0 387
0.720015 0 0 392
0.730217 0 0 398
0.740128 0 0 403
0.75004 0 0 408
0.760242 0 0 414
0.770153 0 0 419
0.780064 0 0 424
0.790267 0 0 429
0.800178 0 0 435
0.810089 0 0 440
0.82 0 0 445
0.830203 0 0 451
0.840114 0 0 456
0.850025 0 0 461
0.860228 0 0 466
0.870139 0 0 471
0.88005 0 0 477
0.890253 0 0 482
0.900164 0 0 487
0.910075 0 0 492
0.920278 0 0 498
0.930189 0 0 503
0.9401 0 0 508
0.950011 0 0 513
0.960214 0 0 519
0.970125 0 0 524
0.980036 0 0 529
0.990239 0 0 534
1.00015 0 0 540
1.01006 0 0 545
1.02026 0 0 550
1.03017 0 0 555
1.04009 0 0 561
1.05029 0 0 566
1.0602 0 0 571
1.07011 0 0 576
1.08002 0 0 581
1.09022 0 0 587
1.10014 0 0 592
1.11005 0 0 598
1.12025 0 0 603
1.13016 0 0 609
1.14007 0 0 614
1.15027 0 0 620
1.16019 0 0 625
1.1701 0 0 630
1.18001 0 0 635
1.19021 0 0 641
0 0 1 29
0.0102026 0 1 40
0.0201138 0 1 50
0.0300249 0 1 61
0.0402275 0 1 71
0.0501387 0 1 82
0.0600498 0 1 93
0.0702524 0 1 104
0.0801636 0 1 115
0.0900747 0 1 126
0.100277 0 1 137
0.110188 0 1 148
0.1201 0 1 159
0.130011 0 1 170
0.140213 0 1 181
0.150125 0 1 192
0.160036 0 1 204
0.170238 0 1 215
0.180149 0 1 226
0.190061 0 1 237
0.200263 0 1 248
0.210174 0 1 259
0.220085 0 1 271
0.230288 0 1 282
0.240199 0 1 293
0.25011 0 1 304
0.260021 0 1 316
0.270224 0 1 327
0.280135 0 1 338
0.290046 0 1 349
0.300249 0 1 360
0.31016 0 1 371
0.320071 0 1 382
0.330274 0 1 393
0.340185 0 1 404
0.350096 0 1 415
0.360007 0 1 426
0.37021 0 1 436
0.380121 0 1 447
0.390032 0 1 458
0.400235 0 1 469
0.410146 0 1 480
0.420057 0 1 490
0.43026 0 1 501
0.440171 0 1 512
0.450082 0 1 523
0.460285 0 1 534
0.470196 0 1 545
0.480107 0 1 556
0.490018 0 1 567
0.500221 0 1 578
0.510132 0 1 589
0.520043 0 1 600
0.530246 0 1 611
0.540157 0 1 623
0.550068 0 1 633
0.560271 0 1 645
0.570182 0 1 656
0.580093 0 1 667
0.590004 0 1 677
0.600207 0 1 689
0.610118 0 1 700
0.620029 0 1 712
0.630231 0 1 723
0.640143 0 1 734
0.650054 0 1 745
0.660256 0 1 756
0.670167 0 1 512
0.680079 0 1 779
0.690281 0 1 791
0.700192 0 1 802
0.710104 0 1 812
0.720015 0 1 824
0.730217 0 1 835
0.740128 0 1 846
0.75004 0 1 857
0.760242 0 1 868
0.770153 0 1 880
0.780064 0 1 891
0.790267 0 1 902
0.800178 0 1 913
0.810089 0 1 924
0.82 0 1 935
0.830203 0 1 947
0.840114 0 1 958
0.850025 0 1 968
0.860228 0 1 980
0.870139 0 1 991
0.88005 0 1 1002
0.890253 0 1 1013
0.900164 0 1 1023
0.910075 0 1 1023
0.920278 0 1 1023
0.930189 0 1 1023
0.9401 0 1 1023
0.950011 0 1 1023
0.960214 0 1 1023
0.970125 0 1 1023
0.980036 0 1 1023
0.990239 0 1 1023
1.00015 0 1 1023
1.01006 0 1 1023
1.02026 0 1 1023
1.03017 0 1 1023
1.04009 0 1 1023
1.05029 0 1 1023
1.0602 0 1 1023
1.07011 0 1 1023
1.08002 0 1 1023
1.09022 0 1 1023
1.10014 0 1 1023
1.11005 0 1 1023
1.12025 0 1 1023
1.13016 0 1 1023
1.14007 0 1 1023
1.15027 0 1 1023
1.16019 0 1 1023
1.1701 0 1 1023
1.18001 0 1 1023
1.19021 0 1 1023
0 0 2 19
0.0102026 0 2 25
0.0201138 0 2 31
0.0300249 0 2 38
0.0402275 0 2 44
0.0501387 0 2 51
0.0600498 0 2 57
0.0702524 0 2 64
0.0801636 0 2 71
0.0900747 0 2 77
0.100277 0 2 84
0.110188 0 2 91
0.1201 0 2 97
0.130011 0 2 104
0.140213 0 2 111
0.150125 0 2 117
0.160036 0 2 124
0.170238 0 2 131
0.180149 0 2 138
0.190061 0 2 144
0.200263 0 2 151
0.210174 0 2 158
0.220085 0 2 165
0.230288 0 2 172
0.240199 0 2 178
0.25011 0 2 185
0.260021 0 2 191
0.270224 0 2 198
0.280135 0 2 205
0.290046 0 2 212
0.300249 0 2 218
0.31016 0 2 225
0.320071 0 2 231
0.330274 0 2 238
0.340185 0 2 245
0.350096 0 2 251
0.360007 0 2 258
0.37021 0 2 264
0.380121 0 2 271
0.390032 0 2 277
0.400235 0 2 284
0.410146 0 2 290
0.420057 0 2 296
0.43026 0 2 303
