InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 462
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 462
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 462
0.597 10 3 462
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
0.597 10 3 463
