Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0812154 0.00816306
VCC_H_1.500000_VDD_Reset 1.38695 1.33227e-15
VCC_H_1.500000_current_1V5_Run 0.0652211 0.00413007
VCC_H_1.500000_VDD_Run 1.18862 0.000868986
VCC_H_1.500000_VDD_2_R 452.5 0.5
VCC_H_1.500000_VDD_2_L 486.1 0.3
VCC_H_1.500000_DVDD_2 603 0
VCC_H_1.500000_BG 514.1 0.3
VCC_H_1.500000_Temp 532.9 0.3
VCC_H_1.500000_VDD_H_4 270 0
VCC_H_1.500000_OTA_R 637.8 0.4
VCC_H_1.500000_OTA_L 690 0
VCC_H_2.000000_current_1V5_Reset 0.0817328 0.00247253
VCC_H_2.000000_VDD_Reset 1.38695 1.33227e-15
VCC_H_2.000000_current_1V5_Run 0.0625098 0.00232906
VCC_H_2.000000_VDD_Run 1.18897 0.00125659
VCC_H_2.000000_VDD_2_R 452.2 0.4
VCC_H_2.000000_VDD_2_L 485 0
VCC_H_2.000000_DVDD_2 601.9 0.3
VCC_H_2.000000_BG 513 0
VCC_H_2.000000_Temp 531.2 0.4
VCC_H_2.000000_VDD_H_4 352 0
VCC_H_2.000000_OTA_R 637 0
VCC_H_2.000000_OTA_L 688.1 0.3
VCC_H_2.500000_current_1V5_Reset 0.082183 0.00146016
VCC_H_2.500000_VDD_Reset 1.38695 1.33227e-15
VCC_H_2.500000_current_1V5_Run 0.0631217 0.0025365
VCC_H_2.500000_VDD_Run 1.18951 0.0015375
VCC_H_2.500000_VDD_2_R 452.1 0.3
VCC_H_2.500000_VDD_2_L 484.2 0.4
VCC_H_2.500000_DVDD_2 601 0
VCC_H_2.500000_BG 513 0
VCC_H_2.500000_Temp 531 0
VCC_H_2.500000_VDD_H_4 436 0
VCC_H_2.500000_OTA_R 636.9 0.3
VCC_H_2.500000_OTA_L 687.7 0.458258
VCC_H_3.000000_current_1V5_Reset 0.081897 0.00306455
VCC_H_3.000000_VDD_Reset 1.38695 1.33227e-15
VCC_H_3.000000_current_1V5_Run 0.0632311 0.00354286
VCC_H_3.000000_VDD_Run 1.1891 0.00609192
VCC_H_3.000000_VDD_2_R 451.9 0.3
VCC_H_3.000000_VDD_2_L 483.9 0.3
VCC_H_3.000000_DVDD_2 600.4 0.489898
VCC_H_3.000000_BG 512.3 0.458258
VCC_H_3.000000_Temp 530.8 0.4
VCC_H_3.000000_VDD_H_4 515.1 0.3
VCC_H_3.000000_OTA_R 636.9 0.3
VCC_H_3.000000_OTA_L 686.9 0.3
