InputVoltage BandgapControl RampGain ADCvalue
0 0 0 16
0.0104102 0 0 19
0.0200195 0 0 23
0.0304297 0 0 26
0.0400391 0 0 30
0.0504492 0 0 33
0.0600586 0 0 37
0.0704687 0 0 40
0.0800781 0 0 44
0.0904883 0 0 44
0.100098 0 0 51
0.110508 0 0 55
0.120117 0 0 59
0.130527 0 0 62
0.140137 0 0 66
0.150547 0 0 69
0.160156 0 0 73
0.170566 0 0 77
0.180176 0 0 80
0.190586 0 0 84
0.200195 0 0 91
0.210605 0 0 88
0.220215 0 0 95
0.230625 0 0 99
0.240234 0 0 102
0.250645 0 0 106
0.260254 0 0 110
0.270664 0 0 114
0.280273 0 0 117
0.290684 0 0 121
0.300293 0 0 124
0.310703 0 0 128
0.320312 0 0 132
0.330723 0 0 136
0.340332 0 0 139
0.350742 0 0 143
0.360352 0 0 146
0.370762 0 0 150
0.380371 0 0 154
0.390781 0 0 158
0.400391 0 0 161
0.410801 0 0 165
0.42041 0 0 168
0.43002 0 0 172
0.44043 0 0 176
0.450039 0 0 179
0.460449 0 0 183
0.470059 0 0 186
0.480469 0 0 190
0.490078 0 0 193
0.500488 0 0 197
0.510098 0 0 201
0.520508 0 0 204
0.530117 0 0 207
0.540527 0 0 211
0.550137 0 0 214
0.560547 0 0 218
0.570156 0 0 221
0.580566 0 0 225
0.590176 0 0 228
0.600586 0 0 232
0.610195 0 0 235
0.620605 0 0 239
0.630215 0 0 242
0.640625 0 0 246
0.650234 0 0 250
0.660645 0 0 253
0.670254 0 0 257
0.680664 0 0 260
0.690273 0 0 260
0.700684 0 0 267
0.710293 0 0 271
0.720703 0 0 275
0.730312 0 0 278
0.740723 0 0 282
0.750332 0 0 285
0.760742 0 0 289
0.770352 0 0 293
0.780762 0 0 296
0.790371 0 0 300
0.800781 0 0 303
0.810391 0 0 307
0.820801 0 0 311
0.83041 0 0 314
0.84002 0 0 318
0.85043 0 0 322
0.860039 0 0 325
0.870449 0 0 329
0.880059 0 0 333
0.890469 0 0 336
0.900078 0 0 340
0.910488 0 0 344
0.920098 0 0 347
0.930508 0 0 351
0.940117 0 0 355
0.950527 0 0 358
0.960137 0 0 362
0.970547 0 0 366
0.980156 0 0 369
0.990566 0 0 373
1.00018 0 0 377
1.01059 0 0 380
1.0202 0 0 384
1.03061 0 0 388
1.04021 0 0 391
1.05062 0 0 395
1.06023 0 0 399
1.07064 0 0 402
1.08025 0 0 406
1.09066 0 0 410
1.10027 0 0 413
1.11068 0 0 417
1.12029 0 0 420
1.1307 0 0 424
1.14031 0 0 428
1.15072 0 0 428
1.16033 0 0 435
1.17074 0 0 439
1.18035 0 0 442
1.19076 0 0 446
1.20037 0 0 449
1.21078 0 0 453
1.22039 0 0 457
1.2308 0 0 461
1.24041 0 0 464
1.25002 0 0 467
1.26043 0 0 471
1.27004 0 0 475
1.28045 0 0 479
1.29006 0 0 482
1.30047 0 0 486
1.31008 0 0 489
1.32049 0 0 493
1.3301 0 0 497
1.34051 0 0 500
1.35012 0 0 504
1.36053 0 0 511
1.37014 0 0 511
1.38055 0 0 515
1.39016 0 0 518
1.40057 0 0 522
1.41018 0 0 525
1.42059 0 0 529
1.4302 0 0 533
1.44061 0 0 536
