InputVoltage BandgapControl RampGain ADCvalue
0 0 0 14
0.0102026 0 0 19
0.0201138 0 0 24
0.0300249 0 0 30
0.0402275 0 0 35
0.0501387 0 0 41
0.0600498 0 0 46
0.0702524 0 0 52
0.0801636 0 0 58
0.0900747 0 0 63
0.100277 0 0 69
0.110188 0 0 74
0.1201 0 0 80
0.130011 0 0 85
0.140213 0 0 91
0.150125 0 0 97
0.160036 0 0 102
0.170238 0 0 108
0.180149 0 0 114
0.190061 0 0 119
0.200263 0 0 125
0.210174 0 0 131
0.220085 0 0 136
0.230288 0 0 142
0.240199 0 0 148
0.25011 0 0 153
0.260021 0 0 159
0.270224 0 0 165
0.280135 0 0 170
0.290046 0 0 176
0.300249 0 0 181
0.31016 0 0 187
0.320071 0 0 192
0.330274 0 0 198
0.340185 0 0 203
0.350096 0 0 209
0.360007 0 0 214
0.37021 0 0 220
0.380121 0 0 225
0.390032 0 0 230
0.400235 0 0 236
0.410146 0 0 242
0.420057 0 0 247
0.43026 0 0 253
0.440171 0 0 258
0.450082 0 0 264
0.460285 0 0 269
0.470196 0 0 275
0.480107 0 0 280
0.490018 0 0 286
0.500221 0 0 292
0.510132 0 0 297
0.520043 0 0 303
0.530246 0 0 309
0.540157 0 0 314
0.550068 0 0 320
0.560271 0 0 325
0.570182 0 0 331
0.580093 0 0 336
0.590004 0 0 342
0.600207 0 0 348
0.610118 0 0 353
0.620029 0 0 359
0.630231 0 0 365
0.640143 0 0 371
0.650054 0 0 376
0.660256 0 0 382
0.670167 0 0 388
0.680079 0 0 393
0.690281 0 0 399
0.700192 0 0 405
0.710104 0 0 410
0.720015 0 0 416
0.730217 0 0 422
0.740128 0 0 427
0.75004 0 0 433
0.760242 0 0 439
0.770153 0 0 444
0.780064 0 0 450
0.790267 0 0 455
0.800178 0 0 461
0.810089 0 0 467
0.82 0 0 472
0.830203 0 0 478
0.840114 0 0 484
0.850025 0 0 489
0.860228 0 0 495
0.870139 0 0 500
0.88005 0 0 506
0.890253 0 0 512
0.900164 0 0 517
0.910075 0 0 523
0.920278 0 0 529
0.930189 0 0 534
0.9401 0 0 540
0.950011 0 0 545
0.960214 0 0 551
0.970125 0 0 557
0.980036 0 0 562
0.990239 0 0 567
1.00015 0 0 573
1.01006 0 0 579
1.02026 0 0 584
1.03017 0 0 590
1.04009 0 0 596
1.05029 0 0 601
1.0602 0 0 607
1.07011 0 0 612
1.08002 0 0 618
1.09022 0 0 624
1.10014 0 0 629
1.11005 0 0 635
1.12025 0 0 641
1.13016 0 0 646
1.14007 0 0 652
1.15027 0 0 658
1.16019 0 0 663
1.1701 0 0 669
1.18001 0 0 675
1.19021 0 0 680
0 0 1 27
0.0102026 0 1 38
0.0201138 0 1 50
0.0300249 0 1 62
0.0402275 0 1 74
0.0501387 0 1 86
0.0600498 0 1 98
0.0702524 0 1 111
0.0801636 0 1 123
0.0900747 0 1 135
0.100277 0 1 148
0.110188 0 1 160
0.1201 0 1 173
0.130011 0 1 185
0.140213 0 1 198
0.150125 0 1 210
0.160036 0 1 222
0.170238 0 1 235
0.180149 0 1 248
0.190061 0 1 260
0.200263 0 1 273
0.210174 0 1 286
0.220085 0 1 298
0.230288 0 1 311
0.240199 0 1 323
0.25011 0 1 336
0.260021 0 1 348
0.270224 0 1 361
0.280135 0 1 373
0.290046 0 1 385
0.300249 0 1 398
0.31016 0 1 410
0.320071 0 1 422
0.330274 0 1 434
0.340185 0 1 447
0.350096 0 1 459
0.360007 0 1 471
0.37021 0 1 484
0.380121 0 1 496
0.390032 0 1 508
0.400235 0 1 520
0.410146 0 1 533
0.420057 0 1 544
0.43026 0 1 557
0.440171 0 1 569
0.450082 0 1 581
0.460285 0 1 594
0.470196 0 1 607
0.480107 0 1 619
0.490018 0 1 631
0.500221 0 1 644
0.510132 0 1 656
0.520043 0 1 668
0.530246 0 1 681
0.540157 0 1 693
0.550068 0 1 706
0.560271 0 1 719
0.570182 0 1 731
0.580093 0 1 744
0.590004 0 1 756
0.600207 0 1 769
0.610118 0 1 781
0.620029 0 1 794
0.630231 0 1 807
0.640143 0 1 819
0.650054 0 1 832
0.660256 0 1 845
0.670167 0 1 857
0.680079 0 1 869
0.690281 0 1 882
0.700192 0 1 894
0.710104 0 1 907
0.720015 0 1 920
0.730217 0 1 933
0.740128 0 1 945
0.75004 0 1 957
0.760242 0 1 970
0.770153 0 1 983
0.780064 0 1 995
0.790267 0 1 1008
0.800178 0 1 1020
0.810089 0 1 1019
0.82 0 1 1019
0.830203 0 1 1019
0.840114 0 1 1019
0.850025 0 1 1019
0.860228 0 1 1019
0.870139 0 1 1019
0.88005 0 1 1019
0.890253 0 1 1019
0.900164 0 1 1019
0.910075 0 1 1019
0.920278 0 1 1019
0.930189 0 1 1019
0.9401 0 1 1019
0.950011 0 1 1019
0.960214 0 1 1019
0.970125 0 1 1019
0.980036 0 1 1019
0.990239 0 1 1019
1.00015 0 1 1019
1.01006 0 1 1019
1.02026 0 1 1019
1.03017 0 1 1019
1.04009 0 1 1019
1.05029 0 1 1019
1.0602 0 1 1019
1.07011 0 1 1019
1.08002 0 1 1019
1.09022 0 1 1019
1.10014 0 1 1019
1.11005 0 1 1019
1.12025 0 1 1019
1.13016 0 1 1019
1.14007 0 1 1019
1.15027 0 1 1019
1.16019 0 1 1019
1.1701 0 1 1019
1.18001 0 1 1019
1.19021 0 1 1019
0 0 2 17
0.0102026 0 2 23
0.0201138 0 2 30
0.0300249 0 2 37
0.0402275 0 2 44
0.0501387 0 2 51
0.0600498 0 2 58
0.0702524 0 2 66
0.0801636 0 2 73
0.0900747 0 2 80
0.100277 0 2 87
0.110188 0 2 94
0.1201 0 2 101
0.130011 0 2 108
0.140213 0 2 116
0.150125 0 2 123
0.160036 0 2 130
0.170238 0 2 137
0.180149 0 2 145
0.190061 0 2 152
0.200263 0 2 159
0.210174 0 2 166
0.220085 0 2 173
0.230288 0 2 181
0.240199 0 2 188
0.25011 0 2 195
0.260021 0 2 202
0.270224 0 2 210
0.280135 0 2 217
0.290046 0 2 224
0.300249 0 2 231
0.31016 0 2 238
0.320071 0 2 245
0.330274 0 2 252
0.340185 0 2 259
0.350096 0 2 267
0.360007 0 2 273
0.37021 0 2 281
0.380121 0 2 287
0.390032 0 2 294
0.400235 0 2 302
0.410146 0 2 309
0.420057 0 2 316
0.43026 0 2 323
0.440171 0 2 330
0.450082 0 2 337
0.460285 0 2 344
0.470196 0 2 352
0.480107 0 2 358
0.490018 0 2 366
0.500221 0 2 373
0.510132 0 2 380
0.520043 0 2 387
0.530246 0 2 394
0.540157 0 2 401
0.550068 0 2 409
0.560271 0 2 416
0.570182 0 2 423
0.580093 0 2 430
0.590004 0 2 437
0.600207 0 2 445
0.610118 0 2 452
0.620029 0 2 459
0.630231 0 2 467
0.640143 0 2 474
0.650054 0 2 481
0.660256 0 2 489
0.670167 0 2 496
0.680079 0 2 503
0.690281 0 2 510
0.700192 0 2 517
0.710104 0 2 525
0.720015 0 2 532
0.730217 0 2 539
0.740128 0 2 547
0.75004 0 2 554
0.760242 0 2 561
0.770153 0 2 569
0.780064 0 2 576
0.790267 0 2 583
0.800178 0 2 590
0.810089 0 2 597
0.82 0 2 604
0.830203 0 2 612
0.840114 0 2 619
0.850025 0 2 626
0.860228 0 2 633
0.870139 0 2 640
0.88005 0 2 647
0.890253 0 2 655
0.900164 0 2 662
0.910075 0 2 669
0.920278 0 2 676
0.930189 0 2 684
0.9401 0 2 691
0.950011 0 2 698
0.960214 0 2 705
0.970125 0 2 712
0.980036 0 2 719
0.990239 0 2 726
1.00015 0 2 734
1.01006 0 2 741
1.02026 0 2 748
1.03017 0 2 755
1.04009 0 2 762
1.05029 0 2 770
1.0602 0 2 777
1.07011 0 2 784
1.08002 0 2 791
1.09022 0 2 798
1.10014 0 2 806
1.11005 0 2 813
1.12025 0 2 820
1.13016 0 2 827
1.14007 0 2 835
1.15027 0 2 842
1.16019 0 2 849
1.1701 0 2 856
1.18001 0 2 864
1.19021 0 2 871
0 0 3 16
0.0102026 0 3 22
0.0201138 0 3 29
0.0300249 0 3 35
0.0402275 0 3 42
0.0501387 0 3 49
0.0600498 0 3 56
0.0702524 0 3 63
0.0801636 0 3 70
0.0900747 0 3 76
0.100277 0 3 83
0.110188 0 3 90
0.1201 0 3 97
0.130011 0 3 104
0.140213 0 3 111
0.150125 0 3 117
0.160036 0 3 124
0.170238 0 3 131
0.180149 0 3 138
0.190061 0 3 145
0.200263 0 3 152
0.210174 0 3 159
0.220085 0 3 166
0.230288 0 3 173
0.240199 0 3 180
0.25011 0 3 186
0.260021 0 3 193
0.270224 0 3 200
0.280135 0 3 207
0.290046 0 3 214
0.300249 0 3 221
0.31016 0 3 227
0.320071 0 3 234
0.330274 0 3 241
0.340185 0 3 248
0.350096 0 3 254
0.360007 0 3 261
0.37021 0 3 268
0.380121 0 3 275
0.390032 0 3 281
0.400235 0 3 288
0.410146 0 3 295
0.420057 0 3 301
0.43026 0 3 308
0.440171 0 3 315
0.450082 0 3 322
0.460285 0 3 329
0.470196 0 3 335
0.480107 0 3 342
0.490018 0 3 349
0.500221 0 3 356
0.510132 0 3 363
