InputVoltage BandgapControl RampGain ADCvalue
0 0 0 11
0.0104102 0 0 16
0.0200195 0 0 21
0.0304297 0 0 26
0.0400391 0 0 31
0.0504492 0 0 37
0.0600586 0 0 42
0.0704687 0 0 44
0.0800781 0 0 53
0.0904883 0 0 58
0.100098 0 0 63
0.110508 0 0 69
0.120117 0 0 74
0.130527 0 0 80
0.140137 0 0 85
0.150547 0 0 91
0.160156 0 0 96
0.170566 0 0 102
0.180176 0 0 107
0.190586 0 0 113
0.200195 0 0 118
0.210605 0 0 124
0.220215 0 0 129
0.230625 0 0 135
0.240234 0 0 140
0.250645 0 0 146
0.260254 0 0 151
0.270664 0 0 157
0.280273 0 0 162
0.290684 0 0 168
0.300293 0 0 173
0.310703 0 0 179
0.320312 0 0 184
0.330723 0 0 190
0.340332 0 0 195
0.350742 0 0 200
0.360352 0 0 206
0.370762 0 0 211
0.380371 0 0 216
0.390781 0 0 222
0.400391 0 0 227
0.410801 0 0 233
0.42041 0 0 238
0.43002 0 0 243
0.44043 0 0 249
0.450039 0 0 254
0.460449 0 0 259
0.470059 0 0 264
0.480469 0 0 270
0.490078 0 0 275
0.500488 0 0 281
0.510098 0 0 286
0.520508 0 0 292
0.530117 0 0 297
0.540527 0 0 303
0.550137 0 0 308
0.560547 0 0 314
0.570156 0 0 319
0.580566 0 0 324
0.590176 0 0 330
0.600586 0 0 335
0.610195 0 0 341
0.620605 0 0 346
0.630215 0 0 348
0.640625 0 0 357
0.650234 0 0 363
0.660645 0 0 368
0.670254 0 0 374
0.680664 0 0 379
0.690273 0 0 384
0.700684 0 0 390
0.710293 0 0 392
0.720703 0 0 401
0.730312 0 0 406
0.740723 0 0 412
0.750332 0 0 417
0.760742 0 0 423
0.770352 0 0 428
0.780762 0 0 434
0.790371 0 0 439
0.800781 0 0 445
0.810391 0 0 450
0.820801 0 0 456
0.83041 0 0 461
0.84002 0 0 467
0.85043 0 0 472
0.860039 0 0 478
0.870449 0 0 483
0.880059 0 0 489
0.890469 0 0 494
0.900078 0 0 496
0.910488 0 0 505
0.920098 0 0 511
0.930508 0 0 516
0.940117 0 0 522
0.950527 0 0 527
0.960137 0 0 533
0.970547 0 0 538
0.980156 0 0 543
0.990566 0 0 549
1.00018 0 0 554
1.01059 0 0 560
1.0202 0 0 565
1.03061 0 0 571
1.04021 0 0 577
1.05062 0 0 582
1.06023 0 0 584
1.07064 0 0 594
1.08025 0 0 599
1.09066 0 0 604
1.10027 0 0 610
1.11068 0 0 615
1.12029 0 0 621
1.1307 0 0 627
1.14031 0 0 632
1.15072 0 0 637
1.16033 0 0 643
1.17074 0 0 648
1.18035 0 0 653
1.19076 0 0 659
0 0 1 16
0.0104102 0 1 31
0.0200195 0 1 41
0.0304297 0 1 52
0.0400391 0 1 63
0.0504492 0 1 74
0.0600586 0 1 84
0.0704687 0 1 92
0.0800781 0 1 106
0.0904883 0 1 118
0.100098 0 1 129
0.110508 0 1 141
0.120117 0 1 152
0.130527 0 1 160
0.140137 0 1 175
0.150547 0 1 187
0.160156 0 1 198
0.170566 0 1 210
0.180176 0 1 220
0.190586 0 1 232
0.200195 0 1 243
0.210605 0 1 259
0.220215 0 1 267
0.230625 0 1 279
0.240234 0 1 290
0.250645 0 1 302
0.260254 0 1 313
0.270664 0 1 325
0.280273 0 1 339
0.290684 0 1 347
0.300293 0 1 358
0.310703 0 1 371
0.320312 0 1 382
0.330723 0 1 393
0.340332 0 1 400
0.350742 0 1 412
0.360352 0 1 427
0.370762 0 1 438
0.380371 0 1 449
0.390781 0 1 461
0.400391 0 1 468
0.410801 0 1 480
0.42041 0 1 494
0.43002 0 1 505
0.44043 0 1 517
0.450039 0 1 524
0.460449 0 1 543
0.470059 0 1 551
0.480469 0 1 562
0.490078 0 1 573
0.500488 0 1 585
0.510098 0 1 596
0.520508 0 1 608
0.530117 0 1 619
0.540527 0 1 630
0.550137 0 1 642
0.560547 0 1 653
0.570156 0 1 660
0.580566 0 1 672
0.590176 0 1 687
0.600586 0 1 699
0.610195 0 1 710
0.620605 0 1 722
0.630215 0 1 733
0.640625 0 1 745
0.650234 0 1 756
0.660645 0 1 768
0.670254 0 1 776
0.680664 0 1 791
0.690273 0 1 802
0.700684 0 1 814
0.710293 0 1 825
0.720703 0 1 838
0.730312 0 1 848
0.740723 0 1 860
0.750332 0 1 875
0.760742 0 1 883
0.770352 0 1 894
0.780762 0 1 906
0.790371 0 1 917
0.800781 0 1 929
0.810391 0 1 936
0.820801 0 1 948
0.83041 0 1 963
0.84002 0 1 974
0.85043 0 1 987
0.860039 0 1 997
0.870449 0 1 1009
0.880059 0 1 1021
0.890469 0 1 1021
0.900078 0 1 1021
0.910488 0 1 1021
0.920098 0 1 1021
0.930508 0 1 1021
0.940117 0 1 1021
0.950527 0 1 1021
0.960137 0 1 1021
0.970547 0 1 1021
0.980156 0 1 1021
0.990566 0 1 1021
1.00018 0 1 1021
1.01059 0 1 1021
1.0202 0 1 1021
1.03061 0 1 1021
1.04021 0 1 1021
1.05062 0 1 1021
1.06023 0 1 1021
1.07064 0 1 1021
1.08025 0 1 1021
1.09066 0 1 1021
1.10027 0 1 1021
1.11068 0 1 1021
1.12029 0 1 1021
1.1307 0 1 1021
1.14031 0 1 1021
1.15072 0 1 1021
1.16033 0 1 1021
1.17074 0 1 1021
1.18035 0 1 1021
1.19076 0 1 1021
0 0 2 13
0.0104102 0 2 16
