Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0428365 0.00430557
VCC_H_1.500000_VDD_Reset 1.40937 6.66134e-16
VCC_H_1.500000_current_1V5_Run 0.0287003 0.00346476
VCC_H_1.500000_VDD_Run 1.20988 0.0014382
VCC_H_1.500000_VDD_2_R 446.4 148.8
VCC_H_1.500000_VDD_2_L 471 0
VCC_H_1.500000_DVDD_2 576.1 0.3
VCC_H_1.500000_BG 499.8 0.4
VCC_H_1.500000_Temp 456.8 152.267
VCC_H_1.500000_VDD_H_4 298 0
VCC_H_1.500000_OTA_R 699.7 0.458258
VCC_H_1.500000_OTA_L 667.1 0.3
VCC_H_2.000000_current_1V5_Reset 0.0430479 0.00163675
VCC_H_2.000000_VDD_Reset 1.40937 6.66134e-16
VCC_H_2.000000_current_1V5_Run 0.0298569 0.00368974
VCC_H_2.000000_VDD_Run 1.21072 0.000448437
VCC_H_2.000000_VDD_2_R 495.6 0.489898
VCC_H_2.000000_VDD_2_L 471.8 0.4
VCC_H_2.000000_DVDD_2 576.8 0.4
VCC_H_2.000000_BG 499.9 0.3
VCC_H_2.000000_Temp 507.9 0.3
VCC_H_2.000000_VDD_H_4 392.2 0.4
VCC_H_2.000000_OTA_R 699.1 0.3
VCC_H_2.000000_OTA_L 667 0
VCC_H_2.500000_current_1V5_Reset 0.0431449 0.00136124
VCC_H_2.500000_VDD_Reset 1.40937 6.66134e-16
VCC_H_2.500000_current_1V5_Run 0.0291978 0.00334778
VCC_H_2.500000_VDD_Run 1.21008 0.00172969
VCC_H_2.500000_VDD_2_R 495.4 0.489898
VCC_H_2.500000_VDD_2_L 471.4 0.489898
VCC_H_2.500000_DVDD_2 576.2 0.4
VCC_H_2.500000_BG 500 0
VCC_H_2.500000_Temp 507.7 0.458258
VCC_H_2.500000_VDD_H_4 488.4 0.489898
VCC_H_2.500000_OTA_R 699.8 0.4
VCC_H_2.500000_OTA_L 667.6 0.489898
VCC_H_3.000000_current_1V5_Reset 0.043033 0.00209892
VCC_H_3.000000_VDD_Reset 1.40937 6.66134e-16
VCC_H_3.000000_current_1V5_Run 0.02925 0.00354008
VCC_H_3.000000_VDD_Run 1.20963 0.00160284
VCC_H_3.000000_VDD_2_R 495 0
VCC_H_3.000000_VDD_2_L 471.1 0.3
VCC_H_3.000000_DVDD_2 576 0
VCC_H_3.000000_BG 499.1 0.3
VCC_H_3.000000_Temp 507.1 0.3
VCC_H_3.000000_VDD_H_4 581 0
VCC_H_3.000000_OTA_R 699.2 0.4
VCC_H_3.000000_OTA_L 667 0
