InputVoltage BandgapControl RampGain ADCvalue
0 0 0 13
0.0104102 0 0 19
0.0200195 0 0 20
0.0304297 0 0 29
0.0400391 0 0 35
0.0504492 0 0 40
0.0600586 0 0 45
0.0704687 0 0 51
0.0800781 0 0 56
0.0904883 0 0 62
0.100098 0 0 67
0.110508 0 0 73
0.120117 0 0 78
0.130527 0 0 84
0.140137 0 0 89
0.150547 0 0 95
0.160156 0 0 100
0.170566 0 0 106
0.180176 0 0 111
0.190586 0 0 117
0.200195 0 0 122
0.210605 0 0 128
0.220215 0 0 134
0.230625 0 0 139
0.240234 0 0 145
0.250645 0 0 150
0.260254 0 0 152
0.270664 0 0 161
0.280273 0 0 167
0.290684 0 0 172
0.300293 0 0 177
0.310703 0 0 183
0.320312 0 0 189
0.330723 0 0 194
0.340332 0 0 199
0.350742 0 0 205
0.360352 0 0 210
0.370762 0 0 212
0.380371 0 0 221
0.390781 0 0 226
0.400391 0 0 231
0.410801 0 0 237
0.42041 0 0 242
0.43002 0 0 247
0.44043 0 0 253
0.450039 0 0 258
0.460449 0 0 267
0.470059 0 0 269
0.480469 0 0 274
0.490078 0 0 280
0.500488 0 0 285
0.510098 0 0 291
0.520508 0 0 297
0.530117 0 0 302
0.540527 0 0 307
0.550137 0 0 313
0.560547 0 0 318
0.570156 0 0 324
0.580566 0 0 329
0.590176 0 0 334
0.600586 0 0 340
0.610195 0 0 345
0.620605 0 0 351
0.630215 0 0 356
0.640625 0 0 363
0.650234 0 0 364
0.660645 0 0 373
0.670254 0 0 379
0.680664 0 0 384
0.690273 0 0 390
0.700684 0 0 392
0.710293 0 0 401
0.720703 0 0 406
0.730312 0 0 412
0.740723 0 0 418
0.750332 0 0 423
0.760742 0 0 429
0.770352 0 0 435
0.780762 0 0 440
0.790371 0 0 445
0.800781 0 0 451
0.810391 0 0 456
0.820801 0 0 463
0.83041 0 0 464
0.84002 0 0 473
0.85043 0 0 479
0.860039 0 0 484
0.870449 0 0 490
0.880059 0 0 494
0.890469 0 0 500
0.900078 0 0 506
0.910488 0 0 515
0.920098 0 0 517
0.930508 0 0 522
0.940117 0 0 528
0.950527 0 0 534
0.960137 0 0 539
0.970547 0 0 544
0.980156 0 0 549
