InputVoltage BandgapControl RampGain ADCvalue
0 0 0 16
0.0102026 0 0 22
0.0201138 0 0 27
0.0300249 0 0 32
0.0402275 0 0 38
0.0501387 0 0 43
0.0600498 0 0 48
0.0702524 0 0 54
0.0801636 0 0 60
0.0900747 0 0 65
0.100277 0 0 71
0.110188 0 0 76
0.1201 0 0 82
0.130011 0 0 87
0.140213 0 0 93
0.150125 0 0 99
0.160036 0 0 104
0.170238 0 0 110
0.180149 0 0 116
0.190061 0 0 121
0.200263 0 0 127
0.210174 0 0 132
0.220085 0 0 138
0.230288 0 0 144
0.240199 0 0 150
0.25011 0 0 155
0.260021 0 0 161
0.270224 0 0 166
0.280135 0 0 172
0.290046 0 0 177
0.300249 0 0 183
0.31016 0 0 188
0.320071 0 0 194
0.330274 0 0 199
0.340185 0 0 205
0.350096 0 0 210
0.360007 0 0 216
0.37021 0 0 221
0.380121 0 0 226
0.390032 0 0 232
0.400235 0 0 237
0.410146 0 0 242
0.420057 0 0 248
0.43026 0 0 253
0.440171 0 0 259
0.450082 0 0 264
0.460285 0 0 270
0.470196 0 0 275
0.480107 0 0 280
0.490018 0 0 286
0.500221 0 0 292
0.510132 0 0 297
0.520043 0 0 303
0.530246 0 0 308
0.540157 0 0 314
0.550068 0 0 319
0.560271 0 0 325
0.570182 0 0 330
0.580093 0 0 336
0.590004 0 0 342
0.600207 0 0 347
0.610118 0 0 353
0.620029 0 0 358
0.630231 0 0 364
0.640143 0 0 370
0.650054 0 0 376
0.660256 0 0 381
0.670167 0 0 387
0.680079 0 0 392
0.690281 0 0 398
0.700192 0 0 404
0.710104 0 0 409
0.720015 0 0 415
0.730217 0 0 421
0.740128 0 0 426
0.75004 0 0 432
0.760242 0 0 437
0.770153 0 0 443
0.780064 0 0 448
0.790267 0 0 454
0.800178 0 0 460
0.810089 0 0 465
0.82 0 0 471
0.830203 0 0 476
0.840114 0 0 482
0.850025 0 0 488
0.860228 0 0 493
0.870139 0 0 499
0.88005 0 0 504
0.890253 0 0 510
0.900164 0 0 516
0.910075 0 0 521
0.920278 0 0 521
0.930189 0 0 532
0.9401 0 0 537
0.950011 0 0 543
0.960214 0 0 549
0.970125 0 0 554
0.980036 0 0 559
0.990239 0 0 565
1.00015 0 0 571
1.01006 0 0 576
1.02026 0 0 581
1.03017 0 0 587
1.04009 0 0 592
1.05029 0 0 598
1.0602 0 0 604
1.07011 0 0 609
1.08002 0 0 615
1.09022 0 0 621
1.10014 0 0 626
1.11005 0 0 632
1.12025 0 0 638
1.13016 0 0 643
1.14007 0 0 649
1.15027 0 0 655
1.16019 0 0 660
1.1701 0 0 666
1.18001 0 0 671
1.19021 0 0 677
0 0 1 33
0.0102026 0 1 44
0.0201138 0 1 56
0.0300249 0 1 68
0.0402275 0 1 80
0.0501387 0 1 92
0.0600498 0 1 104
0.0702524 0 1 117
0.0801636 0 1 129
0.0900747 0 1 141
0.100277 0 1 154
0.110188 0 1 166
0.1201 0 1 179
0.130011 0 1 191
0.140213 0 1 204
0.150125 0 1 216
0.160036 0 1 228
0.170238 0 1 241
0.180149 0 1 254
0.190061 0 1 266
0.200263 0 1 279
0.210174 0 1 291
0.220085 0 1 303
0.230288 0 1 316
0.240199 0 1 329
0.25011 0 1 342
0.260021 0 1 354
0.270224 0 1 367
0.280135 0 1 379
0.290046 0 1 391
0.300249 0 1 404
0.31016 0 1 416
0.320071 0 1 428
0.330274 0 1 441
0.340185 0 1 453
0.350096 0 1 465
0.360007 0 1 476
0.37021 0 1 489
0.380121 0 1 501
0.390032 0 1 513
0.400235 0 1 525
0.410146 0 1 537
0.420057 0 1 549
0.43026 0 1 561
0.440171 0 1 573
0.450082 0 1 585
0.460285 0 1 598
0.470196 0 1 610
0.480107 0 1 622
0.490018 0 1 634
0.500221 0 1 646
0.510132 0 1 659
0.520043 0 1 671
0.530246 0 1 683
0.540157 0 1 696
0.550068 0 1 708
0.560271 0 1 722
0.570182 0 1 733
0.580093 0 1 745
0.590004 0 1 758
0.600207 0 1 771
0.610118 0 1 783
0.620029 0 1 796
0.630231 0 1 809
0.640143 0 1 821
0.650054 0 1 834
0.660256 0 1 846
0.670167 0 1 858
0.680079 0 1 871
0.690281 0 1 884
0.700192 0 1 896
0.710104 0 1 908
0.720015 0 1 921
0.730217 0 1 934
0.740128 0 1 946
0.75004 0 1 959
0.760242 0 1 971
0.770153 0 1 984
0.780064 0 1 996
0.790267 0 1 1009
0.800178 0 1 1021
0.810089 0 1 1021
0.82 0 1 1021
0.830203 0 1 1021
0.840114 0 1 1021
0.850025 0 1 1021
0.860228 0 1 1021
0.870139 0 1 1021
0.88005 0 1 1021
0.890253 0 1 1021
0.900164 0 1 1021
0.910075 0 1 1021
0.920278 0 1 1021
0.930189 0 1 1021
0.9401 0 1 1021
0.950011 0 1 1021
0.960214 0 1 1021
0.970125 0 1 1021
0.980036 0 1 1021
0.990239 0 1 1021
1.00015 0 1 1021
1.01006 0 1 1021
1.02026 0 1 1021
1.03017 0 1 1021
1.04009 0 1 1021
1.05029 0 1 1021
1.0602 0 1 1021
1.07011 0 1 1021
1.08002 0 1 1021
1.09022 0 1 1021
1.10014 0 1 1021
1.11005 0 1 1021
1.12025 0 1 1021
1.13016 0 1 1021
1.14007 0 1 1021
1.15027 0 1 1021
1.16019 0 1 1021
1.1701 0 1 1021
1.18001 0 1 1021
1.19021 0 1 1021
0 0 2 20
0.0102026 0 2 27
0.0201138 0 2 34
0.0300249 0 2 41
0.0402275 0 2 48
0.0501387 0 2 55
0.0600498 0 2 62
0.0702524 0 2 69
0.0801636 0 2 76
0.0900747 0 2 83
0.100277 0 2 90
0.110188 0 2 97
0.1201 0 2 104
0.130011 0 2 112
0.140213 0 2 119
0.150125 0 2 126
0.160036 0 2 133
0.170238 0 2 141
0.180149 0 2 148
0.190061 0 2 155
0.200263 0 2 162
0.210174 0 2 170
0.220085 0 2 177
0.230288 0 2 184
0.240199 0 2 192
0.25011 0 2 199
0.260021 0 2 206
0.270224 0 2 213
0.280135 0 2 220
0.290046 0 2 227
0.300249 0 2 235
0.31016 0 2 242
0.320071 0 2 249
0.330274 0 2 256
0.340185 0 2 263
0.350096 0 2 270
0.360007 0 2 277
0.37021 0 2 284
0.380121 0 2 290
0.390032 0 2 298
0.400235 0 2 304
0.410146 0 2 311
0.420057 0 2 318
0.43026 0 2 325
0.440171 0 2 332
0.450082 0 2 339
0.460285 0 2 346
0.470196 0 2 353
0.480107 0 2 360
0.490018 0 2 367
0.500221 0 2 374
0.510132 0 2 381
0.520043 0 2 388
0.530246 0 2 396
0.540157 0 2 403
0.550068 0 2 410
0.560271 0 2 417
0.570182 0 2 425
0.580093 0 2 432
0.590004 0 2 439
0.600207 0 2 446
0.610118 0 2 453
0.620029 0 2 460
0.630231 0 2 468
0.640143 0 2 475
0.650054 0 2 482
0.660256 0 2 490
0.670167 0 2 497
0.680079 0 2 504
0.690281 0 2 256
0.700192 0 2 519
0.710104 0 2 526
0.720015 0 2 533
0.730217 0 2 541
0.740128 0 2 548
0.75004 0 2 555
0.760242 0 2 562
0.770153 0 2 569
0.780064 0 2 576
0.790267 0 2 583
0.800178 0 2 591
0.810089 0 2 598
0.82 0 2 605
0.830203 0 2 612
0.840114 0 2 619
0.850025 0 2 626
0.860228 0 2 634
0.870139 0 2 641
0.88005 0 2 648
0.890253 0 2 655
0.900164 0 2 662
0.910075 0 2 669
0.920278 0 2 676
0.930189 0 2 684
