InputVoltage BandgapControl RampGain ADCvalue
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 469
0.896074 10 3 469
0.896074 10 3 470
0.896074 10 3 470
