InputVoltage BandgapControl RampGain ADCvalue
0 0 0 23
0.0102026 0 0 29
0.0201138 0 0 34
0.0300249 0 0 40
0.0402275 0 0 46
0.0501387 0 0 51
0.0600498 0 0 57
0.0702524 0 0 63
0.0801636 0 0 69
0.0900747 0 0 74
0.100277 0 0 80
0.110188 0 0 86
0.1201 0 0 92
0.130011 0 0 97
0.140213 0 0 103
0.150125 0 0 109
0.160036 0 0 115
0.170238 0 0 121
0.180149 0 0 127
0.190061 0 0 133
0.200263 0 0 139
0.210174 0 0 144
0.220085 0 0 150
0.230288 0 0 156
0.240199 0 0 162
0.25011 0 0 168
0.260021 0 0 174
0.270224 0 0 179
0.280135 0 0 185
0.290046 0 0 191
0.300249 0 0 197
0.31016 0 0 202
0.320071 0 0 208
0.330274 0 0 214
0.340185 0 0 219
0.350096 0 0 225
0.360007 0 0 230
0.37021 0 0 236
0.380121 0 0 241
0.390032 0 0 247
0.400235 0 0 253
0.410146 0 0 258
0.420057 0 0 264
0.43026 0 0 270
0.440171 0 0 275
0.450082 0 0 281
0.460285 0 0 287
0.470196 0 0 292
0.480107 0 0 298
0.490018 0 0 304
0.500221 0 0 310
0.510132 0 0 315
0.520043 0 0 321
0.530246 0 0 327
0.540157 0 0 333
0.550068 0 0 339
0.560271 0 0 345
0.570182 0 0 350
0.580093 0 0 356
0.590004 0 0 362
0.600207 0 0 368
0.610118 0 0 374
0.620029 0 0 380
0.630231 0 0 386
0.640143 0 0 391
0.650054 0 0 397
0.660256 0 0 403
0.670167 0 0 409
0.680079 0 0 415
0.690281 0 0 421
0.700192 0 0 427
0.710104 0 0 432
0.720015 0 0 438
0.730217 0 0 444
0.740128 0 0 450
0.75004 0 0 456
0.760242 0 0 462
0.770153 0 0 467
0.780064 0 0 473
0.790267 0 0 479
0.800178 0 0 485
0.810089 0 0 490
0.82 0 0 496
0.830203 0 0 502
0.840114 0 0 508
0.850025 0 0 514
0.860228 0 0 520
0.870139 0 0 525
0.88005 0 0 531
0.890253 0 0 537
0.900164 0 0 543
0.910075 0 0 549
0.920278 0 0 554
0.930189 0 0 560
0.9401 0 0 566
0.950011 0 0 571
0.960214 0 0 577
0.970125 0 0 583
0.980036 0 0 589
0.990239 0 0 594
1.00015 0 0 600
1.01006 0 0 606
1.02026 0 0 612
1.03017 0 0 618
1.04009 0 0 623
1.05029 0 0 629
1.0602 0 0 635
1.07011 0 0 641
1.08002 0 0 647
1.09022 0 0 653
1.10014 0 0 659
1.11005 0 0 664
1.12025 0 0 671
1.13016 0 0 676
1.14007 0 0 682
1.15027 0 0 688
1.16019 0 0 694
1.1701 0 0 700
1.18001 0 0 705
1.19021 0 0 712
0 0 1 48
0.0102026 0 1 60
0.0201138 0 1 73
0.0300249 0 1 85
0.0402275 0 1 98
0.0501387 0 1 111
0.0600498 0 1 123
0.0702524 0 1 136
0.0801636 0 1 149
0.0900747 0 1 162
0.100277 0 1 175
0.110188 0 1 188
0.1201 0 1 201
0.130011 0 1 214
0.140213 0 1 227
0.150125 0 1 241
0.160036 0 1 254
0.170238 0 1 267
0.180149 0 1 280
0.190061 0 1 293
0.200263 0 1 307
0.210174 0 1 320
0.220085 0 1 333
0.230288 0 1 346
0.240199 0 1 359
0.25011 0 1 372
0.260021 0 1 385
0.270224 0 1 399
0.280135 0 1 412
0.290046 0 1 425
0.300249 0 1 438
0.31016 0 1 450
0.320071 0 1 463
0.330274 0 1 476
0.340185 0 1 488
0.350096 0 1 501
0.360007 0 1 513
0.37021 0 1 526
0.380121 0 1 539
0.390032 0 1 551
0.400235 0 1 564
0.410146 0 1 577
0.420057 0 1 590
0.43026 0 1 602
0.440171 0 1 616
0.450082 0 1 628
0.460285 0 1 641
0.470196 0 1 654
0.480107 0 1 667
0.490018 0 1 680
0.500221 0 1 693
0.510132 0 1 706
0.520043 0 1 719
0.530246 0 1 733
0.540157 0 1 745
0.550068 0 1 758
0.560271 0 1 771
0.570182 0 1 785
0.580093 0 1 798
0.590004 0 1 811
0.600207 0 1 824
0.610118 0 1 838
0.620029 0 1 850
0.630231 0 1 864
0.640143 0 1 877
0.650054 0 1 891
0.660256 0 1 904
0.670167 0 1 917
0.680079 0 1 930
0.690281 0 1 943
0.700192 0 1 957
0.710104 0 1 970
0.720015 0 1 983
0.730217 0 1 996
0.740128 0 1 1009
0.75004 0 1 1023
0.760242 0 1 1021
0.770153 0 1 1021
0.780064 0 1 1021
0.790267 0 1 1021
0.800178 0 1 1021
0.810089 0 1 1021
0.82 0 1 1021
0.830203 0 1 1021
0.840114 0 1 1021
0.850025 0 1 1021
0.860228 0 1 1021
0.870139 0 1 1021
0.88005 0 1 1021
0.890253 0 1 1021
0.900164 0 1 1021
0.910075 0 1 1021
0.920278 0 1 1021
0.930189 0 1 1021
0.9401 0 1 1021
0.950011 0 1 1021
0.960214 0 1 1021
0.970125 0 1 1021
0.980036 0 1 1021
0.990239 0 1 1021
1.00015 0 1 1021
1.01006 0 1 1021
1.02026 0 1 1021
1.03017 0 1 1021
1.04009 0 1 1021
1.05029 0 1 1021
1.0602 0 1 1021
1.07011 0 1 1021
1.08002 0 1 1021
1.09022 0 1 1021
1.10014 0 1 1021
1.11005 0 1 1021
1.12025 0 1 1021
1.13016 0 1 1021
1.14007 0 1 1021
1.15027 0 1 1021
1.16019 0 1 1021
1.1701 0 1 1021
1.18001 0 1 1021
1.19021 0 1 1021
0 0 2 29
0.0102026 0 2 36
0.0201138 0 2 43
0.0300249 0 2 50
0.0402275 0 2 58
0.0501387 0 2 65
0.0600498 0 2 73
0.0702524 0 2 80
0.0801636 0 2 88
0.0900747 0 2 95
0.100277 0 2 103
0.110188 0 2 110
0.1201 0 2 117
0.130011 0 2 125
0.140213 0 2 133
0.150125 0 2 140
0.160036 0 2 147
0.170238 0 2 155
0.180149 0 2 162
0.190061 0 2 170
0.200263 0 2 178
0.210174 0 2 185
0.220085 0 2 193
0.230288 0 2 201
0.240199 0 2 208
0.25011 0 2 215
0.260021 0 2 223
0.270224 0 2 231
0.280135 0 2 238
0.290046 0 2 245
0.300249 0 2 253
0.31016 0 2 260
0.320071 0 2 267
0.330274 0 2 275
0.340185 0 2 282
0.350096 0 2 289
0.360007 0 2 296
0.37021 0 2 304
0.380121 0 2 311
0.390032 0 2 318
0.400235 0 2 325
0.410146 0 2 332
0.420057 0 2 340
0.43026 0 2 347
0.440171 0 2 354
0.450082 0 2 362
0.460285 0 2 369
0.470196 0 2 377
0.480107 0 2 384
0.490018 0 2 392
0.500221 0 2 399
0.510132 0 2 406
0.520043 0 2 414
0.530246 0 2 422
0.540157 0 2 429
0.550068 0 2 436
0.560271 0 2 444
0.570182 0 2 451
0.580093 0 2 459
0.590004 0 2 466
0.600207 0 2 474
0.610118 0 2 482
0.620029 0 2 489
0.630231 0 2 497
0.640143 0 2 504
0.650054 0 2 512
0.660256 0 2 519
0.670167 0 2 527
0.680079 0 2 535
0.690281 0 2 542
0.700192 0 2 550
0.710104 0 2 557
0.720015 0 2 565
0.730217 0 2 573
0.740128 0 2 580
0.75004 0 2 587
0.760242 0 2 595
0.770153 0 2 603
0.780064 0 2 610
0.790267 0 2 617
0.800178 0 2 625
0.810089 0 2 632
0.82 0 2 640
0.830203 0 2 648
0.840114 0 2 655
0.850025 0 2 663
0.860228 0 2 670
0.870139 0 2 678
0.88005 0 2 685
0.890253 0 2 692
0.900164 0 2 700
0.910075 0 2 707
0.920278 0 2 715
0.930189 0 2 722
0.9401 0 2 729
0.950011 0 2 737
0.960214 0 2 744
0.970125 0 2 752
0.980036 0 2 759
0.990239 0 2 767
1.00015 0 2 774
1.01006 0 2 781
1.02026 0 2 789
1.03017 0 2 796
1.04009 0 2 804
1.05029 0 2 812
1.0602 0 2 819
1.07011 0 2 827
1.08002 0 2 834
1.09022 0 2 842
1.10014 0 2 850
1.11005 0 2 858
1.12025 0 2 865
1.13016 0 2 873
1.14007 0 2 880
1.15027 0 2 888
1.16019 0 2 896
1.1701 0 2 903
1.18001 0 2 911
1.19021 0 2 919
0 0 3 28
0.0102026 0 3 35
0.0201138 0 3 41
0.0300249 0 3 48
0.0402275 0 3 55
0.0501387 0 3 62
0.0600498 0 3 69
0.0702524 0 3 76
0.0801636 0 3 83
0.0900747 0 3 90
0.100277 0 3 98
0.110188 0 3 105
0.1201 0 3 111
0.130011 0 3 119
0.140213 0 3 126
0.150125 0 3 133
0.160036 0 3 140
0.170238 0 3 148
0.180149 0 3 155
0.190061 0 3 162
0.200263 0 3 169
0.210174 0 3 176
0.220085 0 3 183
0.230288 0 3 190
0.240199 0 3 198
0.25011 0 3 205
0.260021 0 3 212
0.270224 0 3 219
0.280135 0 3 226
0.290046 0 3 233
0.300249 0 3 240
0.31016 0 3 247
0.320071 0 3 254
0.330274 0 3 261
0.340185 0 3 268
0.350096 0 3 275
0.360007 0 3 281
0.37021 0 3 289
0.380121 0 3 295
0.390032 0 3 302
0.400235 0 3 309
0.410146 0 3 316
0.420057 0 3 323
0.43026 0 3 330
0.440171 0 3 337
0.450082 0 3 344
0.460285 0 3 351
0.470196 0 3 358
0.480107 0 3 365
0.490018 0 3 372
0.500221 0 3 379
0.510132 0 3 386
0.520043 0 3 393
0.530246 0 3 400
0.540157 0 3 408
0.550068 0 3 414
0.560271 0 3 422
0.570182 0 3 429
0.580093 0 3 436
0.590004 0 3 443
0.600207 0 3 450
0.610118 0 3 457
0.620029 0 3 465
0.630231 0 3 472
0.640143 0 3 479
0.650054 0 3 486
0.660256 0 3 493
0.670167 0 3 500
0.680079 0 3 508
0.690281 0 3 515
0.700192 0 3 522
0.710104 0 3 529
0.720015 0 3 536
0.730217 0 3 544
0.740128 0 3 551
0.75004 0 3 558
0.760242 0 3 565
0.770153 0 3 572
0.780064 0 3 579
0.790267 0 3 586
0.800178 0 3 594
0.810089 0 3 601
0.82 0 3 608
0.830203 0 3 615
0.840114 0 3 622
0.850025 0 3 629
0.860228 0 3 636
0.870139 0 3 643
0.88005 0 3 650
0.890253 0 3 658
0.900164 0 3 664
0.910075 0 3 672
0.920278 0 3 679
0.930189 0 3 686
0.9401 0 3 693
0.950011 0 3 700
0.960214 0 3 707
0.970125 0 3 714
0.980036 0 3 721
0.990239 0 3 728
1.00015 0 3 735
1.01006 0 3 742
1.02026 0 3 749
1.03017 0 3 756
1.04009 0 3 763
1.05029 0 3 771
1.0602 0 3 778
1.07011 0 3 785
1.08002 0 3 792
1.09022 0 3 800
1.10014 0 3 807
1.11005 0 3 814
1.12025 0 3 821
1.13016 0 3 829
1.14007 0 3 836
1.15027 0 3 843
1.16019 0 3 850
1.1701 0 3 858
1.18001 0 3 865
1.19021 0 3 873
0 1 0 23
0.0102026 1 0 29
0.0201138 1 0 35
0.0300249 1 0 40
0.0402275 1 0 46
0.0501387 1 0 52
0.0600498 1 0 57
0.0702524 1 0 63
0.0801636 1 0 69
0.0900747 1 0 75
0.100277 1 0 81
0.110188 1 0 87
0.1201 1 0 93
0.130011 1 0 99
0.140213 1 0 105
0.150125 1 0 110
0.160036 1 0 116
0.170238 1 0 122
0.180149 1 0 128
0.190061 1 0 134
0.200263 1 0 140
0.210174 1 0 146
0.220085 1 0 152
