InputVoltage BandgapControl RampGain ADCvalue
0 0 0 22
0.0104102 0 0 26
0.0200195 0 0 29
0.0304297 0 0 33
0.0400391 0 0 37
0.0504492 0 0 41
0.0600586 0 0 44
0.0704687 0 0 48
0.0800781 0 0 52
0.0904883 0 0 56
0.100098 0 0 60
0.110508 0 0 64
0.120117 0 0 71
0.130527 0 0 68
0.140137 0 0 75
0.150547 0 0 79
0.160156 0 0 83
0.170566 0 0 87
0.180176 0 0 91
0.190586 0 0 95
0.200195 0 0 99
0.210605 0 0 103
0.220215 0 0 106
0.230625 0 0 111
0.240234 0 0 114
0.250645 0 0 119
0.260254 0 0 122
0.270664 0 0 126
0.280273 0 0 130
0.290684 0 0 134
0.300293 0 0 138
0.310703 0 0 142
0.320312 0 0 146
0.330723 0 0 150
0.340332 0 0 154
0.350742 0 0 158
0.360352 0 0 162
0.370762 0 0 166
0.380371 0 0 169
0.390781 0 0 173
0.400391 0 0 177
0.410801 0 0 181
0.42041 0 0 185
0.43002 0 0 188
0.44043 0 0 192
0.450039 0 0 196
0.460449 0 0 200
0.470059 0 0 204
0.480469 0 0 208
0.490078 0 0 211
0.500488 0 0 215
0.510098 0 0 219
0.520508 0 0 223
0.530117 0 0 227
0.540527 0 0 230
0.550137 0 0 234
0.560547 0 0 238
0.570156 0 0 241
0.580566 0 0 245
0.590176 0 0 249
0.600586 0 0 253
0.610195 0 0 256
0.620605 0 0 260
0.630215 0 0 264
0.640625 0 0 268
0.650234 0 0 268
0.660645 0 0 272
0.670254 0 0 279
0.680664 0 0 283
0.690273 0 0 287
0.700684 0 0 291
0.710293 0 0 295
0.720703 0 0 299
0.730312 0 0 303
0.740723 0 0 307
0.750332 0 0 310
0.760742 0 0 314
0.770352 0 0 318
0.780762 0 0 322
0.790371 0 0 326
0.800781 0 0 330
0.810391 0 0 334
0.820801 0 0 338
0.83041 0 0 342
0.84002 0 0 345
0.85043 0 0 349
0.860039 0 0 353
0.870449 0 0 357
0.880059 0 0 361
0.890469 0 0 365
0.900078 0 0 369
0.910488 0 0 373
0.920098 0 0 377
0.930508 0 0 381
0.940117 0 0 385
0.950527 0 0 389
0.960137 0 0 393
0.970547 0 0 397
0.980156 0 0 400
0.990566 0 0 404
1.00018 0 0 408
1.01059 0 0 412
1.0202 0 0 416
1.03061 0 0 420
1.04021 0 0 424
1.05062 0 0 428
1.06023 0 0 432
1.07064 0 0 436
1.08025 0 0 440
1.09066 0 0 440
1.10027 0 0 444
1.11068 0 0 448
1.12029 0 0 455
1.1307 0 0 459
1.14031 0 0 463
1.15072 0 0 467
1.16033 0 0 471
1.17074 0 0 475
1.18035 0 0 479
1.19076 0 0 483
1.20037 0 0 487
1.21078 0 0 491
1.22039 0 0 494
1.2308 0 0 498
1.24041 0 0 502
1.25002 0 0 506
1.26043 0 0 510
1.27004 0 0 514
1.28045 0 0 518
1.29006 0 0 521
1.30047 0 0 525
1.31008 0 0 529
1.32049 0 0 533
1.3301 0 0 537
1.34051 0 0 541
1.35012 0 0 545
1.36053 0 0 549
1.37014 0 0 553
1.38055 0 0 556
1.39016 0 0 560
1.40057 0 0 564
