InputVoltage BandgapControl RampGain ADCvalue
0 0 0 20
0.0104102 0 0 26
0.0200195 0 0 31
0.0304297 0 0 37
0.0400391 0 0 42
0.0504492 0 0 48
0.0600586 0 0 54
0.0704687 0 0 59
0.0800781 0 0 65
0.0904883 0 0 71
0.100098 0 0 76
0.110508 0 0 82
0.120117 0 0 88
0.130527 0 0 94
0.140137 0 0 99
0.150547 0 0 105
0.160156 0 0 111
0.170566 0 0 117
0.180176 0 0 122
0.190586 0 0 128
0.200195 0 0 134
0.210605 0 0 140
0.220215 0 0 145
0.230625 0 0 151
0.240234 0 0 157
0.250645 0 0 163
0.260254 0 0 168
0.270664 0 0 174
0.280273 0 0 179
0.290684 0 0 185
0.300293 0 0 190
0.310703 0 0 197
0.320312 0 0 202
0.330723 0 0 211
0.340332 0 0 213
0.350742 0 0 219
0.360352 0 0 224
0.370762 0 0 230
0.380371 0 0 235
0.390781 0 0 241
0.400391 0 0 246
0.410801 0 0 252
0.42041 0 0 257
0.43002 0 0 263
0.44043 0 0 269
0.450039 0 0 274
0.460449 0 0 280
0.470059 0 0 286
0.480469 0 0 291
0.490078 0 0 297
0.500488 0 0 303
0.510098 0 0 309
0.520508 0 0 315
0.530117 0 0 320
0.540527 0 0 326
0.550137 0 0 331
0.560547 0 0 337
0.570156 0 0 343
0.580566 0 0 348
0.590176 0 0 354
0.600586 0 0 360
0.610195 0 0 366
0.620605 0 0 368
0.630215 0 0 377
0.640625 0 0 383
0.650234 0 0 389
0.660645 0 0 395
0.670254 0 0 400
0.680664 0 0 406
0.690273 0 0 408
0.700684 0 0 418
0.710293 0 0 423
0.720703 0 0 429
0.730312 0 0 435
0.740723 0 0 441
0.750332 0 0 447
0.760742 0 0 452
0.770352 0 0 458
0.780762 0 0 464
0.790371 0 0 469
0.800781 0 0 475
0.810391 0 0 481
0.820801 0 0 487
0.83041 0 0 493
0.84002 0 0 498
0.85043 0 0 504
0.860039 0 0 510
0.870449 0 0 512
0.880059 0 0 521
0.890469 0 0 527
0.900078 0 0 532
0.910488 0 0 538
0.920098 0 0 544
0.930508 0 0 550
0.940117 0 0 555
0.950527 0 0 561
0.960137 0 0 566
0.970547 0 0 572
0.980156 0 0 577
0.990566 0 0 583
1.00018 0 0 589
1.01059 0 0 594
1.0202 0 0 600
1.03061 0 0 606
1.04021 0 0 611
1.05062 0 0 617
1.06023 0 0 623
1.07064 0 0 629
1.08025 0 0 634
1.09066 0 0 640
1.10027 0 0 646
1.11068 0 0 648
1.12029 0 0 657
1.1307 0 0 667
1.14031 0 0 669
1.15072 0 0 675
1.16033 0 0 681
1.17074 0 0 687
1.18035 0 0 693
1.19076 0 0 698
0 0 1 36
0.0104102 0 1 48
0.0200195 0 1 63
0.0304297 0 1 76
0.0400391 0 1 87
0.0504492 0 1 100
0.0600586 0 1 115
0.0704687 0 1 124
0.0800781 0 1 132
0.0904883 0 1 148
0.100098 0 1 161
0.110508 0 1 174
0.120117 0 1 185
0.130527 0 1 198
0.140137 0 1 210
0.150547 0 1 223
0.160156 0 1 234
0.170566 0 1 247
0.180176 0 1 259
0.190586 0 1 275
0.200195 0 1 283
0.210605 0 1 297
0.220215 0 1 308
0.230625 0 1 321
0.240234 0 1 333
0.250645 0 1 346
0.260254 0 1 357
0.270664 0 1 370
0.280273 0 1 381
0.290684 0 1 394
0.300293 0 1 406
0.310703 0 1 419
0.320312 0 1 430
0.330723 0 1 442
0.340332 0 1 454
0.350742 0 1 466
0.360352 0 1 477
0.370762 0 1 490
0.380371 0 1 501
0.390781 0 1 514
0.400391 0 1 525
0.410801 0 1 538
0.42041 0 1 550
0.43002 0 1 561
0.44043 0 1 574
0.450039 0 1 586
0.460449 0 1 598
0.470059 0 1 610
0.480469 0 1 623
0.490078 0 1 635
0.500488 0 1 647
0.510098 0 1 656
0.520508 0 1 672
0.530117 0 1 680
0.540527 0 1 697
0.550137 0 1 709
0.560547 0 1 721
0.570156 0 1 733
0.580566 0 1 746
0.590176 0 1 758
0.600586 0 1 770
0.610195 0 1 782
0.620605 0 1 795
0.630215 0 1 807
0.640625 0 1 816
0.650234 0 1 828
0.660645 0 1 845
0.670254 0 1 857
0.680664 0 1 871
0.690273 0 1 881
0.700684 0 1 895
0.710293 0 1 906
0.720703 0 1 916
0.730312 0 1 931
0.740723 0 1 940
0.750332 0 1 952
0.760742 0 1 970
0.770352 0 1 981
0.780762 0 1 994
0.790371 0 1 1005
0.800781 0 1 1018
0.810391 0 1 1017
0.820801 0 1 1017
0.83041 0 1 1017
0.84002 0 1 1017
0.85043 0 1 1017
0.860039 0 1 1017
0.870449 0 1 1017
0.880059 0 1 1017
0.890469 0 1 1017
0.900078 0 1 1017
0.910488 0 1 1017
0.920098 0 1 1017
0.930508 0 1 1017
0.940117 0 1 1017
0.950527 0 1 1017
0.960137 0 1 1017
0.970547 0 1 1017
0.980156 0 1 1017
0.990566 0 1 1017
1.00018 0 1 1017
1.01059 0 1 1017
1.0202 0 1 1017
1.03061 0 1 1017
1.04021 0 1 1017
1.05062 0 1 1017
1.06023 0 1 1017
1.07064 0 1 1017
1.08025 0 1 1017
1.09066 0 1 1017
1.10027 0 1 1017
1.11068 0 1 1017
1.12029 0 1 1017
1.1307 0 1 1017
1.14031 0 1 1017
1.15072 0 1 1017
1.16033 0 1 1017
1.17074 0 1 1017
1.18035 0 1 1017
1.19076 0 1 1017
0 0 2 25
0.0104102 0 2 32
0.0200195 0 2 39
0.0304297 0 2 46
0.0400391 0 2 53
0.0504492 0 2 61
0.0600586 0 2 64
0.0704687 0 2 75
0.0800781 0 2 82
0.0904883 0 2 90
0.100098 0 2 97
0.110508 0 2 104
0.120117 0 2 111
0.130527 0 2 119
0.140137 0 2 126
0.150547 0 2 133
0.160156 0 2 140
0.170566 0 2 148
0.180176 0 2 155
0.190586 0 2 162
0.200195 0 2 169
0.210605 0 2 177
0.220215 0 2 184
0.230625 0 2 192
0.240234 0 2 199
0.250645 0 2 206
0.260254 0 2 213
0.270664 0 2 221
0.280273 0 2 228
0.290684 0 2 235
0.300293 0 2 242
0.310703 0 2 250
0.320312 0 2 257
0.330723 0 2 264
0.340332 0 2 271
0.350742 0 2 278
0.360352 0 2 285
0.370762 0 2 292
0.380371 0 2 299
0.390781 0 2 306
0.400391 0 2 313
0.410801 0 2 320
0.42041 0 2 327
0.43002 0 2 334
0.44043 0 2 342
0.450039 0 2 349
0.460449 0 2 356
0.470059 0 2 363
0.480469 0 2 371
0.490078 0 2 378
0.500488 0 2 385
0.510098 0 2 392
0.520508 0 2 400
0.530117 0 2 407
0.540527 0 2 415
0.550137 0 2 421
0.560547 0 2 429
0.570156 0 2 436
0.580566 0 2 440
