InputVoltage BandgapControl RampGain ADCvalue
0 0 0 13
0.0102026 0 0 19
0.0201138 0 0 24
0.0300249 0 0 29
0.0402275 0 0 35
0.0501387 0 0 41
0.0600498 0 0 46
0.0702524 0 0 52
0.0801636 0 0 58
0.0900747 0 0 63
0.100277 0 0 69
0.110188 0 0 74
0.1201 0 0 80
0.130011 0 0 86
0.140213 0 0 91
0.150125 0 0 97
0.160036 0 0 103
0.170238 0 0 108
0.180149 0 0 114
0.190061 0 0 120
0.200263 0 0 126
0.210174 0 0 131
0.220085 0 0 137
0.230288 0 0 143
0.240199 0 0 149
0.25011 0 0 154
0.260021 0 0 160
0.270224 0 0 166
0.280135 0 0 171
0.290046 0 0 177
0.300249 0 0 182
0.31016 0 0 188
0.320071 0 0 193
0.330274 0 0 199
0.340185 0 0 205
0.350096 0 0 210
0.360007 0 0 216
0.37021 0 0 221
0.380121 0 0 227
0.390032 0 0 233
0.400235 0 0 238
0.410146 0 0 244
0.420057 0 0 250
0.43026 0 0 255
0.440171 0 0 261
0.450082 0 0 267
0.460285 0 0 272
0.470196 0 0 278
0.480107 0 0 283
0.490018 0 0 289
0.500221 0 0 295
0.510132 0 0 301
0.520043 0 0 306
0.530246 0 0 312
0.540157 0 0 318
0.550068 0 0 323
0.560271 0 0 329
0.570182 0 0 335
0.580093 0 0 341
0.590004 0 0 346
0.600207 0 0 352
0.610118 0 0 358
0.620029 0 0 364
0.630231 0 0 369
0.640143 0 0 375
0.650054 0 0 381
0.660256 0 0 387
0.670167 0 0 392
0.680079 0 0 398
0.690281 0 0 404
0.700192 0 0 410
0.710104 0 0 415
0.720015 0 0 421
0.730217 0 0 427
0.740128 0 0 432
0.75004 0 0 438
0.760242 0 0 444
0.770153 0 0 450
0.780064 0 0 455
0.790267 0 0 461
0.800178 0 0 466
0.810089 0 0 472
0.82 0 0 478
0.830203 0 0 484
0.840114 0 0 489
0.850025 0 0 495
0.860228 0 0 501
0.870139 0 0 507
0.88005 0 0 512
0.890253 0 0 518
0.900164 0 0 524
0.910075 0 0 529
0.920278 0 0 535
0.930189 0 0 541
0.9401 0 0 547
0.950011 0 0 552
0.960214 0 0 558
0.970125 0 0 564
0.980036 0 0 569
0.990239 0 0 575
1.00015 0 0 581
1.01006 0 0 587
1.02026 0 0 593
1.03017 0 0 598
1.04009 0 0 604
1.05029 0 0 610
1.0602 0 0 615
1.07011 0 0 621
1.08002 0 0 627
1.09022 0 0 633
1.10014 0 0 638
1.11005 0 0 644
1.12025 0 0 650
1.13016 0 0 656
1.14007 0 0 661
1.15027 0 0 667
1.16019 0 0 673
