InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 539
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
0.597 10 3 540
0.597 10 3 540
0.597 10 3 540
0.597 10 3 541
