Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0440304 2.47499e-05
VCC_H_1.500000_VDD_Reset 1.41898 1.77636e-15
VCC_H_1.500000_current_1V5_Run 0.0276655 0.00290608
VCC_H_1.500000_VDD_Run 1.18522 0.000448437
VCC_H_1.500000_VDD_2_R 494.9 0.3
VCC_H_1.500000_VDD_2_L 528.2 0.4
VCC_H_1.500000_DVDD_2 660 0
VCC_H_1.500000_BG 560 0
VCC_H_1.500000_Temp 579.1 0.3
VCC_H_1.500000_VDD_H_4 313.1 0.3
VCC_H_1.500000_OTA_R 702.4 0.489898
VCC_H_1.500000_OTA_L 741.8 0.4
VCC_H_2.000000_current_1V5_Reset 0.0439334 0.00139377
VCC_H_2.000000_VDD_Reset 1.41898 1.77636e-15
VCC_H_2.000000_current_1V5_Run 0.0285261 0.00385289
VCC_H_2.000000_VDD_Run 1.18516 1.9984e-15
VCC_H_2.000000_VDD_2_R 493.8 0.4
VCC_H_2.000000_VDD_2_L 526.8 0.4
VCC_H_2.000000_DVDD_2 658.7 0.458258
VCC_H_2.000000_BG 559 0
VCC_H_2.000000_Temp 578 0.447214
VCC_H_2.000000_VDD_H_4 407 0
VCC_H_2.000000_OTA_R 700.9 0.3
VCC_H_2.000000_OTA_L 739.8 0.4
VCC_H_2.500000_current_1V5_Reset 0.0440827 0.00183114
VCC_H_2.500000_VDD_Reset 1.41898 1.77636e-15
VCC_H_2.500000_current_1V5_Run 0.0284664 0.00372144
VCC_H_2.500000_VDD_Run 1.18576 0.00250971
VCC_H_2.500000_VDD_2_R 493 0
VCC_H_2.500000_VDD_2_L 525.2 0.4
VCC_H_2.500000_DVDD_2 656.7 0.458258
VCC_H_2.500000_BG 557.2 0.4
VCC_H_2.500000_Temp 576.4 0.489898
VCC_H_2.500000_VDD_H_4 502.1 0.3
VCC_H_2.500000_OTA_R 699.8 0.4
VCC_H_2.500000_OTA_L 737.9 0.3
VCC_H_3.000000_current_1V5_Reset 0.0441275 0.00148499
VCC_H_3.000000_VDD_Reset 1.41741 0.0156166
VCC_H_3.000000_current_1V5_Run 0.0281555 0.00355205
VCC_H_3.000000_VDD_Run 1.18602 0.00230336
VCC_H_3.000000_VDD_2_R 492.5 0.5
VCC_H_3.000000_VDD_2_L 525 0
VCC_H_3.000000_DVDD_2 657 0
VCC_H_3.000000_BG 557.8 0.4
VCC_H_3.000000_Temp 576.9 0.3
VCC_H_3.000000_VDD_H_4 595 0
VCC_H_3.000000_OTA_R 699.1 0.3
VCC_H_3.000000_OTA_L 738 0
