InputVoltage BandgapControl RampGain ADCvalue
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 523
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
0.597383 10 3 521
0.597383 10 3 521
0.597383 10 3 520
