Param val stddev
VCC_H_1.500000_current_1V5_Reset 0.0462965 0.00465298
VCC_H_1.500000_VDD_Reset 1.41898 1.77636e-15
VCC_H_1.500000_current_1V5_Run 0.0313345 0.00384301
VCC_H_1.500000_VDD_Run 1.20389 0.00114374
VCC_H_1.500000_VDD_2_R 528.2 0.4
VCC_H_1.500000_VDD_2_L 535.3 0.458258
VCC_H_1.500000_DVDD_2 663.9 0.3
VCC_H_1.500000_BG 570.9 0.3
VCC_H_1.500000_Temp 582 0
VCC_H_1.500000_VDD_H_4 328 0
VCC_H_1.500000_OTA_R 743 0
VCC_H_1.500000_OTA_L 758.4 0.489898
VCC_H_2.000000_current_1V5_Reset 0.0466796 0.000841496
VCC_H_2.000000_VDD_Reset 1.41898 1.77636e-15
VCC_H_2.000000_current_1V5_Run 0.0307648 0.00362279
VCC_H_2.000000_VDD_Run 1.20405 0.000960937
VCC_H_2.000000_VDD_2_R 527.7 0.458258
VCC_H_2.000000_VDD_2_L 533.9 0.3
VCC_H_2.000000_DVDD_2 662.4 0.489898
VCC_H_2.000000_BG 569.9 0.3
VCC_H_2.000000_Temp 580.9 0.3
VCC_H_2.000000_VDD_H_4 426.8 0.4
VCC_H_2.000000_OTA_R 742.4 0.489898
VCC_H_2.000000_OTA_L 756.7 0.458258
VCC_H_2.500000_current_1V5_Reset 0.0466746 0.000941639
VCC_H_2.500000_VDD_Reset 1.41898 1.77636e-15
VCC_H_2.500000_current_1V5_Run 0.0311031 0.00370187
VCC_H_2.500000_VDD_Run 1.20303 0.00158093
VCC_H_2.500000_VDD_2_R 527 0.447214
VCC_H_2.500000_VDD_2_L 533.6 0.489898
VCC_H_2.500000_DVDD_2 662.2 0.4
VCC_H_2.500000_BG 569.9 0.3
VCC_H_2.500000_Temp 580.8 0.4
VCC_H_2.500000_VDD_H_4 527.5 0.5
VCC_H_2.500000_OTA_R 742.6 0.489898
VCC_H_2.500000_OTA_L 756.4 0.489898
VCC_H_3.000000_current_1V5_Reset 0.0467094 0.00187356
VCC_H_3.000000_VDD_Reset 1.41898 1.77636e-15
VCC_H_3.000000_current_1V5_Run 0.0311056 0.00433722
VCC_H_3.000000_VDD_Run 1.20277 0.00594954
VCC_H_3.000000_VDD_2_R 527 0.447214
VCC_H_3.000000_VDD_2_L 532.9 0.538516
VCC_H_3.000000_DVDD_2 661.9 0.3
VCC_H_3.000000_BG 569.6 0.489898
VCC_H_3.000000_Temp 580.3 0.458258
VCC_H_3.000000_VDD_H_4 626 0
VCC_H_3.000000_OTA_R 742.6 0.489898
VCC_H_3.000000_OTA_L 756.2 0.6
