InputVoltage BandgapControl RampGain ADCvalue
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 447
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 447
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 447
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 446
0.597383 10 3 447
0.597383 10 3 446
0.597383 10 3 446
