InputVoltage BandgapControl RampGain ADCvalue
0 0 0 15
0.0102026 0 0 20
0.0201138 0 0 26
0.0300249 0 0 31
0.0402275 0 0 36
0.0501387 0 0 42
0.0600498 0 0 47
0.0702524 0 0 52
0.0801636 0 0 58
0.0900747 0 0 63
0.100277 0 0 68
0.110188 0 0 74
0.1201 0 0 79
0.130011 0 0 85
0.140213 0 0 90
0.150125 0 0 96
0.160036 0 0 101
0.170238 0 0 106
0.180149 0 0 112
0.190061 0 0 117
0.200263 0 0 123
0.210174 0 0 128
0.220085 0 0 134
0.230288 0 0 139
0.240199 0 0 145
0.25011 0 0 150
0.260021 0 0 156
0.270224 0 0 161
0.280135 0 0 167
0.290046 0 0 172
0.300249 0 0 177
0.31016 0 0 183
0.320071 0 0 188
0.330274 0 0 193
0.340185 0 0 199
0.350096 0 0 204
0.360007 0 0 209
0.37021 0 0 215
0.380121 0 0 220
0.390032 0 0 225
0.400235 0 0 231
0.410146 0 0 236
0.420057 0 0 241
0.43026 0 0 247
0.440171 0 0 252
0.450082 0 0 257
0.460285 0 0 263
0.470196 0 0 268
0.480107 0 0 274
0.490018 0 0 279
0.500221 0 0 284
0.510132 0 0 290
0.520043 0 0 295
0.530246 0 0 301
0.540157 0 0 306
0.550068 0 0 312
0.560271 0 0 317
0.570182 0 0 323
0.580093 0 0 328
0.590004 0 0 333
0.600207 0 0 339
0.610118 0 0 344
0.620029 0 0 349
0.630231 0 0 355
0.640143 0 0 361
0.650054 0 0 366
0.660256 0 0 372
0.670167 0 0 377
0.680079 0 0 383
0.690281 0 0 388
0.700192 0 0 394
0.710104 0 0 399
0.720015 0 0 404
0.730217 0 0 410
0.740128 0 0 415
0.75004 0 0 421
0.760242 0 0 426
0.770153 0 0 432
0.780064 0 0 437
0.790267 0 0 443
0.800178 0 0 448
0.810089 0 0 454
0.82 0 0 459
0.830203 0 0 465
0.840114 0 0 470
0.850025 0 0 476
0.860228 0 0 481
0.870139 0 0 487
0.88005 0 0 492
0.890253 0 0 497
0.900164 0 0 503
0.910075 0 0 508
0.920278 0 0 514
0.930189 0 0 519
0.9401 0 0 525
0.950011 0 0 530
0.960214 0 0 536
0.970125 0 0 541
0.980036 0 0 546
0.990239 0 0 552
1.00015 0 0 557
1.01006 0 0 562
1.02026 0 0 568
1.03017 0 0 573
1.04009 0 0 579
1.05029 0 0 584
1.0602 0 0 590
1.07011 0 0 595
1.08002 0 0 601
1.09022 0 0 606
1.10014 0 0 612
1.11005 0 0 617
1.12025 0 0 623
1.13016 0 0 628
1.14007 0 0 634
1.15027 0 0 639
1.16019 0 0 645
1.1701 0 0 650
1.18001 0 0 656
1.19021 0 0 661
0 0 1 30
0.0102026 0 1 41
0.0201138 0 1 52
0.0300249 0 1 63
0.0402275 0 1 75
0.0501387 0 1 86
0.0600498 0 1 97
0.0702524 0 1 109
0.0801636 0 1 121
0.0900747 0 1 132
0.100277 0 1 144
0.110188 0 1 155
0.1201 0 1 167
0.130011 0 1 179
0.140213 0 1 191
0.150125 0 1 202
0.160036 0 1 214
0.170238 0 1 226
0.180149 0 1 237
0.190061 0 1 249
0.200263 0 1 261
0.210174 0 1 273
0.220085 0 1 285
0.230288 0 1 297
0.240199 0 1 309
0.25011 0 1 320
0.260021 0 1 332
0.270224 0 1 344
0.280135 0 1 355
0.290046 0 1 367
0.300249 0 1 379
0.31016 0 1 391
0.320071 0 1 402
0.330274 0 1 414
0.340185 0 1 425
0.350096 0 1 437
0.360007 0 1 448
0.37021 0 1 460
0.380121 0 1 471
0.390032 0 1 482
0.400235 0 1 494
0.410146 0 1 505
0.420057 0 1 517
0.43026 0 1 528
0.440171 0 1 540
0.450082 0 1 552
0.460285 0 1 564
0.470196 0 1 575
0.480107 0 1 587
0.490018 0 1 599
0.500221 0 1 610
0.510132 0 1 622
0.520043 0 1 633
0.530246 0 1 645
0.540157 0 1 658
0.550068 0 1 669
0.560271 0 1 681
0.570182 0 1 693
0.580093 0 1 704
0.590004 0 1 716
0.600207 0 1 728
0.610118 0 1 739
0.620029 0 1 752
0.630231 0 1 764
0.640143 0 1 775
0.650054 0 1 787
0.660256 0 1 799
0.670167 0 1 811
0.680079 0 1 823
0.690281 0 1 835
0.700192 0 1 846
0.710104 0 1 858
0.720015 0 1 869
0.730217 0 1 882
0.740128 0 1 894
0.75004 0 1 905
0.760242 0 1 917
0.770153 0 1 929
0.780064 0 1 940
0.790267 0 1 953
0.800178 0 1 964
0.810089 0 1 976
0.82 0 1 987
0.830203 0 1 1000
0.840114 0 1 1011
0.850025 0 1 1022
0.860228 0 1 1022
0.870139 0 1 1022
0.88005 0 1 1022
0.890253 0 1 1022
0.900164 0 1 1022
0.910075 0 1 1022
0.920278 0 1 1022
0.930189 0 1 1022
0.9401 0 1 1022
0.950011 0 1 1022
0.960214 0 1 1022
0.970125 0 1 1022
0.980036 0 1 1022
0.990239 0 1 1022
1.00015 0 1 1022
1.01006 0 1 1022
1.02026 0 1 1022
1.03017 0 1 1022
1.04009 0 1 1022
1.05029 0 1 1022
1.0602 0 1 1022
1.07011 0 1 1022
1.08002 0 1 1022
1.09022 0 1 1022
1.10014 0 1 1022
1.11005 0 1 1022
1.12025 0 1 1022
1.13016 0 1 1022
1.14007 0 1 1022
1.15027 0 1 1022
1.16019 0 1 1022
1.1701 0 1 1022
1.18001 0 1 1022
1.19021 0 1 1022
0 0 2 19
0.0102026 0 2 25
0.0201138 0 2 32
0.0300249 0 2 39
0.0402275 0 2 45
0.0501387 0 2 52
0.0600498 0 2 59
0.0702524 0 2 66
0.0801636 0 2 73
0.0900747 0 2 80
0.100277 0 2 87
0.110188 0 2 93
0.1201 0 2 100
0.130011 0 2 107
0.140213 0 2 114
0.150125 0 2 121
0.160036 0 2 128
0.170238 0 2 135
0.180149 0 2 142
0.190061 0 2 149
0.200263 0 2 156
0.210174 0 2 163
0.220085 0 2 170
0.230288 0 2 177
0.240199 0 2 184
0.25011 0 2 191
0.260021 0 2 198
0.270224 0 2 205
0.280135 0 2 212
0.290046 0 2 218
0.300249 0 2 225
0.31016 0 2 232
0.320071 0 2 239
0.330274 0 2 246
0.340185 0 2 253
0.350096 0 2 259
0.360007 0 2 266
0.37021 0 2 273
0.380121 0 2 280
0.390032 0 2 287
0.400235 0 2 293
0.410146 0 2 300
0.420057 0 2 307
0.43026 0 2 314
