InputVoltage BandgapControl RampGain ADCvalue
0 0 0 17
0.0104102 0 0 22
0.0200195 0 0 28
0.0304297 0 0 33
0.0400391 0 0 39
0.0504492 0 0 45
0.0600586 0 0 50
0.0704687 0 0 56
0.0800781 0 0 62
0.0904883 0 0 71
0.100098 0 0 73
0.110508 0 0 79
0.120117 0 0 85
0.130527 0 0 91
0.140137 0 0 96
0.150547 0 0 103
0.160156 0 0 108
0.170566 0 0 114
0.180176 0 0 120
0.190586 0 0 126
0.200195 0 0 131
0.210605 0 0 138
0.220215 0 0 143
0.230625 0 0 149
0.240234 0 0 155
0.250645 0 0 161
0.260254 0 0 167
0.270664 0 0 173
0.280273 0 0 178
0.290684 0 0 184
0.300293 0 0 190
0.310703 0 0 196
0.320312 0 0 201
0.330723 0 0 207
0.340332 0 0 213
0.350742 0 0 219
0.360352 0 0 224
0.370762 0 0 230
0.380371 0 0 236
0.390781 0 0 242
0.400391 0 0 247
0.410801 0 0 253
0.42041 0 0 259
0.43002 0 0 264
0.44043 0 0 270
0.450039 0 0 276
0.460449 0 0 282
0.470059 0 0 287
0.480469 0 0 293
0.490078 0 0 299
0.500488 0 0 305
0.510098 0 0 311
0.520508 0 0 317
0.530117 0 0 322
0.540527 0 0 328
0.550137 0 0 334
0.560547 0 0 340
0.570156 0 0 345
0.580566 0 0 351
0.590176 0 0 357
0.600586 0 0 363
0.610195 0 0 368
0.620605 0 0 375
0.630215 0 0 381
0.640625 0 0 387
0.650234 0 0 392
0.660645 0 0 398
0.670254 0 0 404
0.680664 0 0 410
0.690273 0 0 415
0.700684 0 0 422
0.710293 0 0 427
0.720703 0 0 434
0.730312 0 0 439
0.740723 0 0 445
0.750332 0 0 451
0.760742 0 0 457
0.770352 0 0 462
0.780762 0 0 468
0.790371 0 0 474
0.800781 0 0 480
0.810391 0 0 486
0.820801 0 0 492
0.83041 0 0 497
0.84002 0 0 503
0.85043 0 0 509
0.860039 0 0 515
0.870449 0 0 521
0.880059 0 0 526
0.890469 0 0 532
0.900078 0 0 538
0.910488 0 0 544
0.920098 0 0 550
0.930508 0 0 556
0.940117 0 0 562
0.950527 0 0 564
0.960137 0 0 573
0.970547 0 0 576
0.980156 0 0 585
0.990566 0 0 591
1.00018 0 0 597
1.01059 0 0 603
1.0202 0 0 608
1.03061 0 0 615
1.04021 0 0 621
1.05062 0 0 627
1.06023 0 0 632
1.07064 0 0 638
1.08025 0 0 644
1.09066 0 0 650
1.10027 0 0 656
1.11068 0 0 662
1.12029 0 0 664
1.1307 0 0 674
1.14031 0 0 680
1.15072 0 0 686
1.16033 0 0 691
1.17074 0 0 697
1.18035 0 0 703
1.19076 0 0 709
0 0 1 34
0.0104102 0 1 47
0.0200195 0 1 59
0.0304297 0 1 71
0.0400391 0 1 83
0.0504492 0 1 96
0.0600586 0 1 108
0.0704687 0 1 122
0.0800781 0 1 134
0.0904883 0 1 147
0.100098 0 1 163
0.110508 0 1 172
0.120117 0 1 185
0.130527 0 1 199
0.140137 0 1 211
0.150547 0 1 225
0.160156 0 1 237
0.170566 0 1 251
0.180176 0 1 260
0.190586 0 1 277
0.200195 0 1 289
0.210605 0 1 303
0.220215 0 1 312
0.230625 0 1 329
0.240234 0 1 342
0.250645 0 1 352
0.260254 0 1 368
0.270664 0 1 382
0.280273 0 1 394
0.290684 0 1 404
0.300293 0 1 420
0.310703 0 1 434
0.320312 0 1 447
0.330723 0 1 460
0.340332 0 1 472
0.350742 0 1 485
0.360352 0 1 497
0.370762 0 1 511
0.380371 0 1 523
0.390781 0 1 532
0.400391 0 1 548
0.410801 0 1 563
0.42041 0 1 574
0.43002 0 1 587
0.44043 0 1 600
0.450039 0 1 613
0.460449 0 1 626
0.470059 0 1 638
0.480469 0 1 652
0.490078 0 1 664
0.500488 0 1 678
0.510098 0 1 690
0.520508 0 1 704
0.530117 0 1 717
0.540527 0 1 730
0.550137 0 1 742
0.560547 0 1 756
0.570156 0 1 769
0.580566 0 1 782
0.590176 0 1 794
0.600586 0 1 808
0.610195 0 1 820
0.620605 0 1 834
0.630215 0 1 847
0.640625 0 1 861
0.650234 0 1 874
0.660645 0 1 887
0.670254 0 1 903
0.680664 0 1 913
0.690273 0 1 926
0.700684 0 1 940
0.710293 0 1 952
0.720703 0 1 966
