InputVoltage BandgapControl RampGain ADCvalue
0 0 0 18
0.0104102 0 0 24
0.0200195 0 0 29
0.0304297 0 0 35
0.0400391 0 0 41
0.0504492 0 0 47
0.0600586 0 0 52
0.0704687 0 0 58
0.0800781 0 0 63
0.0904883 0 0 69
0.100098 0 0 75
0.110508 0 0 80
0.120117 0 0 86
0.130527 0 0 92
0.140137 0 0 97
0.150547 0 0 103
0.160156 0 0 109
0.170566 0 0 115
0.180176 0 0 120
0.190586 0 0 126
0.200195 0 0 131
0.210605 0 0 138
0.220215 0 0 143
0.230625 0 0 149
0.240234 0 0 154
0.250645 0 0 160
0.260254 0 0 166
0.270664 0 0 168
0.280273 0 0 177
0.290684 0 0 183
0.300293 0 0 188
0.310703 0 0 194
0.320312 0 0 200
0.330723 0 0 205
0.340332 0 0 211
0.350742 0 0 217
0.360352 0 0 222
0.370762 0 0 228
0.380371 0 0 233
0.390781 0 0 239
0.400391 0 0 244
0.410801 0 0 250
0.42041 0 0 259
0.43002 0 0 261
0.44043 0 0 267
0.450039 0 0 272
0.460449 0 0 278
0.470059 0 0 284
0.480469 0 0 290
0.490078 0 0 295
0.500488 0 0 301
0.510098 0 0 307
0.520508 0 0 313
0.530117 0 0 318
0.540527 0 0 324
0.550137 0 0 329
0.560547 0 0 335
0.570156 0 0 341
0.580566 0 0 347
0.590176 0 0 352
0.600586 0 0 358
0.610195 0 0 363
0.620605 0 0 370
0.630215 0 0 375
0.640625 0 0 381
0.650234 0 0 387
0.660645 0 0 393
0.670254 0 0 398
0.680664 0 0 404
0.690273 0 0 409
0.700684 0 0 415
0.710293 0 0 421
0.720703 0 0 427
0.730312 0 0 433
0.740723 0 0 439
0.750332 0 0 444
0.760742 0 0 450
0.770352 0 0 452
0.780762 0 0 462
0.790371 0 0 467
0.800781 0 0 473
0.810391 0 0 479
0.820801 0 0 485
0.83041 0 0 490
0.84002 0 0 496
0.85043 0 0 502
0.860039 0 0 507
0.870449 0 0 513
0.880059 0 0 519
0.890469 0 0 525
0.900078 0 0 530
0.910488 0 0 536
0.920098 0 0 541
0.930508 0 0 544
0.940117 0 0 553
0.950527 0 0 559
0.960137 0 0 564
0.970547 0 0 570
0.980156 0 0 572
0.990566 0 0 582
1.00018 0 0 587
1.01059 0 0 593
1.0202 0 0 598
1.03061 0 0 604
1.04021 0 0 610
1.05062 0 0 616
1.06023 0 0 621
1.07064 0 0 627
1.08025 0 0 633
