Vin VinADC
6 503
6.1 511
6.2 519
6.3 527
6.4 535
6.5 543
6.6 551
6.7 560
6.8 568
6.9 576
7 584
7.1 592
7.2 600
7.3 608
7.4 616
7.5 625
7.6 633
7.7 641
7.8 650
7.9 657
8 666
8.1 674
8.2 682
8.3 690
8.4 698
8.5 706
8.6 715
8.7 723
8.8 731
8.9 739
9 748
9.1 756
9.2 764
9.3 772
9.4 780
9.5 789
9.6 797
9.7 805
9.8 813
9.9 822
10 830
10.1 839
10.2 846
10.3 855
10.4 863
10.5 871
10.6 880
10.7 888
10.8 896
10.9 905
11 913
11.1 921
11.2 930
11.3 937
11.4 946
11.5 954
11.6 962
11.7 971
11.8 984
11.9 984
12 984
