Iout Vout Iin Vin IoutADC ntc ptat
0 1510 +6.77631300E-02 +1.09990900E+0 24 235 491
100 1510 +8.20500000E-02 +1.09990900E+0 0 242 503
200 1500 +9.68379000E-02 +1.09990900E+0 30 245 508
300 1500 +1.11576000E-01 +1.09991200E+0 32 247 514
400 1500 +1.26818900E-01 +1.09990900E+0 35 249 516
500 1490 +1.42991900E-01 +1.09990700E+0 38 251 525
600 1490 +1.60277800E-01 +1.09990600E+0 41 253 534
700 1490 +1.78601400E-01 +1.09991200E+0 44 256 545
800 1490 +1.96439000E-01 +1.09990800E+0 47 259 551
900 1480 +2.13514400E-01 +1.09990800E+0 50 261 557
1000 1480 +2.30673300E-01 +1.09991400E+0 52 263 565
1100 1480 +2.47941300E-01 +1.09991500E+0 56 266 572
1200 1470 +2.65530600E-01 +1.09991100E+0 58 268 582
1300 1470 +2.83201100E-01 +1.09991500E+0 61 271 590
1400 1470 +3.01458400E-01 +1.09991100E+0 64 273 597
1500 1460 +3.19871300E-01 +1.09992000E+0 67 276 610
1600 1460 +3.38593200E-01 +1.09991600E+0 71 279 621
