Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 125 104 98 97 97
2e-06 188 126 100 97 97
3e-06 165 148 101 98 97
4e-06 173 129 102 98 97
5e-06 161 144 104 98 98
6e-06 180 146 105 99 98
7e-06 209 163 107 99 98
8e-06 216 148 108 99 98
9e-06 244 170 110 99 98
1e-05 280 168 175 100 98
2e-05 751 248 126 103 99
3e-05 101 362 140 106 101
4e-05 102 444 155 109 102
5e-05 104 513 169 112 104
6e-05 105 710 184 115 105
7e-05 107 805 198 118 107
8e-05 108 939 213 122 108
9e-05 110 110 227 124 109
0.0001 111 111 242 112 111
0.00011 112 112 256 131 112
0.00021 127 127 399 162 127
0.00031 141 141 544 193 141
0.00041 155 155 690 224 155
0.00051 170 170 836 255 170
0.00061 184 184 184 286 184
0.00071 199 199 199 316 199
0.00081 213 213 213 347 213
0.00091 954 954 953 378 228
