Vin VinADC
3 259
3.1 267
3.2 275
3.3 282
3.4 290
3.5 298
3.6 305
3.7 313
3.8 321
3.9 328
4 336
4.1 344
4.2 352
4.3 359
4.4 367
4.5 374
4.6 382
4.7 390
4.8 397
4.9 405
5 413
5.1 421
5.2 429
5.3 437
5.4 445
5.5 453
5.6 460
5.7 468
5.8 476
5.9 484
6 492
6.1 500
6.2 508
6.3 515
6.4 524
6.5 531
6.6 539
6.7 547
6.8 555
6.9 563
7 571
7.1 579
7.2 587
7.3 595
7.4 602
7.5 610
7.6 618
7.7 626
7.8 634
7.9 642
8 650
8.1 658
8.2 665
8.3 673
8.4 681
8.5 689
8.6 697
8.7 705
8.8 713
8.9 721
9 729
9.1 737
9.2 745
9.3 752
9.4 761
9.5 769
9.6 777
9.7 785
9.8 793
9.9 800
10 808
10.1 817
10.2 825
10.3 833
10.4 841
10.5 849
10.6 857
10.7 865
10.8 873
10.9 881
11 889
11.1 897
11.2 905
11.3 913
11.4 921
11.5 929
11.6 937
11.7 945
11.8 954
11.9 962
12 979
