Vin VinADC
6 502
6.1 510
6.2 517
6.3 524
6.4 532
6.5 539
6.6 546
6.7 554
6.8 561
6.9 569
7 577
7.1 584
7.2 592
7.3 599
7.4 607
7.5 615
7.6 622
7.7 630
7.8 638
7.9 645
8 653
8.1 661
8.2 669
8.3 676
8.4 684
8.5 692
8.6 700
8.7 708
8.8 716
8.9 724
9 732
9.1 739
9.2 747
9.3 755
9.4 763
9.5 771
9.6 779
9.7 787
9.8 795
9.9 803
10 811
10.1 819
10.2 827
10.3 835
10.4 843
10.5 851
10.6 860
10.7 868
10.8 876
10.9 884
11 891
11.1 900
11.2 908
11.3 916
11.4 924
11.5 932
11.6 941
11.7 949
11.8 957
11.9 965
12 986
