BandgapControl Vin VinADC
0 6 415
0 6.1 421
0 6.2 428
0 6.3 434
0 6.4 441
0 6.5 448
0 6.6 455
0 6.7 461
0 6.8 468
0 6.9 475
0 7 481
0 7.1 488
0 7.2 495
0 7.3 501
0 7.4 508
0 7.5 515
0 7.6 522
0 7.7 528
0 7.8 535
0 7.9 541
0 8 548
0 8.1 555
0 8.2 561
0 8.3 568
0 8.4 575
0 8.5 582
0 8.6 588
0 8.7 595
0 8.8 601
0 8.9 608
0 9 615
0 9.1 621
0 9.2 628
0 9.3 634
0 9.4 641
0 9.5 648
0 9.6 654
0 9.7 661
0 9.8 668
0 9.9 674
0 10 681
0 10.1 687
0 10.2 694
0 10.3 701
0 10.4 707
0 10.5 714
0 10.6 721
0 10.7 727
0 10.8 734
0 10.9 740
0 11 747
0 11.1 753
0 11.2 760
0 11.3 767
0 11.4 774
0 11.5 781
0 11.6 787
0 11.7 794
0 11.8 801
0 11.9 807
0 12 814
1 6 420
1 6.1 427
1 6.2 433
1 6.3 440
1 6.4 0
1 6.5 453
1 6.6 460
1 6.7 467
1 6.8 474
1 6.9 480
1 7 487
1 7.1 494
1 7.2 501
1 7.3 508
1 7.4 515
1 7.5 521
1 7.6 528
1 7.7 535
1 7.8 541
1 7.9 548
1 8 555
1 8.1 562
1 8.2 568
1 8.3 575
1 8.4 582
1 8.5 588
1 8.6 595
1 8.7 602
1 8.8 609
1 8.9 615
1 9 622
1 9.1 629
1 9.2 635
1 9.3 642
1 9.4 649
1 9.5 656
1 9.6 662
1 9.7 669
1 9.8 676
1 9.9 683
1 10 689
1 10.1 696
1 10.2 703
1 10.3 709
1 10.4 716
1 10.5 723
1 10.6 730
1 10.7 736
1 10.8 743
1 10.9 750
1 11 756
1 11.1 763
1 11.2 770
1 11.3 777
1 11.4 783
1 11.5 790
1 11.6 797
1 11.7 804
1 11.8 811
1 11.9 817
1 12 824
2 6 425
2 6.1 432
2 6.2 439
2 6.3 446
2 6.4 452
2 6.5 459
2 6.6 466
2 6.7 473
2 6.8 480
2 6.9 486
2 7 493
2 7.1 500
2 7.2 507
2 7.3 514
2 7.4 521
2 7.5 528
2 7.6 535
2 7.7 541
2 7.8 548
2 7.9 555
2 8 562
2 8.1 568
2 8.2 575
2 8.3 582
2 8.4 589
2 8.5 596
2 8.6 603
2 8.7 610
2 8.8 617
2 8.9 623
2 9 630
2 9.1 637
2 9.2 644
2 9.3 650
2 9.4 657
2 9.5 664
2 9.6 671
2 9.7 677
2 9.8 684
2 9.9 691
2 10 698
2 10.1 704
2 10.2 711
2 10.3 718
2 10.4 725
2 10.5 732
2 10.6 739
2 10.7 746
2 10.8 752
2 10.9 759
2 11 0
2 11.1 773
2 11.2 780
2 11.3 787
2 11.4 794
2 11.5 800
2 11.6 807
2 11.7 814
2 11.8 821
2 11.9 828
2 12 835
3 6 431
3 6.1 438
3 6.2 445
3 6.3 452
3 6.4 459
3 6.5 465
3 6.6 472
3 6.7 479
3 6.8 486
3 6.9 493
3 7 500
3 7.1 507
3 7.2 514
3 7.3 521
3 7.4 528
3 7.5 535
3 7.6 542
3 7.7 549
3 7.8 555
3 7.9 562
3 8 569
3 8.1 576
3 8.2 0
3 8.3 591
3 8.4 597
3 8.5 604
3 8.6 611
3 8.7 618
3 8.8 625
3 8.9 631
3 9 638
3 9.1 645
3 9.2 652
3 9.3 659
3 9.4 666
3 9.5 673
3 9.6 680
3 9.7 686
3 9.8 693
3 9.9 700
3 10 707
3 10.1 714
3 10.2 721
3 10.3 728
3 10.4 735
3 10.5 741
3 10.6 748
3 10.7 756
3 10.8 762
3 10.9 769
3 11 776
3 11.1 783
3 11.2 790
3 11.3 797
3 11.4 804
3 11.5 811
3 11.6 818
3 11.7 825
3 11.8 832
3 11.9 839
3 12 846
4 6 437
4 6.1 444
4 6.2 451
4 6.3 458
4 6.4 465
4 6.5 472
4 6.6 479
4 6.7 486
4 6.8 493
4 6.9 500
4 7 507
4 7.1 514
4 7.2 521
4 7.3 528
4 7.4 535
4 7.5 542
4 7.6 549
4 7.7 556
4 7.8 563
4 7.9 570
4 8 578
4 8.1 584
4 8.2 592
4 8.3 599
4 8.4 605
4 8.5 612
4 8.6 620
4 8.7 626
4 8.8 633
4 8.9 640
4 9 0
4 9.1 654
4 9.2 662
4 9.3 669
4 9.4 676
4 9.5 682
4 9.6 689
4 9.7 697
4 9.8 703
4 9.9 710
4 10 717
4 10.1 724
4 10.2 732
4 10.3 738
4 10.4 746
4 10.5 752
4 10.6 759
4 10.7 766
4 10.8 773
4 10.9 781
4 11 788
4 11.1 795
4 11.2 802
4 11.3 809
4 11.4 816
4 11.5 823
4 11.6 830
4 11.7 838
4 11.8 845
4 11.9 852
4 12 859
5 6 444
5 6.1 451
5 6.2 458
5 6.3 465
5 6.4 473
5 6.5 480
5 6.6 487
5 6.7 494
5 6.8 501
5 6.9 508
5 7 516
5 7.1 522
5 7.2 530
5 7.3 537
5 7.4 544
5 7.5 551
5 7.6 558
5 7.7 565
5 7.8 572
5 7.9 580
5 8 587
5 8.1 594
5 8.2 601
5 8.3 608
5 8.4 615
5 8.5 622
5 8.6 629
5 8.7 637
5 8.8 644
5 8.9 651
5 9 658
5 9.1 665
5 9.2 672
5 9.3 680
5 9.4 687
5 9.5 693
5 9.6 701
5 9.7 708
5 9.8 715
5 9.9 722
5 10 729
5 10.1 736
5 10.2 743
5 10.3 750
5 10.4 758
5 10.5 765
5 10.6 772
5 10.7 780
5 10.8 787
5 10.9 794
5 11 801
5 11.1 808
5 11.2 815
5 11.3 823
5 11.4 830
5 11.5 837
5 11.6 844
5 11.7 852
5 11.8 859
5 11.9 867
5 12 873
6 6 453
6 6.1 460
6 6.2 467
6 6.3 474
6 6.4 481
6 6.5 488
6 6.6 496
6 6.7 503
6 6.8 510
6 6.9 518
6 7 525
6 7.1 532
6 7.2 539
6 7.3 547
6 7.4 554
6 7.5 561
6 7.6 569
6 7.7 576
6 7.8 583
6 7.9 590
6 8 598
6 8.1 605
6 8.2 612
6 8.3 619
6 8.4 627
6 8.5 634
6 8.6 641
6 8.7 648
6 8.8 655
6 8.9 663
6 9 670
6 9.1 677
6 9.2 685
6 9.3 692
6 9.4 699
6 9.5 706
6 9.6 714
6 9.7 721
6 9.8 728
6 9.9 735
6 10 743
6 10.1 750
6 10.2 758
6 10.3 765
6 10.4 772
6 10.5 779
6 10.6 787
6 10.7 795
6 10.8 802
6 10.9 809
6 11 816
6 11.1 824
6 11.2 831
6 11.3 838
6 11.4 846
6 11.5 853
6 11.6 861
6 11.7 868
6 11.8 876
6 11.9 883
6 12 891
7 6 461
7 6.1 469
7 6.2 476
7 6.3 483
7 6.4 491
7 6.5 0
7 6.6 506
7 6.7 513
7 6.8 521
7 6.9 528
7 7 535
7 7.1 543
7 7.2 550
7 7.3 557
7 7.4 565
7 7.5 572
7 7.6 580
7 7.7 587
7 7.8 595
7 7.9 602
7 8 609
7 8.1 617
7 8.2 624
7 8.3 632
7 8.4 639
7 8.5 647
7 8.6 654
7 8.7 661
7 8.8 669
7 8.9 676
7 9 683
7 9.1 691
7 9.2 698
7 9.3 706
7 9.4 713
7 9.5 720
7 9.6 728
7 9.7 735
7 9.8 743
7 9.9 750
7 10 758
7 10.1 765
7 10.2 773
7 10.3 780
7 10.4 788
7 10.5 796
7 10.6 803
7 10.7 811
7 10.8 818
7 10.9 825
7 11 833
7 11.1 841
7 11.2 848
7 11.3 856
7 11.4 863
7 11.5 870
7 11.6 878
7 11.7 885
7 11.8 893
7 11.9 901
7 12 908
8 6 471
8 6.1 478
8 6.2 486
8 6.3 493
8 6.4 501
8 6.5 508
8 6.6 516
8 6.7 524
8 6.8 531
8 6.9 538
8 7 546
8 7.1 554
8 7.2 561
8 7.3 569
8 7.4 577
8 7.5 584
8 7.6 592
8 7.7 599
8 7.8 607
8 7.9 614
8 8 622
8 8.1 629
8 8.2 637
8 8.3 645
8 8.4 652
8 8.5 660
8 8.6 667
8 8.7 675
8 8.8 683
8 8.9 690
8 9 697
8 9.1 705
8 9.2 713
8 9.3 720
8 9.4 728
8 9.5 736
8 9.6 743
8 9.7 751
8 9.8 759
8 9.9 766
8 10 774
8 10.1 781
8 10.2 790
8 10.3 797
8 10.4 804
8 10.5 812
8 10.6 820
8 10.7 828
8 10.8 835
8 10.9 843
8 11 851
8 11.1 858
8 11.2 866
8 11.3 874
8 11.4 882
8 11.5 889
8 11.6 897
8 11.7 905
8 11.8 912
8 11.9 920
8 12 928
9 6 481
9 6.1 488
9 6.2 496
9 6.3 504
9 6.4 0
9 6.5 519
9 6.6 527
9 6.7 535
9 6.8 542
9 6.9 550
9 7 558
9 7.1 566
9 7.2 573
9 7.3 581
9 7.4 589
9 7.5 597
9 7.6 604
9 7.7 612
9 7.8 620
9 7.9 627
9 8 635
9 8.1 643
9 8.2 650
9 8.3 658
9 8.4 666
9 8.5 674
9 8.6 681
9 8.7 689
9 8.8 697
9 8.9 705
9 9 712
9 9.1 720
9 9.2 728
9 9.3 736
9 9.4 744
9 9.5 752
9 9.6 759
9 9.7 767
9 9.8 775
9 9.9 782
9 10 790
9 10.1 798
9 10.2 806
