Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 107 87 101 100 100
1.1e-06 103 94 101 100 100
1.2e-06 126 92 101 100 100
1.3e-06 123 80 101 100 100
1.4e-06 116 71 101 100 100
1.5e-06 97 93 102 100 100
1.6e-06 106 84 103 101 100
1.7e-06 122 86 103 101 100
1.8e-06 122 94 103 101 100
1.9e-06 121 80 103 101 100
2.9e-06 118 89 104 101 100
3.9e-06 128 97 106 101 101
4.9e-06 153 101 107 102 101
5.9e-06 160 114 108 102 101
6.9e-06 202 139 110 102 101
7.9e-06 236 161 111 102 101
8.9e-06 270 142 113 103 101
9.9e-06 285 167 114 103 101
1.09e-05 318 176 115 103 102
1.19e-05 328 199 117 104 102
2.19e-05 803 328 131 107 103
3.19e-05 105 397 145 110 105
4.19e-05 106 499 159 113 106
5.19e-05 107 640 173 116 107
6.19e-05 109 635 187 119 109
7.19e-05 110 772 201 122 110
8.19e-05 111 935 215 125 112
9.19e-05 113 113 229 128 113
0.0001019 114 114 244 131 114
0.0001119 116 116 257 134 116
0.0002119 130 130 396 164 130
0.0003119 144 144 536 195 144
0.0004119 158 158 677 225 158
0.0005119 172 172 819 256 172
0.0006119 186 186 186 286 186
0.0007119 201 201 201 315 201
0.0008119 215 215 215 346 215
0.0009119 229 229 229 376 229
