Iout Vout Iin Vin IoutADC ntc ptat
0 1520 +6.50515200E-02 +1.09987500E+0 20 223 450
100 1510 +7.93727400E-02 +1.09987300E+0 24 225 451
200 1510 +9.38655100E-02 +1.09987100E+0 28 226 457
300 1510 +1.08715500E-01 +1.09987300E+0 30 227 458
400 1500 +1.24411400E-01 +1.09987500E+0 32 228 460
500 1500 +1.40748800E-01 +1.09987300E+0 0 230 461
600 1500 +1.57989900E-01 +1.09987200E+0 38 231 469
700 1490 +1.75744900E-01 +1.09988100E+0 40 233 473
800 1490 +1.93227900E-01 +1.09987400E+0 43 235 479
900 1490 +2.10165400E-01 +1.09987100E+0 45 237 486
1000 1490 +2.27195600E-01 +1.09987500E+0 48 238 493
1100 1480 +2.44298700E-01 +1.09988500E+0 50 0 498
1200 1480 +2.61705000E-01 +1.09987800E+0 53 242 500
1300 1480 +2.79298800E-01 +1.09987700E+0 56 244 507
1400 1470 +2.97240300E-01 +1.09988200E+0 59 246 511
1500 1470 +3.15441900E-01 +1.09987600E+0 62 247 520
1600 1470 +3.33920100E-01 +1.09987700E+0 64 250 528
1700 1460 +3.52778600E-01 +1.09988200E+0 67 252 533
1800 1460 +3.72007100E-01 +1.09988100E+0 70 255 546
1900 1460 +3.91406900E-01 +1.09987700E+0 73 257 550
2000 1460 +4.11461400E-01 +1.09987400E+0 76 260 563
2100 1450 +4.31738100E-01 +1.09988400E+0 79 262 574
2200 1450 +4.52620700E-01 +1.09987800E+0 82 265 584
2300 1450 +4.73990300E-01 +1.09988100E+0 85 268 597
2400 1440 +4.95721000E-01 +1.09988100E+0 88 271 608
2500 1440 +5.17947500E-01 +1.09988500E+0 91 274 620
2600 1440 +5.40789300E-01 +1.09988300E+0 94 277 636
2700 1430 +5.63976500E-01 +1.09988100E+0 98 280 649
2800 1430 +5.87997800E-01 +1.09988500E+0 101 283 666
2900 1430 +6.12226800E-01 +1.09989000E+0 104 286 683
3000 1430 +6.37688600E-01 +1.09988600E+0 108 289 697
3100 1420 +6.63893200E-01 +1.09988200E+0 111 292 722
3200 1420 +6.90312600E-01 +1.09988800E+0 115 295 740
3300 1420 +7.17730300E-01 +1.09988700E+0 118 297 763
3400 1420 +7.45976400E-01 +1.09988400E+0 122 300 785
3500 1420 +7.74698800E-01 +1.09988500E+0 126 303 807
3600 1410 +8.04488200E-01 +1.09988600E+0 130 305 833
3700 1410 +8.34668900E-01 +1.09988500E+0 134 308 861
3800 1410 +8.66746400E-01 +1.09988100E+0 138 311 890
3900 1410 +8.99015800E-01 +1.09988700E+0 142 313 915
4000 1410 +9.32965300E-01 +1.09989100E+0 147 315 958
