Iout Vout Iin Vin IoutADC ntc ptat
0 1520 +6.76307500E-02 +1.09988100E+0 38 233 550
100 1520 +8.18313100E-02 +1.09988300E+0 41 236 554
200 1520 +9.62313900E-02 +1.09988400E+0 44 238 558
300 1510 +1.11260300E-01 +1.09988300E+0 46 239 561
400 1510 +1.26444300E-01 +1.09987900E+0 49 0 563
500 1510 +1.42447700E-01 +1.09988100E+0 51 241 565
600 1500 +1.59826800E-01 +1.09988200E+0 54 243 571
700 1500 +1.78421900E-01 +1.09988400E+0 57 245 581
800 1500 +1.96954600E-01 +1.09988300E+0 59 247 591
900 1500 +2.14376400E-01 +1.09988100E+0 62 249 598
1000 1490 +2.31723000E-01 +1.09988600E+0 65 251 601
1100 1490 +2.49148200E-01 +1.09988900E+0 68 253 609
1200 1480 +2.66914100E-01 +1.09988300E+0 71 255 616
1300 1480 +2.84893600E-01 +1.09988600E+0 73 257 622
1400 1480 +3.03303000E-01 +1.09988400E+0 77 259 633
1500 1480 +3.21985500E-01 +1.09988600E+0 79 261 640
1600 1470 +3.41054200E-01 +1.09989000E+0 82 264 652
1700 1470 +3.60603900E-01 +1.09988300E+0 85 266 659
1800 1470 +3.80691200E-01 +1.09988800E+0 88 269 671
1900 1460 +4.01085100E-01 +1.09988300E+0 92 272 683
2000 1460 +4.22108900E-01 +1.09988200E+0 94 274 696
2100 1460 +4.43587900E-01 +1.09988100E+0 98 277 712
2200 1450 +4.65711900E-01 +1.09988000E+0 101 280 722
2300 1450 +4.88222800E-01 +1.09988100E+0 104 282 736
2400 1450 +5.11566900E-01 +1.09988300E+0 107 286 756
2500 1440 +5.35536500E-01 +1.09988100E+0 111 288 773
2600 1440 +5.60170900E-01 +1.09988000E+0 114 291 796
2700 1440 +5.85467900E-01 +1.09988500E+0 118 294 813
2800 1440 +6.11497200E-01 +1.09988900E+0 122 297 837
2900 1430 +6.37906000E-01 +1.09988400E+0 125 300 859
3000 1430 +6.65380700E-01 +1.09988700E+0 129 302 882
3100 1430 +6.93530600E-01 +1.09988600E+0 132 304 913
3200 1430 +7.22560000E-01 +1.09988500E+0 136 307 939
3300 1430 +7.52351900E-01 +1.09988900E+0 140 309 1013
3400 1420 +7.83727300E-01 +1.09988900E+0 145 312 1013
3500 1420 +8.07638500E-01 +1.09988400E+0 147 310 950
3600 1420 +8.36273300E-01 +1.09988700E+0 150 310 996
3700 1410 +8.48205400E-01 +1.09988600E+0 27 307 988
3800 0 +3.74257800E-02 +1.09988400E+0 27 310 955
3900 1400 +9.06689000E-01 +1.09989000E+0 157 304 855
4000 0 +3.75091500E-02 +1.09988700E+0 163 308 951
