Vin	Iin	Vout
4	+3.31865500E-02	0
4.1	+3.31785600E-02	0
4.2	+3.31769600E-02	0
4.3	+3.93929000E-02	0
4.4	+3.94784100E-02	0
4.5	+3.95418000E-02	0
4.6	+3.95830900E-02	0
4.7	+3.96387600E-02	0
4.8	+3.96518100E-02	0
4.9	+3.96760500E-02	0
5	+3.96944300E-02	0
5.1	+3.97130800E-02	0
5.2	+3.97482400E-02	0
5.3	+3.97634200E-02	0
5.4	+3.97682200E-02	0
5.5	+3.98025800E-02	0
5.6	+3.97794000E-02	0
5.7	+3.97983200E-02	0
5.8	+3.97828700E-02	0
5.9	+3.98039100E-02	0
6	+3.98470600E-02	0
6.1	+3.98603800E-02	0
6.2	+3.98814200E-02	0
6.3	+3.98923400E-02	0
6.4	+3.99038000E-02	0
6.5	+3.99264400E-02	0
6.6	+3.99200400E-02	0
6.7	+3.99229800E-02	0
6.8	+3.99386900E-02	0
6.9	+4.00100800E-02	0
7	+4.00228600E-02	0
7.1	+4.00495000E-02	0
7.2	+4.00630800E-02	0
7.3	+4.00764000E-02	0
7.4	+4.00700100E-02	0
7.5	+4.00897200E-02	0
7.6	+4.01251500E-02	0
7.7	+4.01392700E-02	0
7.8	+4.01352700E-02	0
7.9	+4.01371300E-02	0
8	+4.01608400E-02	0
8.1	+4.02013300E-02	0
8.2	+4.01930700E-02	0
8.3	+4.02021300E-02	0
8.4	+4.02170500E-02	0
8.5	+4.02463500E-02	0
8.6	+4.02687200E-02	0
8.7	+4.02727200E-02	0
8.8	+4.02820400E-02	0
8.9	+4.02889600E-02	0
9	+4.03174600E-02	0
9.1	+4.03257200E-02	0
9.2	+4.03491600E-02	0
9.3	+4.03584800E-02	0
9.4	+4.03928500E-02	0
9.5	+4.04168200E-02	0
9.6	+4.04333400E-02	0
9.7	+4.04346700E-02	0
9.8	+4.04618300E-02	0
9.9	+4.04690300E-02	0
10	+4.04882100E-02	0
10.1	+4.05116500E-02	0
10.2	+4.05137800E-02	0
10.3	+4.05334900E-02	0
10.4	+4.05286900E-02	0
10.5	+4.05697200E-02	0
10.6	+4.05886200E-02	0
10.7	+4.05950200E-02	0
10.8	+4.06142000E-02	0
10.9	+4.06224500E-02	0
11	+4.06458900E-02	0
11.1	+4.06706700E-02	0
11.2	+4.06669400E-02	0
11.3	+4.06903800E-02	0
11.4	+4.07066300E-02	0
11.5	+4.06975700E-02	0
11.6	+4.07401900E-02	0
11.7	+4.07535100E-02	0
11.8	+4.07567000E-02	0
11.9	+4.07849400E-02	0
12	+4.07860100E-02	0
