Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
1e-06 132 102 105 104 104
2e-06 134 110 107 104 104
3e-06 142 119 108 105 104
4e-06 154 117 110 105 104
5e-06 152 119 111 105 104
6e-06 170 133 113 105 104
7e-06 250 142 114 106 105
8e-06 223 131 116 106 105
9e-06 249 151 117 106 105
1e-05 266 148 119 107 105
2e-05 788 312 134 110 106
3e-05 108 441 150 113 108
4e-05 110 554 165 117 110
5e-05 111 589 181 120 111
6e-05 113 720 196 123 113
7e-05 114 839 211 127 114
8e-05 116 116 227 130 116
9e-05 117 117 242 133 117
0.0001 119 119 257 136 119
0.00011 120 120 272 140 120
0.00021 135 135 423 173 135
0.00031 151 151 577 206 151
0.00041 166 166 730 239 166
0.00051 181 181 886 272 181
0.00061 197 197 197 305 197
0.00071 212 212 212 337 212
0.00081 227 227 227 370 228
0.00091 978 977 978 403 243
