Vin VinADC
6 497
6.1 500
6.2 508
6.3 516
6.4 524
6.5 531
6.6 539
6.7 547
6.8 554
6.9 563
7 570
7.1 578
7.2 586
7.3 593
7.4 601
7.5 609
7.6 617
7.7 624
7.8 632
7.9 640
8 648
8.1 656
8.2 663
8.3 671
8.4 679
8.5 687
8.6 694
8.7 702
8.8 710
8.9 718
9 726
9.1 734
9.2 742
9.3 749
9.4 757
9.5 766
9.6 773
9.7 781
9.8 789
9.9 797
10 805
10.1 814
10.2 822
10.3 830
10.4 837
10.5 846
10.6 853
10.7 862
10.8 870
10.9 877
11 886
11.1 894
11.2 902
11.3 910
11.4 918
11.5 927
11.6 937
11.7 937
11.8 937
11.9 937
12 937
