HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.555349E-01 1e-06 139 92 106 105 105
+8.474793E-01 2e-06 129 106 108 106 105
+1.326323E+00 3e-06 129 100 110 106 105
+1.809837E+00 4e-06 135 116 111 106 105
+2.294962E+00 5e-06 146 115 113 107 106
+2.776367E+00 6e-06 200 117 114 107 106
+3.260794E+00 7e-06 211 144 116 107 106
+3.745046E+00 8e-06 246 142 117 108 106
+4.225298E+00 9e-06 287 154 119 108 106
+4.711027E+00 1e-05 290 162 120 108 107
+9.548052E+00 2e-05 758 337 136 112 108
+1.438462E+01 3e-05 109 431 151 115 109
+1.922229E+01 4e-05 111 543 167 118 111
+2.405924E+01 5e-05 112 635 182 121 112
+2.889619E+01 6e-05 114 668 198 125 114
+3.373347E+01 7e-05 115 839 213 128 116
+3.857189E+01 8e-05 117 995 228 131 117
+4.340943E+01 9e-05 118 118 244 134 119
+4.824674E+01 0.0001 120 120 259 138 120
+5.300859E+01 0.00011 122 122 274 141 122
+1.012727E+02 0.00021 137 137 424 174 137
+1.495573E+02 0.00031 152 152 578 206 152
+1.978007E+02 0.00041 167 167 730 239 167
+2.459873E+02 0.00051 182 182 885 272 182
+2.941813E+02 0.00061 198 198 198 304 197
+3.424217E+02 0.00071 213 213 213 336 213
+3.907412E+02 0.00081 998 998 998 368 228
+4.391539E+02 0.00091 994 995 995 401 243
