Vin	Iin	Vout
4	+3.50319400E-02	0
4.05	+3.48963600E-02	0
4.1	+3.47876800E-02	0
4.15	+3.69596400E-02	0
4.2	+3.68738700E-02	0
4.25	+3.67902300E-02	0
4.3	+3.67651900E-02	0
4.35	+3.66919400E-02	0
4.4	+3.66455900E-02	0
4.45	+3.65907200E-02	0
4.5	+1.04973300E-01	1560
4.55	+1.04604900E-01	1560
4.6	+1.04120400E-01	1560
4.65	+1.03748000E-01	1560
4.7	+1.03417700E-01	1560
4.75	+1.03020500E-01	1560
4.8	+1.02680100E-01	1560
4.85	+1.02304600E-01	1560
4.9	+1.01967900E-01	1560
4.95	+1.01583000E-01	1560
5	+1.01267600E-01	1560
