Vin	Iin
4	+3.71594200E-02
4.1	+3.71570200E-02
4.2	+3.71700700E-02
4.3	+3.71628800E-02
4.4	+3.71762000E-02
4.5	+3.71977700E-02
4.6	+1.03374000E-01
4.7	+1.02681700E-01
4.8	+1.01980100E-01
4.9	+1.01325100E-01
5	+1.00663200E-01
5.1	+1.00044400E-01
5.2	+9.94690700E-02
5.3	+9.88790700E-02
5.4	+9.83090500E-02
5.5	+9.77502100E-02
5.6	+9.71964300E-02
5.7	+9.66282700E-02
5.8	+9.60670300E-02
5.9	+9.55513500E-02
6	+9.50801400E-02
6.1	+9.46872500E-02
6.2	+9.41939400E-02
6.3	+9.37333900E-02
6.4	+9.32496700E-02
6.5	+9.27598200E-02
6.6	+9.23645300E-02
6.7	+9.19596600E-02
6.8	+9.15505100E-02
6.9	+9.11464300E-02
7	+9.07570000E-02
7.1	+9.04096700E-02
7.2	+8.99888100E-02
7.3	+8.96111000E-02
7.4	+8.92728100E-02
7.5	+8.88956300E-02
7.6	+8.85648100E-02
7.7	+8.82544900E-02
7.8	+8.79636100E-02
7.9	+8.76405100E-02
8	+8.73171400E-02
8.1	+8.70137500E-02
8.2	+8.67314000E-02
8.3	+8.64514500E-02
8.4	+8.61504500E-02
8.5	+8.58571800E-02
8.6	+8.55804300E-02
8.7	+8.52807700E-02
8.8	+8.49869600E-02
8.9	+8.47179300E-02
9	+8.44880600E-02
9.1	+8.42395400E-02
9.2	+8.40299100E-02
9.3	+8.38032300E-02
9.4	+8.35754800E-02
9.5	+8.33282900E-02
9.6	+8.30821700E-02
9.7	+8.28967800E-02
9.8	+8.26711700E-02
9.9	+8.24570100E-02
10	+8.22042200E-02
10.1	+8.20244300E-02
10.2	+8.18129300E-02
10.3	+8.16310000E-02
10.4	+8.14560000E-02
10.5	+8.12716700E-02
10.6	+8.10804200E-02
10.7	+8.08785200E-02
10.8	+8.07059100E-02
10.9	+8.05279800E-02
11	+8.03665600E-02
11.1	+8.01699800E-02
11.2	+8.00194800E-02
11.3	+7.98567300E-02
11.4	+7.97107600E-02
11.5	+7.95285700E-02
11.6	+7.93865900E-02
11.7	+7.92265100E-02
11.8	+7.90485700E-02
11.9	+7.89132600E-02
12	+7.88336200E-02
