Iout Vout Iin Vin IoutADC ntc ptat
0 1560 +6.55839800E-02 +1.09988000E+0 27 227 457
100 1550 +8.01334900E-02 +1.09988500E+0 36 229 461
200 1550 +9.52969600E-02 +1.09988500E+0 63 231 466
300 1540 +1.10290200E-01 +1.09987900E+0 90 232 467
400 1540 +1.25897800E-01 +1.09987900E+0 116 232 471
500 1540 +1.42457800E-01 +1.09987900E+0 144 234 472
600 1530 +1.61703100E-01 +1.09988100E+0 171 236 482
700 1530 +1.79186900E-01 +1.09988400E+0 200 238 487
800 1530 +1.96599300E-01 +1.09988200E+0 227 240 492
900 1520 +2.13731800E-01 +1.09988500E+0 254 242 497
1000 1520 +2.30985400E-01 +1.09988600E+0 281 243 501
1100 1520 +2.48362700E-01 +1.09988900E+0 309 245 506
1200 1510 +2.65989300E-01 +1.09988200E+0 336 248 515
1300 1510 +2.83796700E-01 +1.09988100E+0 363 249 518
1400 1510 +3.01937400E-01 +1.09988000E+0 390 252 527
1500 1510 +3.20267400E-01 +1.09988200E+0 417 254 533
1600 1500 +3.38923000E-01 +1.09988200E+0 446 256 539
1700 1500 +3.57832400E-01 +1.09988200E+0 476 259 547
1800 1500 +3.77117900E-01 +1.09988200E+0 505 261 558
1900 1490 +3.96619400E-01 +1.09987900E+0 535 264 566
2000 1490 +4.16561500E-01 +1.09988000E+0 565 267 573
2100 1490 +4.36696800E-01 +1.09988300E+0 595 270 585
2200 1480 +4.57352700E-01 +1.09988600E+0 625 273 594
2300 1480 +4.78351500E-01 +1.09988900E+0 655 276 606
2400 1480 +4.99799900E-01 +1.09988300E+0 685 279 618
2500 1480 +5.21619700E-01 +1.09988000E+0 717 282 630
2600 1470 +5.43960200E-01 +1.09988000E+0 749 285 643
2700 1470 +5.66953500E-01 +1.09988100E+0 780 288 656
2800 1470 +5.90136700E-01 +1.09988100E+0 815 292 672
2900 1460 +6.13941700E-01 +1.09988200E+0 848 295 687
3000 1460 +6.38429300E-01 +1.09988200E+0 883 299 704
3100 1460 +6.63482200E-01 +1.09988300E+0 919 302 726
3200 1460 +6.89262600E-01 +1.09988300E+0 955 306 741
3300 1450 +7.15927000E-01 +1.09988500E+0 992 309 762
3400 1450 +7.42890500E-01 +1.09988200E+0 997 313 782
3500 1450 +7.70453700E-01 +1.09988300E+0 997 316 811
3600 1440 +7.99071100E-01 +1.09988000E+0 997 320 831
3700 1440 +8.28689800E-01 +1.09988300E+0 997 322 853
3800 1440 +8.58944300E-01 +1.09988500E+0 997 326 881
3900 1440 +8.90193200E-01 +1.09988100E+0 997 329 908
4000 1430 +9.22032000E-01 +1.09988700E+0 997 333 936
