HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.498222E-01 1e-06 131 98 101 99 99
+8.384104E-01 2e-06 135 89 102 100 99
+1.321382E+00 3e-06 161 105 103 100 100
+1.802241E+00 4e-06 133 106 105 100 100
+2.282800E+00 5e-06 140 119 106 101 100
+2.764365E+00 6e-06 151 117 108 101 100
+3.249650E+00 7e-06 203 115 109 101 100
+3.731769E+00 8e-06 218 143 111 102 100
+4.215798E+00 9e-06 254 141 112 102 100
+4.698301E+00 1e-05 258 146 114 102 100
+9.522326E+00 2e-05 737 309 128 105 102
+1.435071E+01 3e-05 103 402 142 108 103
+1.917575E+01 4e-05 105 532 156 111 105
+2.400357E+01 5e-05 106 565 171 114 106
+2.883009E+01 6e-05 107 641 185 117 107
+3.365707E+01 7e-05 109 826 199 120 109
+3.848387E+01 8e-05 110 932 214 123 110
+4.331132E+01 9e-05 112 112 228 126 112
+4.813900E+01 0.0001 113 113 242 129 113
+5.288862E+01 0.00011 114 114 256 132 115
+1.010414E+02 0.00021 128 128 395 162 128
+1.492283E+02 0.00031 143 143 538 193 143
+1.973739E+02 0.00041 157 157 680 223 157
+2.454657E+02 0.00051 171 171 823 253 171
+2.935446E+02 0.00061 185 185 185 283 185
+3.416656E+02 0.00071 199 199 199 312 199
+3.898373E+02 0.00081 943 942 943 342 213
+4.381240E+02 0.00091 938 939 938 371 228
