Vin VinADC
6 520
6.1 528
6.2 537
6.3 545
6.4 554
6.5 562
6.6 570
6.7 579
6.8 587
6.9 596
7 604
7.1 613
7.2 621
7.3 630
7.4 638
7.5 646
7.6 655
7.7 663
7.8 672
7.9 680
8 689
8.1 697
8.2 705
8.3 714
8.4 722
8.5 731
8.6 739
8.7 748
8.8 756
8.9 765
9 773
9.1 782
9.2 790
9.3 798
9.4 807
9.5 816
9.6 823
9.7 832
9.8 841
9.9 849
10 858
10.1 866
10.2 875
10.3 883
10.4 892
10.5 900
10.6 909
10.7 917
10.8 926
10.9 934
11 943
11.1 951
11.2 960
11.3 968
11.4 977
11.5 985
11.6 995
11.7 1003
11.8 1014
11.9 1014
12 1014
