Vin	Iin	Vout
4	+3.45042700E-02	0
4.05	+3.45333000E-02	0
4.1	+3.45498200E-02	0
4.15	+3.45775200E-02	0
4.2	+3.67702500E-02	0
4.25	+3.67649300E-02	0
4.3	+3.67811700E-02	0
4.35	+3.67659900E-02	0
4.4	+3.67790400E-02	0
4.45	+3.68128700E-02	0
4.5	+3.68150000E-02	0
4.55	+1.03013600E-01	1550
4.6	+1.02589600E-01	1550
4.65	+1.02231000E-01	1550
4.7	+1.01860000E-01	1550
4.75	+1.01507300E-01	1550
4.8	+1.01165000E-01	1550
4.85	+1.00834500E-01	1550
4.9	+1.00394700E-01	1550
4.95	+1.00114200E-01	1550
5	+9.98398600E-02	1550
