Vin	Iin	Vout
4	+3.85045500E-01	0
4.05	+3.84793000E-01	0
4.1	+3.84569300E-01	0
4.15	+3.86773400E-01	0
4.2	+3.86708700E-01	0
4.25	+4.05282800E-01	0
4.3	+4.05426600E-01	0
4.35	+4.05654100E-01	0
4.4	+4.05873600E-01	0
4.45	+4.06167900E-01	0
4.5	+4.74627700E-01	1540
4.55	+4.74506500E-01	1540
4.6	+4.74254800E-01	1540
4.65	+4.74077100E-01	1540
4.7	+4.73719700E-01	1540
4.75	+4.73371200E-01	1540
4.8	+4.73092300E-01	1540
4.85	+4.72765500E-01	1540
4.9	+4.72462700E-01	1540
4.95	+4.72188100E-01	1540
5	+4.71929400E-01	1540
