time bgo rtch3gain ltch3gain rtrg ltrg rtog ltog hvfreq ch0la ch0lb ch1l ch2l ch3l ch4l ch5l ch6l ch0ra ch0rb ch1r ch2r ch3r ch4r ch5r ch6r
1528826770 0 0 1 3 3 0 0 1 67 398 523 524 39 460 696 47 410 773 227 219 421 268 718 96
1528826771 0 0 1 3 3 0 0 1 61 396 523 524 39 459 696 34 261 408 229 225 434 269 719 96
1528826772 0 0 1 3 3 0 0 1 58 393 523 524 39 458 696 33 405 405 230 230 446 269 719 96
1528826774 0 0 1 3 3 0 0 1 57 135 524 524 39 458 696 47 403 403 231 234 455 269 719 96
1528826775 0 0 1 3 3 0 0 1 56 389 524 524 39 457 697 40 401 773 231 238 462 269 719 96
1528826776 0 0 1 3 3 0 0 1 312 236 524 524 39 456 697 44 596 912 232 240 469 269 719 96
1528826777 0 0 1 3 3 0 0 1 55 130 524 524 39 456 696 38 399 399 233 243 473 269 719 96
1528826778 0 0 1 3 3 0 0 1 310 386 524 524 39 456 697 46 773 774 233 245 474 269 719 96
1528826779 0 0 1 3 3 0 0 1 54 384 524 524 39 456 696 37 396 396 234 248 476 269 719 96
1528826780 0 0 1 3 3 0 0 1 310 128 524 524 39 456 697 41 462 395 235 250 480 269 719 96
1528826782 0 0 1 3 3 0 0 1 310 365 524 524 39 455 697 33 262 774 236 251 485 269 719 96
1528826783 0 0 1 3 3 0 0 1 54 382 524 524 39 456 697 43 262 774 236 253 487 269 720 96
1528826784 0 0 1 3 3 0 0 1 53 381 523 525 39 455 697 36 262 774 236 254 489 269 720 96
1528826785 0 0 1 3 3 0 0 1 54 380 524 524 39 454 697 44 262 774 237 256 495 269 719 96
1528826786 0 0 1 3 3 0 0 1 54 380 524 525 39 455 697 40 262 774 237 257 490 269 719 96
1528826787 0 0 1 3 3 0 0 1 53 379 524 525 39 455 697 42 262 774 237 258 495 269 719 96
1528826788 0 0 1 3 3 0 0 1 309 274 523 525 39 455 697 36 699 902 238 259 503 269 720 96
