Iout Vout Iin Vin IoutADC ntc ptat
0 1570 +4.31804100E-01 +1.09988300E+0 21 219 335
100 1560 +4.46838100E-01 +1.09988700E+0 37 225 339
200 1530 +4.61891900E-01 +1.09988500E+0 59 227 345
300 1510 +4.76953100E-01 +1.09988600E+0 82 229 347
400 1490 +4.92842100E-01 +1.09989100E+0 105 230 351
500 1470 +5.09228800E-01 +1.09988700E+0 128 232 350
600 1460 +5.27239400E-01 +1.09988800E+0 151 234 358
700 1440 +5.46763400E-01 +1.09988300E+0 175 237 365
800 1420 +5.65730300E-01 +1.09988700E+0 198 240 375
900 1400 +5.83564600E-01 +1.09988800E+0 221 243 380
1000 1380 +6.01417900E-01 +1.09988500E+0 244 245 383
1100 1370 +6.19483500E-01 +1.09988500E+0 268 247 394
1200 1350 +6.37867300E-01 +1.09988500E+0 291 249 399
1300 1330 +6.56481300E-01 +1.09988600E+0 314 252 407
1400 1310 +6.75635500E-01 +1.09989300E+0 338 255 414
1500 1300 +6.94961200E-01 +1.09988900E+0 363 257 423
1600 1280 +7.14889800E-01 +1.09988800E+0 388 260 428
1700 1260 +7.35316400E-01 +1.09988700E+0 412 263 441
1800 1250 +7.56491800E-01 +1.09988700E+0 438 266 448
1900 1230 +7.78211400E-01 +1.09988800E+0 463 270 459
2000 1210 +8.00603000E-01 +1.09988700E+0 490 273 468
2100 1200 +8.23649300E-01 +1.09989100E+0 516 277 487
2200 1180 +8.47747800E-01 +1.09988200E+0 544 280 500
2300 1170 +8.72778100E-01 +1.09988600E+0 571 283 513
2400 1160 +8.98426300E-01 +1.09988800E+0 599 286 529
2500 1150 +9.25472700E-01 +1.09988700E+0 627 290 554
2600 1130 +9.53484900E-01 +1.09988900E+0 656 294 568
2700 1120 +9.82196100E-01 +1.09989100E+0 685 298 591
2800 1110 +1.01113000E+00 +1.09989200E+0 714 300 610
2900 1100 +1.04227700E+00 +1.09989700E+0 745 303 633
3000 1100 +1.07519300E+00 +1.09989300E+0 778 307 656
3100 1090 +1.10954800E+00 +1.09989100E+0 811 310 683
3200 1090 +1.14612800E+00 +1.09989300E+0 844 312 706
3300 1100 +1.18696100E+00 +1.09989500E+0 881 315 743
3400 1100 +1.22865800E+00 +1.09989400E+0 915 317 772
3500 1110 +1.27341800E+00 +1.09989600E+0 953 320 803
3600 1080 +1.29297900E+00 +1.09990300E+0 22 317 744
3700 1080 +1.33770400E+00 +1.09989900E+0 21 319 804
3800 1040 +1.35816300E+00 +1.09989700E+0 21 318 776
3900 1050 +1.40469600E+00 +1.09989600E+0 22 319 814
4000 1010 +1.42638600E+00 +1.09989600E+0 21 317 788
