Vin VinADC
6 500
6.1 508
6.2 516
6.3 524
6.4 532
6.5 540
6.6 548
6.7 557
6.8 564
6.9 573
7 581
7.1 588
7.2 597
7.3 605
7.4 613
7.5 621
7.6 629
7.7 637
7.8 645
7.9 653
8 661
8.1 669
8.2 677
8.3 685
8.4 693
8.5 702
8.6 709
8.7 718
8.8 726
8.9 734
9 742
9.1 751
9.2 759
9.3 766
9.4 775
9.5 783
9.6 791
9.7 799
9.8 807
9.9 816
10 824
10.1 832
10.2 840
10.3 848
10.4 856
10.5 864
10.6 873
10.7 881
10.8 889
10.9 897
11 906
11.1 914
11.2 922
11.3 931
11.4 939
11.5 947
11.6 977
11.7 977
11.8 977
11.9 977
12 977
