Vin	Iin	Vout
4	+3.67199500E-01	0
4.05	+3.66402700E-01	0
4.1	+3.65950200E-01	0
4.15	+3.65708600E-01	0
4.2	+3.74693200E-01	0
4.25	+3.86362700E-01	0
4.3	+3.86319800E-01	0
4.35	+3.86313100E-01	0
4.4	+3.86321400E-01	0
4.45	+3.86340900E-01	0
4.5	+3.86391700E-01	0
4.55	+4.53786600E-01	1540
4.6	+4.53386500E-01	1540
4.65	+4.53080500E-01	1540
4.7	+4.52755500E-01	1540
4.75	+4.52381500E-01	1540
4.8	+4.52132200E-01	1540
4.85	+4.51797400E-01	1540
4.9	+4.51543000E-01	1540
4.95	+4.51278000E-01	1540
5	+4.50986000E-01	1540
