Vin VinADC
6 500
6.1 508
6.2 516
6.3 524
6.4 533
6.5 540
6.6 549
6.7 557
6.8 565
6.9 573
7 581
7.1 590
7.2 598
7.3 606
7.4 614
7.5 622
7.6 630
7.7 638
7.8 646
7.9 654
8 663
8.1 670
8.2 679
8.3 687
8.4 695
8.5 703
8.6 711
8.7 719
8.8 727
8.9 736
9 744
9.1 752
9.2 761
9.3 769
9.4 777
9.5 785
9.6 793
9.7 802
9.8 809
9.9 818
10 826
10.1 834
10.2 842
10.3 851
10.4 859
10.5 867
10.6 875
10.7 883
10.8 892
10.9 900
11 908
11.1 917
11.2 925
11.3 933
11.4 942
11.5 950
11.6 958
11.7 969
11.8 970
11.9 970
12 970
