Iout Vout Iin Vin IoutADC ntc ptat
0 1560 +4.22782500E-01 +1.09988400E+0 18 228 454
100 1540 +4.37659100E-01 +1.09988700E+0 18 234 463
200 1520 +4.52531800E-01 +1.09988700E+0 18 237 471
300 1500 +4.67666700E-01 +1.09988900E+0 31 239 478
400 1480 +4.83426900E-01 +1.09988600E+0 60 0 474
500 1470 +5.00029800E-01 +1.09988800E+0 88 242 480
600 1450 +5.18270400E-01 +1.09989400E+0 117 245 490
700 1430 +5.37495100E-01 +1.09989100E+0 146 249 502
800 1410 +5.55494600E-01 +1.09989900E+0 176 251 510
900 1390 +5.72772500E-01 +1.09989100E+0 206 254 518
1000 1380 +5.90350900E-01 +1.09989500E+0 236 256 522
1100 1360 +6.07973800E-01 +1.09989400E+0 265 259 531
1200 1340 +6.25846100E-01 +1.09989000E+0 296 261 544
1300 1320 +6.43875200E-01 +1.09988700E+0 326 265 553
1400 1310 +6.62408500E-01 +1.09989000E+0 357 267 557
1500 1290 +6.81115200E-01 +1.09989300E+0 387 270 569
1600 1270 +7.00299500E-01 +1.09989400E+0 418 273 578
1700 1250 +7.19711300E-01 +1.09989000E+0 449 276 588
1800 1230 +7.39771900E-01 +1.09989200E+0 482 278 604
1900 1220 +7.60176200E-01 +1.09989200E+0 515 282 613
2000 1200 +7.81169400E-01 +1.09988900E+0 548 286 628
2100 1180 +8.02544000E-01 +1.09989300E+0 580 289 645
2200 1170 +8.24508400E-01 +1.09989500E+0 614 292 659
2300 1150 +8.47157300E-01 +1.09989400E+0 649 296 680
2400 1130 +8.70297100E-01 +1.09989500E+0 684 300 697
2500 1120 +8.94181500E-01 +1.09989600E+0 721 304 716
2600 1100 +9.18652100E-01 +1.09989700E+0 756 307 742
2700 1080 +9.44112000E-01 +1.09989600E+0 794 311 768
2800 1070 +9.70131300E-01 +1.09989500E+0 832 314 792
2900 1050 +9.96997300E-01 +1.09989600E+0 870 317 820
3000 1030 +1.02482500E+00 +1.09990200E+0 911 321 848
3100 1020 +1.05304100E+00 +1.09989900E+0 950 323 877
3200 1000 +1.08282000E+00 +1.09989600E+0 1022 327 911
3300 990 +1.11368200E+00 +1.09990000E+0 1022 328 947
3400 970 +1.14571400E+00 +1.09990200E+0 1022 332 1003
3500 960 +1.17917100E+00 +1.09989900E+0 1022 333 997
3600 940 +1.20540900E+00 +1.09990100E+0 17 333 1022
3700 920 +1.21777500E+00 +1.09989500E+0 16 328 896
3800 0 +3.96235600E-01 +1.09989000E+0 19 332 1003
3900 880 +1.26264600E+00 +1.09989200E+0 19 329 1014
4000 870 +1.31281400E+00 +1.09990300E+0 19 329 1019
