HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.216178E-01 1e-06 39 102 102 101 101
+7.285688E-01 2e-06 51 121 104 102 101
+1.220111E+00 3e-06 51 120 105 102 101
+1.712657E+00 4e-06 70 139 107 102 102
+2.203594E+00 5e-06 103 143 108 103 102
+2.692974E+00 6e-06 139 165 110 103 102
+3.185267E+00 7e-06 164 167 111 103 102
+3.677962E+00 8e-06 201 148 113 104 102
+4.169707E+00 9e-06 206 149 114 104 102
+4.662207E+00 1e-05 250 152 116 104 102
+8.227072E+00 2e-05 504 194 130 107 104
+1.308721E+01 3e-05 105 289 145 111 105
+1.798903E+01 4e-05 107 360 144 113 107
+2.290745E+01 5e-05 108 552 174 117 108
+2.782499E+01 6e-05 110 734 188 120 110
+3.275564E+01 7e-05 111 828 201 123 111
+3.768404E+01 8e-05 113 958 216 126 113
+4.261650E+01 9e-05 114 114 233 129 114
+4.755207E+01 0.0001 115 115 244 132 116
+5.243082E+01 0.00011 117 117 264 135 117
+8.640879E+01 0.00021 131 131 407 167 132
+1.382858E+02 0.00031 146 146 554 198 146
+1.912696E+02 0.00041 161 161 702 230 161
+2.438109E+02 0.00051 176 176 850 262 175
+2.954035E+02 0.00061 190 190 190 293 190
+3.460995E+02 0.00071 205 205 205 324 205
+3.962274E+02 0.00081 220 220 220 355 220
+4.459852E+02 0.00091 234 1006 996 386 234
