time coil
0 -3.14961
6.4e-09 0
1.28e-08 0
1.92e-08 -1.5748
2.56e-08 0
3.2e-08 -1.5748
3.84e-08 -3.14961
4.48e-08 0
5.12e-08 -1.5748
5.76e-08 -4.72441
6.4e-08 0
7.04e-08 -1.5748
7.68e-08 -1.5748
8.32e-08 0
8.96e-08 -1.5748
9.6e-08 -3.14961
1.024e-07 0
1.088e-07 -1.5748
1.152e-07 -1.5748
1.216e-07 0
1.28e-07 -1.5748
1.344e-07 -3.14961
1.408e-07 -1.5748
1.472e-07 -1.5748
1.536e-07 -3.14961
1.6e-07 0
1.664e-07 0
1.728e-07 -1.5748
1.792e-07 -1.5748
1.856e-07 -1.5748
1.92e-07 -1.5748
1.984e-07 -1.5748
2.048e-07 -1.5748
2.112e-07 1.5748
2.176e-07 -3.14961
2.24e-07 -1.5748
2.304e-07 1.5748
2.368e-07 -1.5748
2.432e-07 0
2.496e-07 -1.5748
2.56e-07 -1.5748
2.624e-07 -1.5748
2.688e-07 -1.5748
2.752e-07 -1.5748
2.816e-07 -3.14961
2.88e-07 0
2.944e-07 -1.5748
3.008e-07 -4.72441
3.072e-07 1.5748
3.136e-07 -1.5748
3.2e-07 -3.14961
3.264e-07 0
3.328e-07 0
3.392e-07 -3.14961
3.456e-07 1.5748
3.52e-07 -1.5748
3.584e-07 -1.5748
3.648e-07 0
3.712e-07 0
3.776e-07 -3.14961
3.84e-07 -1.5748
3.904e-07 0
3.968e-07 -1.5748
4.032e-07 -1.5748
4.096e-07 1.5748
4.16e-07 -1.5748
4.224e-07 -1.5748
4.288e-07 1.5748
4.352e-07 -3.14961
4.416e-07 -1.5748
4.48e-07 1.5748
4.544e-07 -3.14961
4.608e-07 -1.5748
4.672e-07 0
4.736e-07 -1.5748
4.8e-07 -1.5748
4.864e-07 0
4.928e-07 0
4.992e-07 -1.5748
5.056e-07 0
5.12e-07 0
5.184e-07 -3.14961
5.248e-07 1.5748
5.312e-07 0
5.376e-07 -1.5748
5.44e-07 0
5.504e-07 -3.14961
5.568e-07 0
5.632e-07 -1.5748
5.696e-07 0
5.76e-07 -1.5748
5.824e-07 -3.14961
5.888e-07 0
5.952e-07 -1.5748
6.016e-07 -3.14961
6.08e-07 1.5748
6.144e-07 0
6.208e-07 -1.5748
6.272e-07 0
6.336e-07 -1.5748
6.4e-07 -1.5748
6.464e-07 0
6.528e-07 -1.5748
6.592e-07 -3.14961
6.656e-07 0
6.72e-07 -1.5748
6.784e-07 -1.5748
6.848e-07 0
6.912e-07 -1.5748
6.976e-07 -1.5748
7.04e-07 0
7.104e-07 -1.5748
7.168e-07 -1.5748
7.232e-07 0
7.296e-07 -1.5748
7.36e-07 -3.14961
7.424e-07 -1.5748
7.488e-07 -1.5748
7.552e-07 -3.14961
7.616e-07 -1.5748
7.68e-07 0
7.744e-07 -1.5748
7.808e-07 -1.5748
7.872e-07 0
7.936e-07 -3.14961
8e-07 -1.5748
8.064e-07 0
8.128e-07 -1.5748
8.192e-07 -1.5748
8.256e-07 0
8.32e-07 -3.14961
8.384e-07 -3.14961
8.448e-07 0
8.512e-07 -1.5748
8.576e-07 -3.14961
8.64e-07 0
8.704e-07 -1.5748
8.768e-07 -3.14961
8.832e-07 0
8.896e-07 -1.5748
8.96e-07 -3.14961
9.024e-07 0
9.088e-07 -1.5748
9.152e-07 -3.14961
9.216e-07 0
9.28e-07 0
9.344e-07 -4.72441
9.408e-07 -1.5748
9.472e-07 0
9.536e-07 -3.14961
9.6e-07 -1.5748
9.664e-07 0
9.728e-07 -1.5748
9.792e-07 -1.5748
9.856e-07 0
9.92e-07 -3.14961
9.984e-07 -1.5748
1.0048e-06 0
1.0112e-06 -1.5748
1.0176e-06 -1.5748
1.024e-06 0
1.0304e-06 -1.5748
1.0368e-06 -3.14961
1.0432e-06 1.5748
1.0496e-06 -1.5748
1.056e-06 -1.5748
1.0624e-06 0
1.0688e-06 0
1.0752e-06 -3.14961
1.0816e-06 0
1.088e-06 -1.5748
1.0944e-06 -1.5748
1.1008e-06 -1.5748
1.1072e-06 0
1.1136e-06 -1.5748
1.12e-06 -1.5748
1.1264e-06 0
1.1328e-06 0
1.1392e-06 -1.5748
1.1456e-06 1.5748
1.152e-06 0
1.1584e-06 -1.5748
1.1648e-06 0
1.1712e-06 0
1.1776e-06 -1.5748
1.184e-06 0
1.1904e-06 -1.5748
1.1968e-06 0
1.2032e-06 0
1.2096e-06 -1.5748
1.216e-06 0
1.2224e-06 -1.5748
1.2288e-06 1.5748
1.2352e-06 0
1.2416e-06 -1.5748
1.248e-06 1.5748
1.2544e-06 -1.5748
1.2608e-06 -1.5748
1.2672e-06 1.5748
1.2736e-06 -1.5748
1.28e-06 0
1.2864e-06 0
1.2928e-06 -1.5748
1.2992e-06 0
1.3056e-06 0
1.312e-06 -3.14961
1.3184e-06 -1.5748
1.3248e-06 -1.5748
1.3312e-06 -3.14961
1.3376e-06 -1.5748
1.344e-06 -3.14961
1.3504e-06 -1.5748
1.3568e-06 -1.5748
1.3632e-06 -1.5748
1.3696e-06 -1.5748
1.376e-06 -1.5748
1.3824e-06 -1.5748
1.3888e-06 -1.5748
1.3952e-06 -1.5748
1.4016e-06 0
1.408e-06 -1.5748
1.4144e-06 -1.5748
1.4208e-06 -1.5748
1.4272e-06 0
1.4336e-06 -1.5748
1.44e-06 -3.14961
1.4464e-06 0
1.4528e-06 -1.5748
1.4592e-06 -1.5748
1.4656e-06 0
1.472e-06 -1.5748
1.4784e-06 -1.5748
1.4848e-06 0
1.4912e-06 -3.14961
1.4976e-06 -1.5748
1.504e-06 0
1.5104e-06 -1.5748
1.5168e-06 -1.5748
1.5232e-06 -1.5748
1.5296e-06 -1.5748
1.536e-06 -3.14961
1.5424e-06 -1.5748
1.5488e-06 -1.5748
1.5552e-06 -3.14961
1.5616e-06 -1.5748
1.568e-06 0
1.5744e-06 -4.72441
1.5808e-06 0
1.5872e-06 1.5748
1.5936e-06 -4.72441
1.6e-06 -1.5748
1.6064e-06 0
1.6128e-06 -3.14961
1.6192e-06 -1.5748
1.6256e-06 1.5748
1.632e-06 -1.5748
1.6384e-06 -1.5748
1.6448e-06 1.5748
1.6512e-06 -1.5748
1.6576e-06 -3.14961
1.664e-06 1.5748
1.6704e-06 0
1.6768e-06 -1.5748
1.6832e-06 1.5748
1.6896e-06 0
1.696e-06 -1.5748
1.7024e-06 1.5748
1.7088e-06 0
1.7152e-06 -1.5748
1.7216e-06 0
1.728e-06 0
1.7344e-06 0
1.7408e-06 -1.5748
1.7472e-06 1.5748
1.7536e-06 -1.5748
1.76e-06 0
1.7664e-06 3.14961
1.7728e-06 -1.5748
1.7792e-06 0
1.7856e-06 0
1.792e-06 -1.5748
1.7984e-06 0
1.8048e-06 0
1.8112e-06 0
1.8176e-06 -3.14961
1.824e-06 0
1.8304e-06 0
1.8368e-06 0
1.8432e-06 1.5748
1.8496e-06 0
1.856e-06 -3.14961
1.8624e-06 1.5748
1.8688e-06 0
1.8752e-06 -3.14961
1.8816e-06 -1.5748
1.888e-06 0
1.8944e-06 -1.5748
1.9008e-06 0
1.9072e-06 0
1.9136e-06 -3.14961
1.92e-06 -1.5748
1.9264e-06 1.5748
1.9328e-06 -4.72441
1.9392e-06 -1.5748
1.9456e-06 0
1.952e-06 -3.14961
1.9584e-06 -1.5748
1.9648e-06 -1.5748
1.9712e-06 -3.14961
1.9776e-06 -1.5748
1.984e-06 -1.5748
1.9904e-06 -1.5748
