HV Ileak OpAmpGain0 OpAmpGain1 OpAmpGain2 OpAmpGain4 OpAmpGain8
+3.201635E-01 1e-06 39 181 102 101 101
+7.283694E-01 2e-06 67 108 103 101 101
+1.221768E+00 3e-06 58 120 105 101 101
+1.713663E+00 4e-06 101 115 106 102 101
+2.204849E+00 5e-06 129 131 108 102 101
+2.698201E+00 6e-06 169 133 109 103 102
+3.191502E+00 7e-06 184 139 111 103 102
+3.683647E+00 8e-06 233 123 112 103 102
+4.177189E+00 9e-06 279 135 114 103 102
+4.668791E+00 1e-05 294 146 116 104 102
+8.246698E+00 2e-05 435 193 131 107 104
+1.310801E+01 3e-05 105 290 146 110 105
+1.801228E+01 4e-05 106 397 161 113 106
+2.293515E+01 5e-05 108 497 178 117 108
+2.786363E+01 6e-05 109 730 192 120 110
+3.279649E+01 7e-05 111 864 210 123 111
+3.773700E+01 8e-05 113 988 222 126 112
+4.267231E+01 9e-05 114 114 226 130 114
+4.761993E+01 0.0001 115 115 253 133 115
+5.250945E+01 0.00011 117 117 272 136 117
+8.647617E+01 0.00021 131 131 417 169 132
+1.384669E+02 0.00031 148 148 571 202 147
+1.915758E+02 0.00041 162 162 724 235 163
+2.442979E+02 0.00051 178 178 877 267 178
+2.960071E+02 0.00061 193 193 193 300 193
+3.468697E+02 0.00071 208 208 208 332 208
+3.971274E+02 0.00081 1003 1003 1003 364 224
+4.469952E+02 0.00091 1000 999 999 397 239
